STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1002,HIMACHAL PRADESH,5.0,14.0,7.4,9.8,7.8,8.2,79,219,0.1,0.4,0.30,1.08,25,63,220,540
1003,HIMACHAL PRADESH,5.0,15.0,7.3,11.0,7.6,8.4,84,167,0.1,1.6,0.30,1.13,2,34,2,280
1004,HIMACHAL PRADESH,9.0,25.0,8.3,11.3,7.3,8.5,69,232,0.1,0.3,0.30,0.98,17,33,130,240
1005,HIMACHAL PRADESH,8.0,22.0,8.5,11.6,7.9,8.4,100,304,0.1,0.4,0.30,0.44,21,34,130,350
1006,HIMACHAL PRADESH,10.0,26.0,6.9,12.0,7.7,8.3,93,310,0.1,0.4,0.30,0.71,20,43,170,430
1007,HIMACHAL PRADESH,10.0,19.0,7.2,8.7,6.9,8.3,138,402,0.1,0.8,0.10,1.47,2,7,79,210
1008,HIMACHAL PRADESH,12.0,18.0,6.7,8.7,7.2,8.4,141,448,0.1,0.8,0.28,2.34,2,6,70,220
1009,HIMACHAL PRADESH,11.0,18.0,6.9,8.8,6.9,8.2,153,528,0.1,0.4,0.18,2.77,2,6,63,220
1550,HIMACHAL PRADESH,9.0,24.0,7.2,10.8,7.6,8.3,79,218,0.1,0.1,0.30,0.73,13,27,110,210
2601,HIMACHAL PRADESH,4.0,12.0,5.2,10.5,7.6,8.5,86,162,0.1,0.4,0.30,0.84,21,94,210,430
2602,HIMACHAL PRADESH,5.0,14.0,7.4,9.9,7.8,8.3,87,734,0.1,0.3,0.30,0.99,21,43,150,430
2603,HIMACHAL PRADESH,9.0,25.0,6.7,11.4,7.0,8.4,73,222,0.1,0.4,0.30,0.98,21,43,150,280
2604,HIMACHAL PRADESH,10.0,19.0,7.0,8.7,6.9,8.3,139,406,0.2,0.7,0.25,1.29,2,6,79,280
3855,HIMACHAL PRADESH,12.0,18.0,6.5,8.7,7.4,8.5,151,493,0.1,0.6,0.11,2.61,2,6,79,280
1010,PUNJAB,12.0,36.0,7.3,7.8,7.2,8.2,200,356,1.0,1.4,0.40,1.50,70,220,110,280
1011,PUNJAB,12.0,36.0,7.1,7.7,7.3,7.9,198,272,1.2,1.6,0.80,1.40,110,460,220,630
1012,PUNJAB,13.0,39.0,7.0,8.3,7.2,7.9,180,299,1.2,1.7,0.90,1.40,79,360,170,630
1294,PUNJAB,13.0,36.0,6.8,7.4,7.2,8.0,224,310,1.6,2.5,0.90,1.80,130,610,280,3500
1693,PUNJAB,12.0,27.0,7.5,8.1,7.2,7.8,186,266,0.0,1.1,0.30,0.80,33,79,70,110
