STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1001,HIMACHAL PRADESH,1,16,7.5,11,7.2,8.4,55,335,0.1,0.4,0.065,0.492,8,49,23,240
1002,HIMACHAL PRADESH,3,19,7.5,11.2,7.5,8.3,59,340,0.1,0.5,0,0.492,22,94,130,350
1003,HIMACHAL PRADESH,4.5,15.5,8.1,11,7.5,8.2,57,238,0.1,0.2,0.067,0.492,17,63,79,180
1004,HIMACHAL PRADESH,10,23,8.7,10.8,6.8,8.2,42,322,0.1,0.7,0.091,0.457,23,49,130,280
1005,HIMACHAL PRADESH,5.8,23,8.7,10,6.8,8.5,115,340,0.1,0.4,0,0.974,21,94,70,280
1550,HIMACHAL PRADESH,7.5,19,8.7,11.4,7.5,8.4,63,309,0.1,0.5,0,0.7,23,94,130,920
1006,HIMACHAL PRADESH,10,23,6.9,12.2,7.4,9,89,340,0.1,0.6,0,0.83,27,180,170,1600
2604,HIMACHAL PRADESH,13,21.5,6.8,10.5,6.8,8.8,41,488,0.4,1.8,0.3,1, , , , 
1007,HIMACHAL PRADESH,12,21.8,0.2,8.8,6.9,9.1,98,471,0.2,2,0.26,1.02, , , , 
1008,HIMACHAL PRADESH,14,22,7.1,8.3,7.7,8.6,118,388,0.3,2,0.24,0.97, , , , 
1009,HIMACHAL PRADESH,13.8,24,5.6,9.8,7,8.9,87,375,0.1,0.8,0.23,0.5,23,23,140,140
1693,PUNJAB,10,24,7.9,7.9,7.2,7.6,185,195,0.5,0.6,0.6,1.8,13,39,31,50
1694,PUNJAB,10,24,7.6,7.8,7.4,7.4,185,210,0.3,0.7,1,1.4,130,210,330,350
1695,PUNJAB,11,23,7.3,7.5,7.3,7.7,240,240,0.6,0.8,2.3,3,170,210,430,490
1010,PUNJAB,10,23,7.5,7.6,7.4,7.6,220,245,0.5,0.8,1.5,2.6,70,140,220,280
1294,PUNJAB,11,23,6.1,6.8,7.1,7.6,260,290,1.8,2.7,1.6,4.9,180,790,460,1400
1011,PUNJAB,10,22,7.3,7.4,7.3,7.5,235,258,0.8,0.9,2.4,3.3,130,200,350,460
1696,PUNJAB,11,23,7.4,7.6,7.2,7.5,240,270,0.6,0.8,2.1,3.7,170,280,430,430
1012,PUNJAB,11,23,7.3,7.5,7.2,7.5,245,270,0.6,1.2,1.8,3.8,220,640,460,900
1697,PUNJAB,12,22,7.3,7.6,7.3,7.5,240,260,0.6,0.7,1.4,3.6,120,200,340,400
