STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
1001,"HIMACHAL
PRADESH",4,14,7.9,9.7,7.2,8,80,270,1,1,0.3,0.72,2,110,25,540,2,2
2601,"HIMACHAL
PRADESH",4,14,7.7,9.4,7.1,7.8,70,116,1,1,0.32,0.88,40,350,240,1600,2,2
4444,"HIMACHAL
PRADESH",3,13,7.7,9.8,6.9,7.9,49,88,1,1,0.32,0.92,94,920,430,1600,2,2
4037,"HIMACHAL
PRADESH",4,13,7.8,9.9,6.9,7.9,45,94,1,1,0.32,0.82,33,140,170,430,2,2
3866,HIMACHAL PRADESH,4,12,7.9,9.8,7.1,8.4,37,92,1,1,0.32,0.62,26,94,120,350,2,2
2602,"HIMACHAL
PRADESH",6,16,5.8,9.1,7.3,8.1,67,127,1,1,0.32,1.22,70,140,350,920,2,2
4445,"HIMACHAL
PRADESH",5,15,7.8,8.8,7.2,7.9,67,233,1,1,0.32,1.62,79,920,430,1600,2,2
1002,"HIMACHAL
PRADESH",5,15,7.6,8.8,7.2,7.9,78,145,1,1,0.32,1.82,94,540,430,1600,2,2
1003,"HIMACHAL
PRADESH",8,14,7.5,8.8,6.9,8.1,62,120,1,1,0.32,0.92,47,220,280,920,2,2
1004,"HIMACHAL
PRADESH",7,23,6.6,10.8,7.1,8,62,126,1,1,0.34,1.07,33,94,150,350,2,2
2603,"HIMACHAL
PRADESH",7,23,8.2,10.3,6.9,8,82,188,1,1,0.32,1.92,58,140,280,540,2,2
1005,HIMACHAL PRADESH,13,22,8.4,9.4,7.3,8,75,264,1,1,0.32,0.92,43,140,220,540,2,2
1550,"HIMACHAL
PRADESH",7,23,8.4,11.2,7.3,8.2,71,180,1,1,0.4,1.73,21,70,110,280,2,2
1006,"HIMACHAL
PRADESH",8,23,8.1,10.8,7.2,8.4,83,224,1,1,0.33,2.61,70,170,240,920,2,2
