STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,
4479,HIMACHAL PRADESH,17,19,5.8,7.8,6.4,9,256,636,BDL,2.4,-,-,2,68,10,38,2,2,
2620,HIMACHAL PRADESH,17,19,5.8,8,6.6,8.6,204,1946,BDL,1.8,-,-,2,14,21,41,2,2,
4023,HIMACHAL PRADESH,8,18,8.7,9.4,7.2,8.5,76,230,BDL,9.4,BDL,1.13,2,2,21,47,2,2,
4024,HIMACHAL PRADESH,9,20,8.1,9,7.1,8.4,82,263,BDL,1,BDL,1.06,2,2,24,47,2,2,
4025,HIMACHAL PRADESH,9,23,7.2,8.9,7.6,8,102,181,BDL,1,BDL,1.7,2,2,20,58,2,2,
4026,HIMACHAL PRADESH,9,24,7.4,9,7.5,8.1,115,154,BDL,1,BDL,0.49,2,2,24,46,2,2,
4060,JAMMU & KASHMIR,21,21,7.4,7.4,7.5,7.5,196,196,BDL,BDL,BDL,BDL,-,-,-,-,-,-,
4457,HIMACHAL PRADESH,8,20,6.9,9.1,7.1,7.9,94,206,BDL,1,BDL,1.02,2,2,17,40,2,2,
4458,HIMACHAL PRADESH,8,20,6.8,9.1,7.1,8,94,233,BDL,1,BDL,0.83,2,2,25,46,2,2,
4460,HIMACHAL PRADESH,9,19.5,7.8,9.2,6.9,8.1,62,110,BDL,1,BDL,1.08,2,2,13,48,2,2,
4428,HIMACHAL PRADESH,9,25,7.2,8.9,6.9,8.2,80,4306,BDL,5.4,0.39,7.5,13,240,110,1600,2,11,
4429,HIMACHAL PRADESH,11.5,27,6.8,8.4,6.9,8.1,390,5919,1.8,75,1.04,8.88,70,1600,920,1600,2,22,
4424,HIMACHAL PRADESH,10,28,7.7,9.5,8.1,8.8,305,3624,BDL,1,BDL,1.87,2,33,11,920,2,2,
4432,HIMACHAL PRADESH,21,27,6.5,8.1,7.8,8.1,348,764,BDL,1,BDL,1.44,2,4,26,84,2,2,
4431,HIMACHAL PRADESH,11,28,7.1,10.6,7.4,8.2,132,1976,BDL,1.8,BDL,2.08,14,1600,150,1600,2,23,
2626,HIMACHAL PRADESH,11,35,7,9,7.1,7.7,308,443,BDL,2.2,BDL,1.08,6,220,26,1100,2,2,
