STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1001,HIMACHAL PRADESH,2,12,7,9.8,6.6,9,50,116,0.1,0.8,0.21,1.21,13,70,34,280
1002,HIMACHAL PRADESH,3,14,8.1,9.7,7.1,8.2,64,156,0.1,8.7,0.13,1.71,26,180,220,920
1003,HIMACHAL PRADESH,3,15,8,10,6.9,8.2,47,148,0.1,0.4,0.09,1.72,22,79,130,350
1004,HIMACHAL PRADESH,6,16,7.9,10.2,7.4,8.3,58,177,0.1,0.3,0.12,0.95,26,49,110,280
1005,HIMACHAL PRADESH,6,20,7.7,12.4,7.5,8.3,65,156,0.1,0.2,0.25,1.25,22,49,70,220
1550,HIMACHAL PRADESH,9,20,7.4,10.7,7.4,8.4,73,182,0.1,0.3,0.25,1.69,26,70,110,350
1006,HIMACHAL PRADESH,9,22,7.1,10.4,6.5,8.5,107,276,0.1,0.8,0.3,3.35,46,240,220,1600
2604,HIMACHAL PRADESH,9,30,6.6,9.4,7.6,7.8,144,369,0.2,3,0.05,0.83,�,�,�,�
1007,HIMACHAL PRADESH,9,26,6.5,9.6,7.3,9,140,350,0.2,1.6,0.07,0.81,�,�,�,�
1008,HIMACHAL PRADESH,12,25,6.7,9.6,7.4,8.9,141,368,0.4,4,0.11,1.8,�,�,�,�
1009,HIMACHAL PRADESH,5,25,3.8,9.7,6.7,8.8,158,230,0.4,1.2,0.09,1.03,�,�,�,�
2601,HIMACHAL PRADESH,2,12,6.6,9.7,7.1,8.7,53,123,0.1,0.8,0.04,1.45,17,110,70,350
2602,HIMACHAL PRADESH,3,13,6.1,9.8,7.4,8.4,49,163,0.1,0.2,0.13,1.56,33,170,140,920
2603,HIMACHAL PRADESH,6,26,7.3,9.9,7.6,8.3,65,155,0.1,0.2,0.23,1.49,23,70,110,280
1693,PUNJAB,12,25,7.4,7.8,7,7.5,273,286,0.3,0.6,1.1,1.6,11,90,50,500
1694,PUNJAB,13,25,6.8,7.8,7.1,7.6,258,302,0.7,0.8,0.9,1.8,100,130,500,500
1695,PUNJAB,11,25,6.4,7.6,6.9,7.6,308,513,1,1.4,1.4,2.5,120,170,500,700
1010,PUNJAB,13,25,6.7,7.4,7.1,7.5,252,326,0.6,1,1.4,2.9,110,130,500,700
1294,PUNJAB,13,25,6.8,7.2,7,7.6,275,338,1.1,1.2,1.8,3,300,800,900,1300
1011,PUNJAB,9,25,7.2,7.5,7,7.4,268,342,0.4,1.2,1,3.5,120,700,500,1200
1696,PUNJAB,10,25,6.6,7.4,7,7.6,280,331,0.5,1,1.8,3.4,130,600,600,1100
1012,PUNJAB,9,25,6.8,7.4,7.2,7.5,272,356,0.6,1.4,1.9,5.1,210,900,900,1300
