STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
1001,HIMACHAL PRADESH,2,17,7.2,9.9,7.31,8.19,74,403,BDL,BDL,0.32,1.22,11,110,94,540,BDL,BDL
2601,HIMACHAL PRADESH,2,10,7.9,9.9,7.06,8.48,68,133,1.8,1.8,0.33,1.49,94,1600,540,1600,BDL,BDL
4444,HIMACHAL PRADESH,2,10,7.6,9.7,7.22,8.38,50,123,1.2,2,0.32,1.85,110,1600,540,1600,BDL,BDL
4037,HIMACHAL PRADESH,2,9,7.6,10,7.24,8.28,55,150,BDL,BDL,0.32,1.77,39,79,210,350,BDL,BDL
3866,HIMACHAL PRADESH,1,8,7.7,9.9,7.25,8.48,50,304,BDL,BDL,0.32,1.78,21,84,140,350,BDL,BDL
2602,HIMACHAL PRADESH,3,11,7.8,8.9,7.52,8.45,72,129,BDL,BDL,0.32,1.59,63,210,280,1600,BDL,BDL
4445,HIMACHAL PRADESH,4,17,7.8,9.7,7.53,8.48,92,270,1.1,1.1,0.32,1.7,110,1600,540,1600,BDL,BDL
1002,HIMACHAL PRADESH,4,17,7.9,10.1,7.42,8.48,82,130,1.4,1.4,0.32,1.99,130,920,540,1600,BDL,BDL
1003,HIMACHAL PRADESH,6,17,7.1,8.6,7.27,8.52,58,123,BDL,BDL,0.32,2.46,43,110,210,540,BDL,BDL
2603,HIMACHAL PRADESH,9,24,8.3,9.5,7.48,8.68,86,172,BDL,BDL,0.32,1.85,58,94,280,430,BDL,BDL
1005,HIMACHAL PRADESH,10,28,8.6,9.7,7.01,8.48,128,292,BDL,BDL,0.32,1.3,79,140,240,550,BDL,BDL
1550,HIMACHAL PRADESH,9,25,7.9,9.6,7.68,8.48,113,167,BDL,BDL,0.32,1.51,25,84,150,280,BDL,BDL
1006,HIMACHAL PRADESH,7,25,7.2,9.5,7.6,8.47,92,360,1.1,1.1,0.32,1.64,94,920,350,1600,BDL,BDL
2604,HIMACHAL PRADESH,10,25,7.8,9.1,7.4,8.13,146,348,BDL,BDL,BDL,6.98,2,70,15,350,BDL,BDL
1007,HIMACHAL PRADESH,5,23,8.1,9.4,7.52,8.12,154,320,BDL,BDL,BDL,6.27,2,49,12,350,BDL,BDL
3855,HIMACHAL PRADESH,16,29,6.8,9.4,7.4,8.13,263,365,2,2,BDL,5.12,2,94,17,220,BDL,BDL
1009,HIMACHAL PRADESH,15,22,4.8,9.2,7.12,8.13,144,243,BDL,BDL,BDL,6.95,2,94,27,1600,BDL,BDL
1008,HIMACHAL PRADESH,16,25,6.7,9.5,7.27,8.29,245,307,BDL,BDL,BDL,8.56,2,23,13,210,BDL,BDL
4435,HIMACHAL PRADESH,9.7,29,7.8,9.1,7.32,8.29,204,347,BDL,BDL,BDL,4.46,2,84,17,900,BDL,BDL
4436,HIMACHAL PRADESH,9.7,30,7.8,8.9,7.39,8.41,220,360,BDL,BDL,BDL,6.19,2,240,22,1600,BDL,BDL
4437,"HIMACHAL
PRADESH",9.7,29,7.8,9.1,7.18,8.18,231,331,BDL,BDL,BDL,4.21,2,17,14,130,BDL,BDL
4438,HIMACHAL PRADESH,9.6,29,7.7,8.9,7.32,8.02,245,346,BDL,BDL,BDL,5.28,2,63,25,350,BDL,BDL
4443,HIMACHAL PRADESH,4,10,7.7,9.6,7.23,8.4,74,120,BDL,BDL,0.38,1.62,31,94,210,430,BDL,BDL
30083,HIMACHAL PRADESH,15.5,26,7.6,10.4,8.1,8.9,156,228,1.1,2,0.32,0.52,13,330,33,700,BDL,BDL
30084,PUNJAB,15,27,7.4,10.5,8,8.3,185,319,1.8,2,0.52,0.72,200,3100,4600,92000,49,49
1693,PUNJAB,12,38,5.4,8.8,7.6,8.1,158,229,1.1,1.2,0.7,0.9,22,39,94,170,-,-
1694,PUNJAB,12,40,7.8,9.1,7.8,8.3,214,306,1.1,1.5,0.6,1.1,40,170,220,350,-,-
1010,PUNJAB,12,40,7.4,9,7.7,8.3,215,328,1.1,1.6,0.7,1.2,40,210,170,390,46,46
1695,PUNJAB,12,40,7.7,8.5,7.8,8.4,217,289,1.1,1.4,0.5,1.1,63,220,280,490,-,-
1294,PUNJAB,13,31,7,10.4,7.3,8.2,219,290,1.1,1.6,0.6,1.4,78,260,280,490,-,-
1696,PUNJAB,14,31,7.4,9.2,7.6,8.4,176,242,1.1,1.2,0.5,1.2,46,130,110,330,-,-
1697,PUNJAB,14,31,7.5,9.3,7.4,8.2,181,246,1.1,1.2,0.8,1.2,78,260,280,460,-,-
1011,PUNJAB,14,30,7.6,9.5,7.6,8.2,183,253,1.1,1.3,0.6,1.3,70,210,220,390,-,-
1012,PUNJAB,14,32,7.3,9,7.7,8.2,170,244,1.1,1.3,0.6,1.2,70,170,220,350,-,-
4164,PUNJAB,14,31,7.4,9.2,7.5,8.1,211,278,1.1,1.3,0.7,1.6,70,170,220,350,-,-
1867,HIMACHAL PRADESH,7,14,8.9,9.4,8.02,8.42,288,467,BDL,BDL,0.32,0.61,6,20,8,1600,BDL,BDL
2611,HIMACHAL PRADESH,7,13,9,9.5,8.05,8.56,255,471,BDL,BDL,0.32,0.65,4,24,110,1600,BDL,BDL
3872,HIMACHAL PRADESH,6.5,13,8.8,9.4,8.1,8.56,290,2137,BDL,BDL,0.32,0.59,2,17,110,1600,BDL,BDL
4448,HIMACHAL PRADESH,6,13,8.9,9.4,8.06,8.52,278,3392,BDL,BDL,0.32,0.62,4,38,2,350,BDL,BDL
4449,HIMACHAL PRADESH,6.5,13,8.8,9.4,8.06,8.56,291,3970,BDL,BDL,0.32,0.58,2,170,2,1600,BDL,BDL
4452,HIMACHAL PRADESH,6,13,8.7,9.6,8.08,8.53,292,2514,BDL,BDL,0.32,0.65,2,33,7,1600,BDL,BDL
3871,HIMACHAL PRADESH,6,13,8.8,9.3,8.07,8.47,293,3157,BDL,BDL,0.32,0.6,2,22,5,1600,BDL,BDL
3870,HIMACHAL PRADESH,7,13,8.8,9.2,7.86,8.49,260,2441,BDL,BDL,BDL,0.61,2,26,4,1600,BDL,BDL
1389,HIMACHAL PRADESH,7,13,8.7,9.3,6.74,8.54,83,2718,BDL,BDL,0.32,2.54,6,39,39,1600,BDL,BDL
4453,HIMACHAL PRADESH,7,13,8.8,9.3,6.7,8.46,100,1893,BDL,BDL,0.32,1.28,2,21,6,1600,BDL,BDL
3869,HIMACHAL PRADESH,8,14,8.6,9.1,7.37,8.31,87,2517,BDL,BDL,0.32,1.14,2,33,14,1600,BDL,BDL
1086,HIMACHAL PRADESH,8,14,8.6,9.1,6.97,8.26,82,1166,BDL,BDL,0.32,1.74,6,58,32,1600,BDL,BDL
1087,HIMACHAL PRADESH,8,14,8.7,9.2,6.98,8.26,87,1257,BDL,BDL,0.32,0.87,6,47,7,1600,BDL,BDL
1013,HIMACHAL PRADESH,8,14,8.4,9.2,7.57,8.3,94,2594,BDL,BDL,0.32,1.15,4,22,9,1600,BDL,BDL
4446,HIMACHAL PRADESH,7.5,14,8.6,9.1,6.85,8.34,86,1152,BDL,BDL,0.32,4.34,6,27,14,1600,BDL,BDL
4447,HIMACHAL PRADESH,7.5,14,8.6,9.1,6.94,8.23,87,2489,BDL,BDL,0.32,0.82,2,350,9,1600,BDL,BDL
4032,HIMACHAL PRADESH,10,28,8.9,9.6,7.54,8.4,172,430,BDL,BDL,0.32,3.99,49,220,210,920,BDL,BDL
4033,HIMACHAL PRADESH,10,28,8.6,9.5,7.44,8.46,162,466,1.4,1.4,0.32,2.39,94,280,430,920,BDL,BDL
4450,HIMACHAL PRADESH,7.5,14,8.7,9.4,6.82,8.57,83,1176,BDL,BDL,0.32,2.81,4,94,17,1600,BDL,BDL
4451,HIMACHAL PRADESH,7.5,14,8.7,9.4,6.83,8.39,86,1258,BDL,BDL,0.32,3.14,4,70,6.8,1600,BDL,BDL
30009,HIMACHAL PRADESH,19.5,20,7.9,9.6,7.7,8.5,218,271,1.4,4,0.42,1.42,40,54000,110,"16000
0",17,17
1014,HIMACHAL PRADESH,10,28,9,9.7,7.76,8.47,126,285,1.2,1.2,0.32,1.4,31,84,210,350,BDL,BDL
1015,HIMACHAL PRADESH,10,28,8.8,9.7,7.86,8.34,137,300,BDL,BDL,0.32,2.09,58,140,280,540,BDL,BDL
1016,HIMACHAL PRADESH,16,28,8.4,9.4,6.88,7.84,181,316,BDL,BDL,BDL,5.77,2,43,21,220,BDL,BDL
30087,HIMACHAL PRADESH,18,21,8.5,10.7,8,8.3,218,249,3,3,0.32,0.42,220,3300,700,17000,22,22
30088,HIMACHAL PRADESH,18,21,8.4,10.1,8.1,8.3,216,243,1.3,1.5,0.32,0.42,2,680,430,3300,8,8
30010,PUNJAB,18,26,8.6,9.2,7.7,8,237,273,BDL,BDL,0.42,0.92,110,2300,700,14000,130,130
1814,PUNJAB,11,25,8,10.6,7.6,8.5,214,321,BDL,BDL,1.2,1.8,92,250,410,790,-,-
2915,PUNJAB,11,22,8.3,10.7,7.3,8.4,216,272,BDL,BDL,1.3,1.7,20,140,140,390,-,-
1380,PUNJAB,10,22,8.4,10.8,7.5,8.4,217,270,BDL,BDL,1.4,1.7,20,100,170,380,-,-
10020,PUNJAB,12,27,7.8,10,7.4,8.5,235,388,BDL,BDL,1.3,2.1,78,210,330,580,-,-
10021,PUNJAB,10,,,11.1,7.4,8.4,217,277,BDL,BDL,1.3,1.7,130,260,460,790,-,-
10022,PUNJAB,13,32,5.6,8,7.2,8.3,238,522,1.6,4,BDL,1.4,260,2200,700,4900,-,-
10023,PUNJAB,10,33,2.9,5.8,7.2,8.3,610,858,8,17,0.4,2.1,320,2100,1500,6300,-,-
10024,PUNJAB,10,36,1,1.4,7.1,8.4,574,1265,11,26,0.4,2.4,2100,7800,6300,21000,-,-
10027,PUNJAB,12,29,7.1,9.2,7.8,8.5,258,336,1.2,1.2,1.3,2.4,330,1400,940,3400,-,-
10028,PUNJAB,11,31,1,7,7.2,8,294,1150,1.6,39,1.4,3.1,33000,"13000
00",94000,"21000
00",-,-
1017,PUNJAB,9,21,7.2,9.1,7.7,8.2,200,241,BDL,BDL,1.2,1.8,18,130,110,270,-,-
1018,PUNJAB,10,26,7.6,10.5,7.5,8.5,221,307,BDL,BDL,1.2,1.7,11,110,170,470,-,-
1293,PUNJAB,10,26,7.3,9.4,7.6,8.3,229,478,BDL,BDL,1.2,1.8,320,1300,840,3400,-,-
1019,PUNJAB,9,27,7.3,9.6,7.4,8.5,238,347,BDL,BDL,1.3,1.9,250,930,580,3400,-,-
1690,PUNJAB,9,30,6.2,8,7.4,8.2,254,438,1.1,1.4,1.6,2.6,400,1700,1000,4300,-,-
1020,PUNJAB,10,32,1.1,6,7.2,7.7,332,1302,2.6,140,1.6,3.4,70000,"23000
00","17000
0","58000
00",-,-
1022,PUNJAB,13,28,4.8,7.6,7.2,8.5,220,660,1.2,4,1.3,2.3,780,2100,2200,5800,-,-
10025,PUNJAB,10,37,0,0,6.9,7.9,792,1210,50,85,3,5.2,33000,"23000
0","11000
0","49000
0",-,-
10026,PUNJAB,11,36,0,0,7.2,7.8,589,1260,50,87,4.6,7.2,22000,"21000
0",79000,"63000
0",-,-
1021,PUNJAB,12,29,1.2,6.2,7.1,8.5,320,1023,1.4,70,1.3,3,4600,"49000
0",70000,"11000
00",-,-
1381,PUNJAB,13,29,1.4,5.8,7.1,8.4,307,1045,2.5,37,1.5,3.3,31000,"49000
0",84000,"11000
00",-,-
1691,PUNJAB,11,30,5.6,8.8,7.2,8.3,232,353,1.1,1.3,1.2,1.9,250,1300,580,3300,-,-
1692,PUNJAB,12,29,5.6,8.5,7.2,8.4,234,360,1.2,1.4,1.2,2,180,1700,610,3400,-,-
4059,JAMMU & KASHMIR,21,24,7,7.6,8.2,8.56,176,186,BDL,BDL,-,-,-,-,-,-,-,-
4060,JAMMU & KASHMIR,21,24,7,7.8,8,8.2,162,174,BDL,BDL,-,-,-,-,-,-,-,-
4061,JAMMU & KASHMIR,22,24,7.6,7.6,8.1,8.65,186,204,BDL,BDL,-,-,-,-,-,-,-,-
1088,HIMACHAL PRADESH,13,27,6.2,9.1,7.13,7.86,161,305,BDL,BDL,BDL,4.41,2,22,21,1600,BDL,BDL
1089,HIMACHAL PRADESH,10,18,8.4,9.4,7.18,7.94,142,248,BDL,BDL,BDL,2.68,2,13,17,920,BDL,BDL
2614,HIMACHAL PRADESH,9,19,8.7,9.2,6.92,8.09,146,334,BDL,BDL,BDL,3.68,2,26,21,1600,BDL,BDL
2615,HIMACHAL PRADESH,9,18,8.6,9.4,7.04,8.31,96,216,BDL,BDL,BDL,3.26,2,33,21,540,BDL,BDL
2613,HIMACHAL PRADESH,10,17,8.2,9.4,7.24,8.05,154,225,BDL,BDL,BDL,6.06,2,84,24,1600,BDL,BDL
3873,HIMACHAL PRADESH,10,18,8.1,9.4,7.13,8.21,136,204,BDL,BDL,BDL,5.19,2,22,24,170,BDL,BDL
3874,HIMACHAL PRADESH,10,18,8,9.4,7.2,8.14,128,198,BDL,BDL,BDL,6.94,2,33,27,240,BDL,BDL
30085,PUNJAB,18,24,9.1,10.1,8.1,8.3,156,200,1.2,1.2,0.32,0.52,45,23000,330,110000,79,79
30089,JAMMU & KASHMIR,17,26,9,10.4,8.2,8.9,168,351,2,2,0.32,0.32,78,170000,490,330000,220,220
1097,PUNJAB,12,37,7.3,10.3,7.6,8.2,149,230,1.1,1.2,0.4,0.8,17,33,94,170,-,-
1290,HIMACHAL PRADESH,3,17,7.2,9.2,7.42,8.3,51,94,BDL,BDL,0.32,1.99,32,170,210,920,BDL,BDL
2605,HIMACHAL PRADESH,3,10,7.6,9.4,7.08,8.39,42,92,BDL,BDL,0.32,1.64,21,43,58,170,BDL,BDL
2606,HIMACHAL PRADESH,3,12,7.6,9.2,6.85,8.36,38,103,BDL,BDL,0.32,1.8,21,47,84,240,BDL,BDL
1551,HIMACHAL PRADESH,11,25,5.2,9.1,7.32,8.21,403,754,1.1,12,0.47,9.91,2,70,38,920,BDL,BDL
1552,HIMACHAL PRADESH,11,29,5,7.8,7.28,8.42,459,1759,1.2,13,0.32,12.11,2,94,25,280,BDL,BDL
1868,HIMACHAL PRADESH,11,30,5.5,9.6,7.41,8.22,419,1300,1.2,4,0.64,8.9,2,49,27,540,BDL,BDL
4485,HIMACHAL PRADESH,12,28,1,7,7.45,8.52,283,665,1.1,5.5,1.48,7.86,2,79,47,350,BDL,BDL
4487,HIMACHAL PRADESH,11,30,3.5,5.6,6.88,8.31,563,1466,2,8.8,1.42,18.03,2,110,21,350,BDL,BDL
4489,HIMACHAL PRADESH,10,30,4.5,7,7.21,8.28,642,1616,2,27,0.86,6.92,2,140,33,560,BDL,BDL
30012,PUNJAB,19,29,4.7,8.7,7.6,8.4,727,1522,5,14,3.75,6.5,4900,920000,11000,2400000,130,1100
2616,HIMACHAL PRADESH,8,19,8.6,9.2,6.72,8.14,130,301,BDL,BDL,BDL,4.21,2,26,21,1600,BDL,BDL
2607,HIMACHAL PRADESH,7,26,6.5,9.4,7.56,8.41,150,415,1.2,1.6,0.32,2.01,110,1600,540,1600,2,2
2608,HIMACHAL PRADESH,15,22,7.5,9.3,6.9,8.24,64,269,BDL,BDL,BDL,4.52,2,46,22,280,BDL,BDL
2609,HIMACHAL PRADESH,10,26,8.5,9.3,7.11,8.02,109,271,BDL,BDL,BDL,5.81,2,33,14,280,BDL,BDL
2610,HIMACHAL PRADESH,7,13,9.1,9.6,8.08,8.51,227,452,BDL,BDL,0.32,0.61,4,17,6.8,1600,BDL,BDL
2612,HIMACHAL PRADESH,6,12.5,9.3,9.7,8.1,8.43,72,2423,BDL,BDL,0.32,0.78,3,33,2,1600,BDL,BDL
2755,JAMMU & KASHMIR,11,25,5,7.2,7.85,8.75,326,420,1.3,2.2,-,-,-,-,-,-,-,-
2756,JAMMU & KASHMIR,11,26,4.2,7.4,7.85,8.65,320,392,1.4,2.5,-,-,-,-,-,-,-,-
2752,JAMMU & KASHMIR,13,28,4.2,7.2,7.56,8.45,238,372,1.1,2.2,-,-,-,-,-,-,-,-
2753,JAMMU & KASHMIR,13,29,4.3,6.8,7.35,8.2,256,372,1.2,2.6,-,-,-,-,-,-,-,-
2748,JAMMU & KASHMIR,12,16,7,7.7,7.26,8.2,124,162,1.1,1.1,-,-,-,-,-,-,-,-
2749,JAMMU & KASHMIR,12,16,7.2,7.8,7.28,8.12,124,166,1.1,1.1,-,-,-,-,-,-,-,-
2750,JAMMU & KASHMIR,12,16,7.2,7.9,7.28,8.1,126,174,BDL,BDL,-,-,-,-,-,-,-,-
2751,JAMMU & KASHMIR,12,17,7.3,7.5,7.56,7.95,112,186,1.1,2.5,-,-,-,-,-,-,-,-
2754,JAMMU & KASHMIR,14,28,4.2,6.3,7.82,8.2,284,526,2.3,3.3,-,-,-,-,-,-,-,-
2757,JAMMU & KASHMIR,16,26,7,7.3,7.97,8.1,380,420,BDL,BDL,-,-,-,-,-,-,-,-
2742,JAMMU & KASHMIR,16,29,6.8,7.8,7.2,7.95,140,324,BDL,BDL,-,-,-,-,-,-,-,-
2743,JAMMU & KASHMIR,14,29,6.5,7.8,7.4,8.24,142,334,1.1,1.1,-,-,-,-,-,-,-,-
1412,JAMMU & KASHMIR,14,32,4.4,5.9,7.45,8.2,296,548,2.6,5.8,-,-,-,-,-,-,-,-
2744,JAMMU & KASHMIR,14,30,5,7.1,7.71,8.85,146,380,1.3,3.1,-,-,-,-,-,-,-,-
2745,JAMMU & KASHMIR,14,30,3.5,6,7.55,8.85,145,376,5.2,8.3,-,-,-,-,-,-,-,-
2746,JAMMU & KASHMIR,15,31,6.6,7.2,7.65,8.57,138,362,1.3,1.3,-,-,-,-,-,-,-,-
2747,JAMMU & KASHMIR,15,31,6.7,7.5,7.45,8.25,140,360,1.1,1.1,0.32,0.32,BDL,BDL,BDL,BDL,BDL,BDL
4055,JAMMU & KASHMIR,15,32,2.8,5.1,7.45,8.9,156,580,6.6,8.6,-,-,-,-,-,-,-,-
4056,JAMMU & KASHMIR,14,32,4.3,6.1,7.56,8.5,280,460,3.1,4.5,-,-,-,-,-,-,-,-
