STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1185,KARNATAKA,25,36,4.6,8.6,7.4,8.1,320,1860,0.6,4.1,0,2.4,500,900,900,1600
1163,KARNATAKA,22,30,6.1,9.4,7.2,8.2,220,790,0.2,4.9,0,1.9,500,900,900,1600
1187,KARNATAKA,22,34,2.8,8.4,6.8,8,140,380,0.2,7.7,0,0.8,900,900,1600,1600
1164,KARNATAKA,22,35,5.6,12.1,7.3,8.2,200,580,0.8,4.9,0,0.7,500,900,900,1600
1186,KARNATAKA,18,35,5.8,8.2,7.6,8.3,370,3700,1,5.3,0,7.2,500,900,900,1600
2764,KARNATAKA,19,32,5.9,8.2,7.1,8.5,390,3900,0.8,5.6,0,7.5,500,900,900,1600
1029,KARNATAKA,25,32,6.9,7.6,7,8.1,132,540,2,2.9,0.1,0.3,90,500,220,1600
29,KARNATAKA,27,32,7,7.6,7.2,8.4,344,923,2,2.8,0.1,0.5,300,1600,900,1600
2767,KARNATAKA,25,30,6.9,8.4,7,7.8,138,470,1.9,3.2,0,0.2,40,240,110,900
2768,KARNATAKA,25,31,4.5,6.8,6.9,7.7,240,1280,4,12,0.1,0.7,170,1600,500,3500
2769,KARNATAKA,25,31,6,7.8,7,8.3,150,590,2,6,0.1,2.6,110,1600,280,2200
2770,KARNATAKA,25,29,5.5,7.6,7,7.8,170,510,3,4.8,0.1,1,110,1600,240,3500
2776,KARNATAKA,26,32,7,7.4,7.4,8.4,319,652,1.8,3,0.1,0.5,300,900,900,1600
2766,KARNATAKA,25,30,6.9,8,7,7.8,136,352,1.7,3,0.1,0.6,50,500,140,900
1174,ANDHRA PRADESH,25,32,5.6,6.9,7.9,8.5,904,1371,1.2,2.9,1,3.9,16,28,470,600
1785,ANDHRA PRADESH,26,33,5.3,6.7,7.9,8.4,711,1080,0.7,2.8,1,2.9,10,28,460,590
1168,KARNATAKA,25,31,5.7,7.2,6.9,7.9,115,250,2.5,4,0.1,0.7,280,2400,900,5000
1896,KARNATAKA,25,32,6.2,7.4,6.8,7.6,168,270,2,4.4,0,0.5,110,1600,220,2800
1091,KARNATAKA,18,26.5,5.2,7.1,7,7.5,168,300,1,7,0,0.3,170,940,1100,4300
1387,KARNATAKA,26,30,5.6,7.8,6.9,7.6,200,280,3,4.5,0.1,1.2,900,1600,1600,3500
1169,KARNATAKA,26,31,6.2,8.2,6.9,7.5,180,282,2,4.6,0.1,0.6,130,1600,240,3000
2765,KARNATAKA,26,30,6.4,8,7,8,140,230,1.9,2.7,0,0.5,40,350,110,900
2771,KARNATAKA,18,26.7,5.3,7.2,6.8,7.4,152,250,1,1,0.1,0.1,130,700,920,2800
1172,TELANGANA,24,30,2.8,5.3,6.9,7.9,292,412,1.6,6,0,38,6,15,24,70
1173,TELANGANA,24,30,1.5,4,6.9,7.8,1180,1521,6,60,0.1,694,50,82,220,750
2339,TELANGANA,24,30,0,6.5,6.1,7.6,440,1400,6,80,1,877,70,118,250,950
