STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1001,HIMACHAL PRADESH,25,31,5.5,8,7.8,8.5,194,486,1.2,3,0.2,0.9,130,1300,840,3500
2601,HIMACHAL PRADESH,5,19,7.6,10.1,7,8.4,88,152,0.1,0.3,0,1,11,43,70,280
2602,HIMACHAL PRADESH,5,20,7.7,9.6,6.8,8.3,92,194,0.1,0.1,0,0.8,11,34,94,280
1002,HIMACHAL PRADESH,24,25,,,4.3,6.6,205,224,0.4,0.8,0.5,0.9,2.0,30,0,100
1003,HIMACHAL PRADESH,23,29,2.5,6.82,6.9,8.3,76,326,2,8.8,0.1,1.2,8,40,70,1600
1005,HIMACHAL PRADESH,24,31,6,7.6,7.3,7.8,110,400,2,4,0.1,0.3,140,900,350,2400
1550,HIMACHAL PRADESH,10,24,7.6,11.5,7.2,8.1,92,259,0.1,0.1,0,0.7,11,32,94,210
1006,HIMACHAL PRADESH,10,26,7.5,11.6,7.2,8.2,121,342,0.1,0.2,0,1,17,63,130,540
2604,HIMACHAL PRADESH,13,19,7.5,8.7,7,8.6,165,453,0.3,2,0,0.2,6,17,170,280
1007,HIMACHAL PRADESH,15,20,7.1,8.4,6.7,8.7,167,454,0.4,1,0,0.3,5,14,140,280
1009,HIMACHAL PRADESH,14,20,6.7,8.7,7.4,8.5,165,310,0.1,0.5,0,0.2,6,13,130,280
1693,PUNJAB,12,21,7.2,8.1,7.3,7.8,192,227,0.4,0.4,0.4,0.8,70,180,110,360
1694,PUNJAB,12,23,6,7.8,7,7.6,214,301,0.4,1.1,0.7,1.6,84,210,210,400
1695,PUNJAB,11,22,7,7.8,7.1,7.6,270,312,0.8,1.4,1.2,2.2,94,250,330,580
1294,PUNJAB,10,22,5,6.4,7,7.5,296,372,2.2,3.8,1.4,2,170,270,430,790
1011,PUNJAB,11,21,7.3,7.8,7.2,7.6,198,288,0.7,1.3,0,2.4,110,180,260,430
