STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
1867,HIMACHAL PRADESH,9.0,12.0,9.7,10.1,6.8,8.0,92.0,366.0,0.1,0.2,0.2,0.2,2.0,2.0,20.0,20.0,31.804453,78.643214
2611,HIMACHAL PRADESH,9.0,12.0,9.7,10.1,6.7,7.9,84.0,327.0,0.1,0.5,0.2,0.5,2.0,2.0,20.0,20.0,31.798494,78.639769
1389,HIMACHAL PRADESH,12.0,17.0,9.1,9.6,6.8,8.1,92.0,330.0,0.1,0.5,0.2,0.4,2.0,2.0,20.0,20.0,31.859386,77.165125
1086,HIMACHAL PRADESH,14.0,17.0,8.8,9.8,6.96,7.99,107.0,309.0,0.1,0.4,0.2,0.34,2.0,2.0,21.0,21.0,31.448039,77.628283
1087,HIMACHAL PRADESH,14.0,17.0,8.7,9.2,6.91,8.04,102.0,298.0,0.1,0.2,0.2,0.513,2.0,2.0,25.0,25.0,31.432236,77.622567
1013,HIMACHAL PRADESH,15.0,19.0,8.6,8.9,6.88,7.91,106.0,311.0,0.1,2,0.2,0.365,2.0,2.0,25.0,25.0,31.247458,77.088208
1014,HIMACHAL PRADESH,10.0,24.0,8.0,9.7,7.56,8.11,134.0,329.0,0.1,0.1,0.2,0.862,13.0,23.0,110.0,180.0,31.421014,76.837836
1015,HIMACHAL PRADESH,10.0,20.0,6.7,9.8,7.75,8.16,123.0,310.0,0.1,0.2,0.2,0.931,21.0,43.0,130.0,350.0,31.412833,76.874881
1016,HIMACHAL PRADESH,5.0,20.0,6.5,7.8,6.95,8.47,232.0,340.0,0.1,1.2,0.02,0.54,6.0,21.0,210.0,430.0,31.425772,76.421883
1017,PUNJAB,16.0,24.0,7.8,8.2,7.53,8.1,206.0,292.0,,,0.2,0.6,93.0,220.0,240.0,450.0,31.380831,76.367228
1293,PUNJAB,15.0,27.0,7.0,7.8,7.2,8.0,258.0,372.0,2,2,0.4,1,200.0,830.0,610.0,1500.0,30.984964,76.4672
1814,PUNJAB,16.0,25.0,7.3,7.9,7.4,8.2,205.0,402.0,,,0.4,1.8,200.0,1400.0,610.0,2400.0,31.182044,76.563547
1018,PUNJAB,16.0,26.0,7.5,7.9,7.66,8.2,244.0,314.0,1,1,0.4,0.8,170.0,400.0,310.0,610.0,31.375996,76.364695
1019,PUNJAB,16.0,24.0,7.4,7.9,7.35,8.29,224.0,360.0,,,0.4,1,200.0,680.0,680.0,1400.0,31.379027,76.372115
1380,PUNJAB,17.0,28.0,7.4,7.9,7.7,8.0,254.0,348.0,,,0.4,1.2,130.0,600.0,340.0,810.0,31.356053,76.372837
1690,PUNJAB,17.0,34.0,5.6,7.5,7.2,7.7,362.0,565.0,1,2,0.6,1,400.0,1700.0,930.0,3800.0,30.922369,75.919469
1020,PUNJAB,16.0,35.0,2.0,5.1,7.17,7.59,732.0,1733.0,30,108,1.6,14,17000.0,210000.0,31000.0,380000.0,30.975026,75.608293
