STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
2160,MAHARASHTRA,14,28,5,7.3,7.2,8.2,338,20360,2.6,6.5,0.3,3.3,2,11,70,170,1.8,1.8,19.63253,75.028605
2161,MAHARASHTRA,21,30,5.7,7.3,7.2,8.5,175,1129,2.1,6.5,0.1,1.1,2,4.5,33,170,1.8,1.8,19.360024,75.709583
2157,MAHARASHTRA,16,38,5.6,7.4,7.4,8,392,58960,2.2,6.5,0.2,4.9,2,23,85,240,1.8,1.8,20.793322,78.139339
1210,MAHARASHTRA,18,40,4.9,7.4,7,8.1,381,21860,2.4,5,0.2,3.6,2,4,43,130,1.8,1.8,19.113106,77.288242
1209,MAHARASHTRA,18,26,4.3,7.4,7.4,8.2,395,755,2.6,6.5,0.3,1.1,2,6.8,41,170,-,-,18.85443,77.527475
2360,TELANGANA,16,28,5.9,7.6,6.8,8.3,387,656,1.9,15,3.2,12.2,1.8,2,10,36,-,-,18.868297,77.962194
2361,TELANGANA,3,30,4.8,8.9,7.2,8.3,151,672,2,3,0.3,1.7,1.8,4,26,60,-,-,18.838133,79.441697
13,TELANGANA,24,30,4.5,6,7.4,8.4,70,771,3,8,0.19,3.6,1.8,1.8,32,40,-,-,18.850151,79.442839
2362,TELANGANA,24,30,3.8,5.8,7.3,8.3,489,787,3,18,0.1,3,1.8,1.8,25,33,-,-,18.819131,79.468017
2363,TELANGANA,25,30,4.4,5.4,7.1,8.1,476,1197,3,16,1.4,4.8,1.8,1.8,26,52,-,-,18.781656,79.513558
2364,TELANGANA,23,30,4,6.2,7.4,8.3,476,694,3,12,0.4,4.9,1.8,1.8,12,33,-,-,18.786369,79.521028
2356,TELANGANA,25,29,4,5.3,7.4,8.2,508,1161,3,24,1.2,6.8,1.8,1.8,20,70,-,-,18.727075,79.620161
2365,TELANGANA,25,30,5.2,6.6,7.2,8.2,268,478,2,10,0.4,4.4,1.8,1.8,24,60,-,-,18.288014,80.492375
2367,TELANGANA,24,36,5,6.2,7.4,8.2,304,456,2.2,12,0.3,4.5,1.8,1.8,14,14,-,-,17.674897,80.883094
2369,TELANGANA,23,35,5,6.2,7.4,8.1,235,532,3,10,0.3,4.9,1.8,1.8,24,26,-,-,17.648483,80.8775
2366,TELANGANA,25,30,4.8,6,7.1,8.4,292,502,3,4,0.2,2.2,1.8,1.8,32,102,-,-,18.263814,80.538533
2368,TELANGANA,24,36,4.3,6,7.3,8.3,310,510,3,16,0.3,4.6,1.8,1.8,20,38,-,-,17.655586,80.876653
1218,ANDHRA PRADESH,25,33,5.6,8.1,7.1,8.3,137,291,1.2,2.5,0.2,5.7,4,11,39,150,-,-,17.069466,81.711134
1219,ANDHRA PRADESH,25,35,6,8,6.6,8.3,163,262,1,2.6,0.4,4.4,7,20,75,210,-,-,17.007975,81.763328
2370,ANDHRA PRADESH,25,34,5.1,7.8,6.4,8.6,187,298,1.2,2.5,0.4,3.1,4,15,69,240,-,-,17.023186,81.768181
2371,ANDHRA PRADESH,25,34,5.7,7.7,6.5,8.4,172,329,1.5,2.4,0.4,3.9,7,28,75,460,-,-,16.958989,81.78175
14,ANDHRA PRADESH,25,34,5.9,8.5,7.1,8.4,147,284,1,2.4,0.27,6.03,5,14,45,150,-,-,17.247331,81.646613
1854,CHHATTISGARH,25,32,7.2,7.7,7.5,7.8,-,-,2.4,2.8,-,-,1.8,14,6,94,-,-,18.900033,81.344044
1855,CHHATTISGARH,25,32,7.0,7.8,7.2,7.4,-,-,1.8,3.0,-,-,2,14,2,110,-,-,18.731275,80.278886
1856,CHHATTISGARH,25,31,7.3,7.7,7.2,7.6,-,-,2.2,2.4,-,-,1.8,12,6,70,-,-,18.888807,81.370074
2374,TELANGANA,20,26,4.9,6.5,7.1,7.5,970,1765,2.1,3,6.3,19.3,1.8,1.8,36,40,-,-,17.64797,78.143382
2375,TELANGANA,20,26,3.9,6.7,6.9,7.5,970,1782,2.1,31,4.2,15.3,1.8,1.8,33,38,-,-,17.650778,78.134958
1781,TELANGANA,21,25,5.9,6.7,7.1,7.6,453,827,2.0,3.0,1.2,13.3,1.8,1.8,12,70,-,-,17.649043,78.118479
1157,TELANGANA,22,25,6.5,6.8,7.1,7.4,22,515,2.0,6.0,0.2,8.5,1.8,1.8,22,23,-,-,17.48468,79.107452
1215,TELANGANA,27,29,5.0,5.8,7.0,8.0,418,590,3.0,3.0,0.6,1.0,1.8,1.8,24,60,-,-,17.974814,79.898686
1158,TELANGANA,24,28,4.9,5.4,7.7,8.3,486,680,2,16,0.3,3.3,1.8,1.8,26,26,-,-,18.369532,79.626751
2719,MAHARASHTRA,18,44,5.6,8.1,7.2,9.0,188,798,3.4,11.4,0.7,6.2,2,40,110,350,4,7.8,19.962632,79.277747
2720,MAHARASHTRA,18,44,5,8.3,7.0,9.0,171,744,3,9.2,0.5,5.8,2,32,79,210,3.6,8.3,19.962783,79.277286
2721,MAHARASHTRA,17,42,5,8,7.4,8.9,92,820,3.4,9,0.2,11.3,1.8,34,63,350,4,10,19.956027,79.099547
2174,MAHARASHTRA,16,40,5.6,7.8,7.7,9.0,154,980,3.4,5.7,0.3,5,2,39,150,280,6.8,12,19.922574,79.113955
2156,MAHARASHTRA,15,42,5.4,8.5,7.0,9.0,188,888,3,7.8,0.3,6.7,1.8,47,140,350,6.8,9.3,20.062424,78.956456
1212,MAHARASHTRA,16,45,4.8,8.3,7.7,8.9,230,1844,3.2,8.2,0.5,10.5,1.8,47,140,350,1.8,4.5,19.77611,79.354942
1315,MAHARASHTRA,19,30,6.4,8,8.1,8.8,274,732,3.2,3.8,0.3,3.3,14,130,27,430,4.5,11,20.726241,78.31758
1213,"MADHYA
PRADESH",2.7,30.6,7,8,7.2,8.3,260,4140,1.3,1.8,0.3,1.2,1.8,1.8,-,-,-,-,21.802913,80.157861
1214,"MADHYA
PRADESH",,,7.2,7.2,7.3,8.3,690,910,1.8,2.8,2.2,2.8,3,4,14,21,-,-,21.804398,80.157483
3330,MADHYA PRADESH,16.1,30.1,7.2,7.7,7.2,8.3,220,438,1.2,1.8,0.3,1.1,1.8,10,39,43,-,-,22.396132,79.540674
