STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
2063,ASSAM,20,28,8,9.1,6.6,7.1,66,98,1.1,4.5,0.1,2.33,360,360,360,910,26.759281,92.858803
2237,ASSAM,19,35,3.4,10.1,6.2,7.2,59,283,1,3.2,0.18,1.39,300,300,720,1500,26.349206,92.68035
2059,ASSAM,22,36,7.7,10.3,6.8,7.7,42,135,1.1,2.3,0.11,0.33,730,730,910,2300,26.265026,92.264751
2060,ASSAM,21,30,6,6.7,7.6,7.9,433,801,1.6,2.8,0.17,1.66,�,�,300,910,26.496268,90.652663
2058,ASSAM,20,27,6.3,10.8,6.2,7.1,101,169,0.6,3,0.15,0.32,360,2000,360,21000,27.141901,95.36639
1298,ASSAM,20,28,4.6,6.7,6.2,7,23,261,2.2,4.2,0.19,1.66,1500,1500,1500,3500,27.311023,95.101786
1258,ASSAM,19,28,5.4,7.6,6.9,7.4,56,155,1.6,2.7,0.11,1.33,�,�,730,1500,26.846906,94.492244
1527,ASSAM,19,27,6,7.5,6.6,7.3,74,172,1.2,3.7,0.18,1.02,360,910,700,2700,26.781058,94.208548
1531,ASSAM,20,28,7,7.4,6.9,8.3,96,355,2.4,2.9,0.16,1.45,360,730,730,2000,26.848745,92.840375
1423,ASSAM,14,22,6.2,6.8,6.7,7.4,60,195,1.1,2.3,0.19,2.3,300,360,1100,1500,24.8674,92.600817
1528,ASSAM,19,32,0,0.7,6.8,7.6,730,960,42,50,0.18,15.6,730,730,360,9300,26.167661,91.765289
1529,ASSAM,19,30,4.4,9.5,6.7,7.9,195,256,3.6,4.6,0.16,2.02,1100,2800,2000,240000,26.119297,91.647713
2068,ASSAM,16,24,6.1,6.8,6.6,7.3,60,215,0.7,2.3,0.12,2.36,360,1100,730,5300,24.648536,92.608089
1232,RAJASTHAN,11,38,3.6,6.5,7.2,8.8,360,670,0.6,2.4,0.42,1.55,4,4,4,9,23.648483,74.126708
4,GUJARAT,25,28,7.1,9,8.1,8.3,270,384,2.2,3.1,0.14,2.66,2,4,11,15,22.81225,73.359778
1229,GUJARAT,25,29,6,8.8,7.9,8.5,129,1205,2.1,5,0.756,5.6,2,900,7,900,23.285842,73.831736
1230,GUJARAT,25,28,5.7,8.7,6.8,8.7,232,452,0.5,3.2,2.394,3.59,2,2,140,1600,23.324822,73.9021
1231,GUJARAT,24,24,4.1,10.2,6.7,8.7,1015,1015,0.9,3.6,0.58,1.25,4,4,2,2,23.152072,73.551372
1863,GUJARAT,25,29,4.8,8.6,8,8.3,557,2420,4.5,8,0.4,0.96,7,170,4,120,22.342298,73.052575
1864,GUJARAT,25,29,3.8,9.8,7.3,8.3,343,527,4.5,9,0.468,9.6,110,110,150,430,22.254744,72.982618
1228,GUJARAT,26,28,8.4,8.7,7.9,8,223,337,3.2,5,0.07,1.55,1,5,4,23,22.846264,74.291789
2102,MADHYA PRADESH,23,28,7,7.7,7,7.8,360,874,1.9,3,0.84,1.98,�,�,�,�,24.05703,75.074378
2103,MADHYA PRADESH,25,28,7.2,7.7,7.2,8.3,240,390,1.4,2.1,1.16,1.66,�,�,�,�,23.330385,75.034646
2104,MADHYA PRADESH,25,28,7.2,7.6,7,8.2,356,838,2,3,1.82,3.2,�,�,�,�,23.639659,75.126136
2105,MADHYA PRADESH,24,32,7.2,7.5,7.3,8,300,527,2,3,0.18,3.56,�,�,�,�,23.396067,76.291283
1221,GUJARAT,25,28,7.2,8.4,7.3,8.4,285,889,1.8,8,0.261,1.89,17,70,21,120,24.22986,73.005317
1407,GUJARAT,26,29,3.2,3.2,7.5,8.7,285,4220,5,13,0.713,5.66,900,900,3500,22000,23.245906,72.68218
1408,GUJARAT,27,30,5.4,6.8,7.5,8.4,599,34593,5,83,1.215,5.42,14,1500,4,50000,23.031314,72.575114
1409,GUJARAT,27,34,0.6,8.4,7.3,8.3,329,10100,1,21,0.22,2.02,10,10,7,900,23.06353,72.589064
1866,GUJARAT,�,�,�,�,�,�,268,9740,�,�,7.519,9.89,200,7900,9,300,23.090926,72.629239
1222,GUJARAT,27,30,7.1,8.2,6.9,8.6,287,463,4.5,15,0.31,1.89,�,�,26,1400,22.739321,72.679059
1224,GUJARAT,25,25,6.6,8.1,8.3,8.5,286,1247,2,2,1.94,2.06,2,2,7,30,23.681975,73.391956
1437,GUJARAT,26,31,1.8,7.3,7,8.5,139,7110,0.2,115,0.836,1.56,�,�,11,47,22.868749,72.627351
1227,GUJARAT,25,26,7.8,8.8,7.7,8.3,325,430,2.6,3.3,0.13,1.23,2,2,11,15,23.055164,73.716378
1241,MADHYA PRADESH,18,23,6.8,7.8,7.2,8.3,324,499,0.6,2.8,0.4,1.84,4,39,17,460,22.598638,80.371449
