STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
26,ANDHRA PRADESH,25.0,25.0,7.4,7.8,1440.0,1808.0,1.0,1.2,3.6,3.7,2.0,2.0,400.0,400.0,16.508853,80.641519
1513,ANDHRA PRADESH,26.0,26.0,7.6,8.1,1614.0,1751.0,1.0,1.2,2.7,3.6,2.0,2.0,400.0,800.0,16.501486,80.675692
1514,ANDHRA PRADESH,25.0,25.0,7.3,7.5,1685.0,2039.0,1.0,1.6,0.9,3.9,2.0,2.0,400.0,400.0,16.501508,80.676725
1516,ANDHRA PRADESH,25.0,25.0,7.6,8.7,845.0,2160.0,1.0,1.2,2.2,30.0,2.0,2.0,400.0,800.0,14.445036,79.987869
1517,ANDHRA PRADESH,22.0,26.0,7.4,7.4,4340.0,5500.0,0.5,2.0,3.7,15.2,2.0,2.0,2.0,2.0,15.8363,78.048593
1518,ANDHRA PRADESH,22.0,27.0,7.1,7.5,6140.0,6180.0,0.8,2.0,3.0,34.2,2.0,2.0,2.0,2.0,15.479222,78.480942
1519,ANDHRA PRADESH,28.0,29.0,7.3,7.6,2120.0,2180.0,0.5,2.0,4.7,24.8,2.0,2.0,2.0,2.0,13.321417,79.585592
1520,ANDHRA PRADESH,28.0,28.0,7.3,7.6,762.0,928.0,0.5,2.0,2.4,19.0,2.0,2.0,2.0,2.0,13.758251,79.701872
1521,ANDHRA PRADESH,25.0,28.0,7.0,8.0,1938.0,2355.0,1.2,1.4,6.5,10.6,15.0,21.0,460.0,460.0,17.704261,83.211783
1522,ANDHRA PRADESH,27.0,27.0,7.0,8.0,529.0,560.0,1.4,1.7,0.6,0.7,9.0,15.0,150.0,210.0,18.104532,83.397197
1523,ANDHRA PRADESH,25.0,27.0,7.0,8.0,391.0,434.0,1.2,1.4,0.6,3.4,7.0,11.0,75.0,150.0,17.015144,81.736181
1524,ANDHRA PRADESH,27.0,29.0,7.0,8.0,1057.0,1817.0,1.3,1.4,2.3,3.6,9.0,11.0,110.0,150.0,16.971003,82.219006
3087,ANDHRA PRADESH,26.0,26.0,7.6,7.9,1360.0,2164.0,1.0,1.8,3.0,8.1,2.0,2.0,800.0,800.0,16.57873,80.665263
3089,ANDHRA PRADESH,27.0,30.0,7.8,8.0,2238.0,2431.0,1.0,1.3,10.7,12.2,15.0,21.0,240.0,460.0,17.647774,83.07053
3090,ANDHRA PRADESH,28.0,29.0,7.0,7.2,2277.0,2710.0,1.2,2.0,4.8,17.3,11.0,15.0,110.0,210.0,17.694566,83.231092
3091,ANDHRA PRADESH,28.0,29.0,7.0,8.0,3100.0,4369.0,1.4,2.2,2.9,11.2,9.0,11.0,350.0,350.0,17.845289,83.368911
3092,ANDHRA PRADESH,28.0,28.0,7.0,8.0,862.0,1191.0,1.3,1.7,5.7,7.3,11.0,15.0,150.0,150.0,18.57652,84.015135
3093,ANDHRA PRADESH,30.0,30.0,7.0,7.0,1710.0,1935.0,0.8,1.4,7.2,12.1,9.0,11.0,75.0,210.0,18.135208,83.61347
1533,ASSAM,18.0,22.0,6.0,6.1,45.0,448.0,1.1,2.5,0.3,0.4,2.0,2.0,2.0,2.0,27.396089,95.631783
1534,ASSAM,26.0,26.0,5.4,6.4,105.0,1240.0,1.9,2.5,0.4,0.4,2.0,2.0,2.0,2.0,26.105415,93.113917
1535,ASSAM,24.0,25.0,6.7,7.5,212.0,217.0,1.1,1.6,0.1,2.4,,,,,26.98,94.63
1536,ASSAM,22.0,25.0,6.7,7.0,217.0,228.0,1.5,1.6,0.1,0.6,2.0,2.0,2.0,2.0,26.979722,94.632211
1537,ASSAM,27.0,29.0,6.7,7.7,225.0,416.0,1.5,2.6,0.2,1.6,2.0,2.0,2.0,2.0,26.750143,94.219855
1538,ASSAM,24.0,24.0,5.5,6.5,95.0,120.0,0.7,1.8,2.4,3.7,2.0,2.0,2.0,2.0,24.820617,92.802431
1539,ASSAM,28.0,28.0,6.9,7.4,222.0,580.0,1.0,1.5,0.2,0.7,2.0,2.0,2.0,2.0,26.315597,90.996408
1540,ASSAM,27.0,27.0,7.0,7.4,96.0,139.0,1.1,1.2,0.1,5.0,2.0,2.0,2.0,2.0,26.48,90.56
1541,ASSAM,26.0,29.0,6.4,6.8,238.0,265.0,1.5,1.5,0.7,1.1,2.0,2.0,2.0,2.0,26.145228,91.736806
1542,ASSAM,26.0,30.0,6.6,7.9,256.0,565.0,1.2,1.6,0.2,0.4,2.0,2.0,2.0,2.0,26.1441,91.735194
2243,ASSAM,18.0,22.0,5.2,5.7,153.0,227.0,1.0,2.0,0.4,0.5,2.0,2.0,2.0,2.0,27.28822,95.680737
2244,ASSAM,22.0,25.0,6.7,7.8,246.0,254.0,0.9,1.5,0.2,2.1,2.0,2.0,2.0,2.0,26.92,94.73
2245,ASSAM,27.0,28.0,5.6,5.7,72.0,198.0,1.7,2.2,0.2,0.4,2.0,2.0,2.0,2.0,26.5885,93.748586
2246,ASSAM,15.0,22.0,6.9,7.0,110.0,152.0,1.0,1.3,0.3,0.7,2.0,2.0,2.0,2.0,26.200386,92.937992
2247,ASSAM,15.0,24.0,6.3,6.4,234.0,250.0,4.6,4.8,0.6,1.9,2.0,2.0,2.0,2.0,27.595294,94.724003
2248,ASSAM,26.0,26.0,5.8,6.1,124.0,242.0,1.6,3.4,0.6,9.2,2.0,2.0,2.0,2.0,27.224728,94.107373
2249,ASSAM,25.0,25.0,6.6,6.7,179.0,208.0,1.0,1.8,0.7,1.3,2.0,2.0,2.0,2.0,26.65285,92.792558
2250,ASSAM,26.0,28.0,6.3,7.1,256.0,287.0,1.4,2.0,0.6,0.7,2.0,2.0,2.0,2.0,26.350383,92.679592
2251,ASSAM,26.0,30.0,5.7,5.8,271.0,685.0,2.7,4.0,0.6,5.8,2.0,2.0,2.0,2.0,26.1277,92.215749
