STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
4395.0,ANDHRA PRADESH,21.0,25.0,4.2,4.4,6.7,7.2,2240.0,2820.0,0.7,0.7,1.90,2.70,2.0,2.0,2.0,2.0,14.690736,77.572373
1533.0,ASSAM,19.0,26.0,0.0,0.0,6.5,6.8,145.0,452.0,1.7,2.6,0.80,0.80,2.0,2.0,2.0,2.0,27.396089,95.631783
1534.0,ASSAM,21.0,26.0,0.0,0.0,6.6,7.0,60.0,97.0,1.6,3.8,1.00,1.10,2.0,2.0,2.0,2.0,26.105415,93.113917
1535.0,ASSAM,23.0,25.0,0.0,0.0,7.1,7.6,213.0,290.0,1.8,2.8,1.00,1.20,2.0,2.0,2.0,2.0,26.98,94.63
1536.0,ASSAM,24.0,30.0,0.0,0.0,7.2,7.9,233.0,296.0,1.0,2.0,0.70,1.00,2.0,2.0,2.0,2.0,26.979722,94.632211
1537.0,ASSAM,25.0,25.0,0.0,0.0,7.0,7.5,130.0,237.0,1.1,2.3,1.20,3.20,2.0,2.0,2.0,2.0,26.750143,94.219855
1538.0,ASSAM,23.0,24.0,0.0,0.0,6.3,6.4,96.0,116.0,1.2,2.0,1.00,1.70,2.0,2.0,2.0,2.0,24.820617,92.802431
1539.0,ASSAM,26.0,27.0,0.0,0.0,7.2,7.5,278.0,578.0,1.3,1.6,0.70,0.70,2.0,2.0,2.0,2.0,26.315597,90.996408
1540.0,ASSAM,26.0,28.0,0.0,0.0,7.2,7.3,104.0,110.0,1.4,1.8,1.10,1.20,2.0,2.0,2.0,2.0,26.48,90.56
1541.0,ASSAM,22.0,29.0,0.0,0.0,7.1,7.2,187.0,445.0,1.2,1.2,0.50,2.80,2.0,2.0,2.0,2.0,26.145228,91.736806
1542.0,ASSAM,25.0,26.0,0.0,0.0,7.0,7.1,44.0,49.0,1.5,2.6,0.70,1.00,2.0,2.0,2.0,2.0,26.1441,91.735194
2243.0,ASSAM,18.0,26.0,0.0,0.0,5.4,6.6,214.0,221.0,1.8,2.7,0.70,0.90,2.0,2.0,2.0,2.0,27.28822,95.680737
2244.0,ASSAM,25.0,30.0,0.0,0.0,7.3,7.6,245.0,283.0,0.8,2.0,1.00,2.00,2.0,2.0,2.0,2.0,26.92,94.73
2245.0,ASSAM,24.0,27.0,0.0,0.0,5.4,6.6,116.0,140.0,1.3,4.2,1.00,1.00,2.0,2.0,2.0,2.0,26.5885,93.748586
2246.0,ASSAM,18.0,24.0,0.0,0.0,7.0,7.2,109.0,144.0,1.1,2.1,0.70,1.00,2.0,2.0,2.0,2.0,26.200386,92.937992
2247.0,ASSAM,18.0,24.0,0.0,0.0,6.8,6.9,23.0,191.0,1.2,1.8,0.80,1.00,2.0,2.0,2.0,2.0,27.595294,94.724003
2248.0,ASSAM,28.0,30.0,0.0,0.0,7.0,7.1,135.0,140.0,1.5,3.4,0.70,0.80,2.0,2.0,2.0,2.0,27.224728,94.107373
