STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
26,ANDHRA PRADESH,25.0,27.0,7.9,8.1,1410.0,1732.0,0.6,0.8,2.65,4.21,2.0,2,400.0,400.0,16.508853,80.641519
1513,ANDHRA PRADESH,26.0,29.0,8.0,8.2,1180.0,1729.0,0.8,0.8,0.0,1.53,2.0,2,400.0,400.0,16.501486,80.675692
1514,ANDHRA PRADESH,26.0,28.0,7.8,8.2,1410.0,1604.0,0.8,1.0,1.28,4.35,2.0,2,400.0,400.0,16.501508,80.676725
1516,ANDHRA PRADESH,27.0,27.0,8.3,8.3,1020.0,1074.0,0.8,0.9,0.99,1.12,2.0,2,400.0,400.0,14.445036,79.987869
1517,ANDHRA PRADESH,21.0,23.0,7.6,7.9,2240.0,4700.0,0.7,1.0,2.12,4.4,2.0,2,2.0,2.0,15.8363,78.048593
1518,ANDHRA PRADESH,23.0,24.0,7.7,7.8,4400.0,4420.0,0.8,1.0,3.0,4.0,2.0,2,2.0,2.0,15.479222,78.480942
1519,ANDHRA PRADESH,25.0,31.0,7.5,7.5,1763.0,1973.0,0.5,1.0,1.8,2.8,2.0,2,2.0,2.0,13.321417,79.585592
1520,ANDHRA PRADESH,26.0,29.0,7.6,7.7,735.0,1285.0,0.7,1.0,1.1,1.3,2.0,2,2.0,2.0,13.758251,79.701872
1521,ANDHRA PRADESH,26.0,27.0,6.9,7.3,2787.0,3163.0,2.0,2.0,9.78,10.06,13.0,15,380.0,460.0,17.704261,83.211783
1522,ANDHRA PRADESH,26.0,28.0,7.2,7.9,514.0,782.0,1.7,1.9,1.15,3.41,11.0,11,150.0,210.0,18.104532,83.397197
1523,ANDHRA PRADESH,25.0,26.0,6.9,7.7,464.0,590.0,1.4,1.5,2.44,3.82,9.0,9,45.0,65.0,17.015144,81.736181
1524,ANDHRA PRADESH,27.0,29.0,6.9,7.8,1403.0,1681.0,1.4,1.8,2.07,3.4,9.0,9,45.0,120.0,16.971003,82.219006
3087,ANDHRA PRADESH,26.0,26.0,7.3,7.7,2110.0,2310.0,0.8,1.0,0.38,0.48,2.0,2,400.0,400.0,16.57873,80.665263
3089,ANDHRA PRADESH,25.0,27.0,7.3,7.5,2223.0,2234.0,1.6,1.8,4.64,10.63,11.0,11,210.0,210.0,17.647774,83.07053
