STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
2248,ASSAM,28,28,7.2,7.5,155,242,1.2,1.7,0.5,0.6,BDL,BDL,BDL,BDL,-,-,92,138,BDL,0.22,-,-,27.224728,94.107373
2249,ASSAM,26,30,7,7.1,151,368,1.2,1.8,0.5,0.6,BDL,BDL,BDL,BDL,-,-,96,198,BDL,0.24,-,-,26.65285,92.792558
2250,ASSAM,28,29,7,7.1,208,312,1.2,1.9,0.7,0.8,BDL,BDL,BDL,BDL,-,-,122,176,0.21,0.22,-,-,26.350383,92.679592
2251,ASSAM,28,28,7,7.3,211,408,1.4,2.3,0.8,0.9,BDL,BDL,BDL,BDL,-,-,118,218,BDL,0.21,BDL,BDL,26.1277,92.215749
2252,ASSAM,25,30,7,7.4,284,401,1.2,2.1,0.8,0.8,BDL,BDL,BDL,BDL,-,-,152,218,BDL,0.22,-,-,26.105147,91.712525
2253,ASSAM,28,31,7.2,7.6,193,230,1.2,1.4,0.6,0.6,BDL,BDL,BDL,BDL,-,-,114,130,0.21,0.23,-,-,26.444617,91.441053
2254,ASSAM,27,28,7.3,7.3,276,376,1.7,2.2,0.7,0.7,BDL,BDL,BDL,BDL,-,-,166,204,BDL,0.22,-,-,26.5,90.97
2255,ASSAM,28,30,7.2,7.3,194,329,1.2,1.7,0.6,0.6,BDL,BDL,BDL,BDL,-,-,114,182,0.21,0.23,BDL,BDL,26.515756,90.532872
2256,ASSAM,28,28,7,7.7,201,346,1.1,1.8,0.6,0.7,BDL,BDL,BDL,BDL,-,-,118,192,BDL,BDL,-,-,26.403904,90.262979
2257,ASSAM,34,34,6.8,6.8,209,209,1.9,1.9,0.7,0.7,BDL,BDL,BDL,BDL,-,-,122,122,0.22,0.22,-,-,26.026696,89.970706
2258,ASSAM,20,30,7,7.2,217,341,1.2,1.8,0.6,0.7,BDL,BDL,BDL,BDL,-,-,130,190,BDL,0.21,-,-,26.170647,90.626604
2259,ASSAM,24,24,7.5,7.5,119,119,1.5,1.5,0.6,0.6,BDL,BDL,BDL,BDL,-,-,72,72,0.24,0.24,-,-,25.84274,93.425589
2260,ASSAM,26,26,6.8,6.8,157,157,1.7,1.7,0.7,0.7,BDL,BDL,BDL,BDL,-,-,94,94,BDL,BDL,-,-,25.847217,92.574292
2261,ASSAM,20,20,7,7,120,120,1.6,1.6,0.5,0.5,BDL,BDL,BDL,BDL,-,-,76,76,0.23,0.23,-,-,25.163311,93.012825
2262,ASSAM,24,24,6.9,7.2,116,148,1.2,1.8,0.7,0.8,BDL,BDL,BDL,BDL,-,-,76,90,BDL,BDL,-,-,24.866553,92.367203
2263,ASSAM,24,24,6.8,6.8,186,196,1.4,1.7,0.6,0.6,BDL,BDL,BDL,BDL,-,-,110,116,BDL,BDL,-,-,24.681103,92.563806
2264,ASSAM,23,24,6.8,7,151,346,1.3,2.2,0.6,0.7,BDL,BDL,BDL,BDL,-,-,96,192,BDL,0.23,-,-,24.861042,92.596669
3761,ASSAM,28,28,7,7.8,162,253,1.1,1.8,0.4,0.6,BDL,BDL,BDL,BDL,-,-,96,144,BDL,0.21,-,-,26.677976,93.140501
3762,ASSAM,26,32,7.3,7.6,80,391,1.3,1.6,0.6,0.7,BDL,BDL,BDL,BDL,-,-,54,212,BDL,0.21,-,-,26.848659,92.839577
3766,ASSAM,26,30,7.3,7.4,73,372,1.2,1.7,0.7,0.7,BDL,BDL,BDL,BDL,-,-,50,202,0.21,0.24,-,-,26.402321,92.050237
3770,ASSAM,25,26,6.8,7,230,236,1.2,1.4,0.8,1.6,BDL,BDL,BDL,BDL,-,-,130,140,0.23,0.26,-,-,26.754909,94.234144
3771,ASSAM,25,26,7.8,7.8,303,406,1.2,2.3,0.8,1.3,BDL,BDL,BDL,BDL,-,-,168,224,0.22,0.22,-,-,26.587406,94.186207
3779,ASSAM,25,25,7.2,7.2,223,223,1.3,1.3,0.5,0.5,BDL,BDL,BDL,BDL,-,-,128,128,0.23,0.23,-,-,26.931679,94.173072
3790,ASSAM,25,25,7,7,188,188,1.4,1.4,0.6,0.6,BDL,BDL,BDL,BDL,-,-,120,120,0.21,0.21,-,-,27.441809,94.292867
3793,ASSAM,25,27,6.9,7,153,343,1.2,1.7,0.4,0.8,BDL,BDL,BDL,BDL,-,-,94,190,BDL,0.21,-,-,26.522866,93.961134
3794,ASSAM,24,26,7.1,7.2,170,364,1.3,1.8,0.6,0.7,BDL,BDL,BDL,BDL,-,-,102,200,BDL,0.22,-,-,26.471975,94.098619
3795,ASSAM,24,26,7,7.3,58,380,1.2,1.3,0.6,0.7,BDL,BDL,BDL,BDL,-,-,38,206,BDL,0.21,-,-,26.458711,93.981235
3801,ASSAM,23,24,6.8,6.8,322,326,1.2,1.8,0.5,0.6,BDL,BDL,BDL,BDL,-,-,180,190,0.21,0.21,-,-,24.781654,92.853933
3802,ASSAM,24,24,6.7,7,142,319,1.2,1.9,0.5,0.8,BDL,BDL,BDL,BDL,-,-,88,188,BDL,BDL,-,-,24.798461,92.797513
