STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
1513,ANDHRA PRADESH,20.0,20.0,7.7,7.7,1534.0,1534.0,0.6,0.6,3.6,4.0,1.0,20.0,3.0,120.0,16.501486,80.675692
1514,ANDHRA PRADESH,21.0,21.0,7.8,7.8,1536.0,1536.0,0.6,0.6,1.2,1.0,,,400.0,400.0,16.501508,80.676725
1515,ANDHRA PRADESH,22.0,22.0,6.8,6.8,1830.0,1830.0,0.6,0.6,2.1,2.0,,,600.0,600.0,17.609781,80.704358
1516,ANDHRA PRADESH,22.0,22.0,8.5,8.5,771.0,771.0,0.6,0.6,0.68,1.0,,,600.0,600.0,14.445036,79.987869
1517,ANDHRA PRADESH,26.0,29.0,7.4,8.6,1200.0,1200.0,2.0,2.4,2.6,3.0,,,700.0,700.0,15.8363,78.048593
1518,ANDHRA PRADESH,25.0,27.0,7.5,8.0,900.0,1200.0,2.5,2.7,0.05,0.0,40.0,40.0,100.0,100.0,15.479222,78.480942
1519,ANDHRA PRADESH,27.0,30.0,7.6,8.0,1000.0,1200.0,2.0,2.4,0.5,0.0,50.0,80.0,20.0,210.0,13.321417,79.585592
1520,ANDHRA PRADESH,27.0,37.5,7.8,8.0,1000.0,1200.0,0.2,2.9,1.9,2.0,26.0,50.0,100.0,386.0,13.758251,79.701872
1521,ANDHRA PRADESH,26.0,26.0,7.2,7.2,1459.0,1459.0,1.2,1.2,9.633,10.0,30.0,60.0,120.0,950.0,17.704261,83.211783
1522,ANDHRA PRADESH,25.0,28.0,7.1,7.7,568.0,1067.0,,,2.08,2.0,,,15.0,15.0,18.104532,83.397197
1523,ANDHRA PRADESH,26.0,26.0,7.0,7.0,248.0,248.0,,,0.19,0.0,,,4.0,11.0,17.015144,81.736181
1524,ANDHRA PRADESH,25.0,25.0,6.9,6.9,1841.0,1841.0,1.2,1.2,2.34,2.0,,,28.0,28.0,16.971003,82.219006
1525,ANDHRA PRADESH,29.0,29.0,7.8,7.8,1772.0,1772.0,0.8,0.8,5.0,5.0,,,4.0,4.0,17.532322,78.185211
1795,ANDHRA PRADESH,29.0,29.0,7.8,7.8,2950.0,2950.0,5.6,5.6,15.0,15.0,4.0,4.0,10.0,10.0,17.873928,78.100156
1810,ANDHRA PRADESH,29.0,29.0,8.0,8.0,2265.0,2265.0,1.4,1.4,8.0,8.0,10.0,10.0,65.0,65.0,18.66591,77.904013
1811,ANDHRA PRADESH,29.0,29.0,7.8,7.8,2076.0,2076.0,,,1.0,1.0,,,25.0,25.0,17.471922,78.795814
3087,ANDHRA PRADESH,20.0,20.0,8.0,8.0,1990.0,1990.0,0.8,0.8,4.68,5.0,,,600.0,600.0,16.57873,80.665263
3088,ANDHRA PRADESH,22.0,22.0,6.8,6.8,1548.0,1548.0,0.4,0.4,0.62,1.0,2.0,2.0,400.0,400.0,17.687879,80.871767
3089,ANDHRA PRADESH,26.0,26.0,6.8,6.8,3380.0,3380.0,1.2,1.2,10.29,10.0,,,7.0,7.0,17.647774,83.07053
3090,ANDHRA PRADESH,27.0,27.0,7.2,7.2,2972.0,2972.0,1.0,1.0,16.61,17.0,240.0,240.0,2400.0,2400.0,17.694566,83.231092
3091,ANDHRA PRADESH,26.0,26.0,6.8,6.8,2882.0,2882.0,1.0,1.0,16.51,17.0,,,11.0,11.0,17.845289,83.368911
3092,ANDHRA PRADESH,26.0,26.0,7.5,7.5,1009.0,1009.0,1.0,1.0,8.7,9.0,,,150.0,150.0,18.57652,84.015135
3093,ANDHRA PRADESH,26.0,26.0,6.9,6.9,2040.0,2040.0,1.0,1.0,9.71,10.0,,,7.0,7.0,18.135208,83.61347
1533,Assam,21.0,24.0,6.2,6.7,203.0,748.0,0.9,1.5,0.57,1.0,,,,,27.396089,95.631783
1534,Assam,24.0,24.0,5.8,5.8,347.0,347.0,1.7,1.7,0.63,1.0,,,,,26.105415,93.113917
1535,Assam,24.0,24.0,6.5,7.2,396.0,612.0,0.9,2.6,0.62,1.0,,,,,26.98,94.63
1536,Assam,24.0,30.0,6.0,6.7,118.0,262.0,2.1,3.9,0.53,1.0,,,,,26.979722,94.632211
1537,Assam,24.0,25.0,6.3,7.0,412.0,517.0,1.4,4.3,0.89,1.0,,,,,26.750143,94.219855
1538,Assam,18.0,19.0,6.2,7.2,106.0,520.0,1.2,3.6,2.2,0.0,,,,,24.820617,92.802431
1539,Assam,26.0,27.0,6.8,7.4,591.0,1065.0,1.5,2.1,0.7,1.0,,,,,26.315597,90.996408
1540,Assam,24.0,29.0,6.0,6.1,184.0,314.0,1.7,1.9,4.0,6.0,,,,,26.48,90.56
1541,Assam,24.0,26.0,6.6,7.5,206.0,450.0,0.4,1.1,0.12,1.0,,,,,26.145228,91.736806
1542,Assam,22.0,23.0,6.0,6.7,340.0,740.0,0.8,1.8,5.7,6.0,910.0,910.0,730.0,2100.0,26.1441,91.735194
2243,Assam,21.0,22.0,5.3,6.0,417.0,506.0,0.6,0.6,1.3,1.3,,,,,27.28822,95.680737
2244,Assam,22.0,25.0,6.3,7.0,288.0,418.0,2.9,3.0,3.4,3.4,,,,,26.92,94.73
2245,Assam,24.0,30.0,5.4,6.1,100.0,361.0,1.7,2.7,0.79,1.0,,,360.0,360.0,26.5885,93.748586
2246,Assam,21.0,23.0,6.2,6.6,162.0,270.0,1.6,1.9,0.63,1.0,,,,,26.200386,92.937992
2247,Assam,20.0,23.0,6.6,6.8,274.0,752.0,0.4,1.8,0.5,1.0,,,,,27.595294,94.724003
2248,Assam,20.0,27.0,6.1,6.6,73.0,212.0,1.1,2.8,1.01,1.0,,,,,27.224728,94.107373
2249,Assam,22.0,25.0,6.1,6.9,159.0,264.0,0.9,2.1,1.67,2.0,,,360.0,360.0,26.65285,92.792558
2250,Assam,29.0,29.0,7.1,7.1,910.0,910.0,2.3,2.3,1.3,1.3,,,,,26.350383,92.679592
2251,Assam,28.0,30.0,6.8,7.2,309.0,331.0,0.9,0.9,0.42,0.0,,,,,26.1277,92.215749
2252,Assam,24.0,25.0,6.6,6.7,257.0,260.0,1.6,5.0,0.53,0.0,,,,,26.105147,91.712525
2253,Assam,26.0,30.0,6.6,7.0,270.0,293.0,0.8,1.5,1.44,1.44,,,,,26.444617,91.441053
2254,Assam,25.0,28.0,7.3,7.5,649.0,1370.0,0.9,1.8,2.57,3.05,,,,,26.5,90.97
2255,Assam,24.0,29.0,5.9,6.7,160.0,472.0,1.4,2.8,5.0,5.0,,,360.0,360.0,26.515756,90.532872
2256,Assam,27.0,29.0,5.8,6.1,110.0,166.0,1.2,3.9,0.43,0.43,,,,,26.403904,90.262979
2257,Assam,28.0,28.0,6.4,7.5,434.0,702.0,1.9,2.5,0.9,1.0,,,,,26.026696,89.970706
2258,Assam,23.0,23.0,6.1,6.1,253.0,253.0,3.2,3.2,3.43,3.43,,,,,26.170647,90.626604
2259,Assam,26.0,26.0,7.0,7.0,1307.0,1307.0,2.0,2.0,0.87,1.0,,,,,25.84274,93.425589
2261,Assam,17.0,18.0,7.1,7.1,92.0,196.0,0.5,0.8,0.7,1.0,,,,,25.163311,93.012825
2262,Assam,16.0,16.0,6.7,6.7,181.0,181.0,1.2,1.2,4.41,5.0,,,,,24.866553,92.367203
2263,Assam,18.0,18.0,5.9,7.1,95.0,113.0,0.7,1.3,0.23,0.23,,,,,24.681103,92.563806
2264,Assam,15.0,18.0,5.9,7.2,206.0,472.0,0.8,1.3,1.25,1.25,,,,,24.861042,92.596669
1634,Meghalaya,17.0,18.0,6.6,6.9,195.0,220.0,2.6,3.0,8.0,8.0,21.0,23.0,39.0,43.0,25.576779,91.887943
1635,Meghalaya,18.0,20.0,5.1,5.7,220.0,250.0,1.2,4.2,15.1,15.0,28.0,31.0,52.0,58.0,25.631383,91.883972
1636,Meghalaya,20.0,22.0,6.5,6.5,200.0,240.0,1.0,1.4,6.8,6.8,17.0,22.0,34.0,41.0,26.051514,91.869642
1637,Meghalaya,17.0,19.0,6.5,6.6,75.0,87.0,0.5,0.6,6.0,6.0,9.0,12.0,17.0,26.0,25.29985,91.700083
1638,Meghalaya,15.0,20.0,6.0,6.6,120.0,131.0,0.5,0.6,7.2,7.0,8.0,11.0,13.0,17.0,25.481292,92.349286
3385,Meghalaya,16.0,18.0,6.8,7.0,30.0,34.0,1.0,1.2,2.8,2.8,4.0,9.0,21.0,29.0,25.529348,91.430663
3386,Meghalaya,46.0,50.0,9.5,9.7,330.0,342.0,1.0,1.0,0.8,0.8,2.0,8.0,9.0,10.0,25.407691,91.540701
2054,Mizoram,16.0,22.0,5.3,8.3,11.0,435.0,1.0,2.8,0.079,0.079,,,,,23.747275,92.726539
2055,Mizoram,15.0,22.0,6.7,8.8,11.0,533.0,0.2,1.2,0.082,0.082,,,,,23.713531,92.712758
1405,TRIPURA,26.0,27.0,7.0,7.7,172.0,188.0,,,0.78,1.0,,,,,23.530117,91.479394
1406,TRIPURA,26.0,27.0,7.4,7.8,342.0,364.0,,,0.0,0.0,,,,,23.530289,91.480914
1730,TRIPURA,26.0,27.0,7.6,7.9,190.0,196.0,,,0.62,1.0,,,,,23.831392,91.286739
1731,TRIPURA,27.0,28.0,7.2,7.8,80.0,105.0,,,0.1,0.0,,,,,23.859275,91.246114
1732,TRIPURA,26.0,27.0,7.5,7.8,110.0,120.0,,,0.0,0.0,,,,,23.778664,91.386119
1733,TRIPURA,27.0,28.0,7.4,7.8,132.0,142.0,,,0.0,0.0,,,,,23.828506,91.289731
1734,TRIPURA,27.0,28.0,7.4,7.6,186.0,210.0,,,0.0,0.0,,,,,23.828125,91.286689
1620,Chhattisgarh,22.0,34.0,7.4,8.0,468.0,696.0,0.2,0.6,1.0,3.0,,,2.0,4.0,21.251394,81.629733
1621,Chhattisgarh,24.0,34.0,7.1,7.8,460.0,585.0,0.4,1.0,1.1,2.0,,,4.0,11.0,21.251394,81.629733
1622,Chhattisgarh,29.0,30.0,7.5,7.8,572.0,670.0,,,1.2,2.0,,,6.0,8.0,22.079625,82.139142
1623,Chhattisgarh,29.0,29.0,8.0,8.5,1494.0,2038.0,,,3.807,4.0,,,8.0,10.0,22.079625,82.139142
3171,Chhattisgarh,26.0,30.0,7.4,7.5,,,0.9,1.1,0.29,0.55,,,9.0,120.0,21.201958,81.340825
3172,Chhattisgarh,26.0,28.0,6.8,7.0,,,0.2,0.2,0.4,1.0,,,,,22.424406,82.73913
3173,Chhattisgarh,26.0,29.0,7.1,7.2,,,0.4,0.6,0.8,1.0,,,120.0,120.0,22.393874,82.678762
3174,Chhattisgarh,26.0,28.0,7.1,7.2,,,0.4,0.4,0.6,1.0,,,2.0,2.0,22.385857,82.683508
1616,Madhya Pradesh,24.0,24.0,7.9,7.9,1730.0,1730.0,6.2,6.2,0.1,0.0,,,,,23.247147,77.444436
