STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
1539.0,ASSAM,26.0,28.0,7.0,8.2,214.0,587.0,0.9,1.2,0.1,0.1,0.0,0.0,36.0,72.0,26.315597,90.996408
1540.0,ASSAM,26.0,27.0,7.0,6.8,34.0,112.0,0.9,1.1,0.1,4.8,0.0,0.0,0.0,0.0,26.48,90.56
1541.0,ASSAM,25.0,25.0,7.0,6.6,664.0,664.0,3.4,3.4,8.7,8.7,930.0,930.0,1500.0,1500.0,26.145228,91.736806
1542.0,ASSAM,24.0,28.0,7.0,7.4,246.0,761.0,0.8,2.3,0.6,1.7,0.0,750.0,0.0,1200.0,26.1441,91.735194
2243.0,ASSAM,25.0,27.0,5.0,7.8,135.0,298.0,1.0,2.6,0.1,0.1,0.0,0.0,0.0,0.0,27.28822,95.680737
2244.0,ASSAM,20.0,22.0,7.0,7.7,138.0,242.0,0.6,1.7,0.3,3.1,0.0,0.0,0.0,91.0,26.92,94.73
2245.0,ASSAM,21.0,26.0,6.0,6.5,138.0,429.0,0.5,0.7,0.7,1.5,0.0,0.0,0.0,0.0,26.5885,93.748586
2246.0,ASSAM,23.0,25.0,7.0,7.8,172.0,208.0,0.6,0.8,0.1,1.5,0.0,360.0,0.0,440.0,26.200386,92.937992
2247.0,ASSAM,23.0,25.0,6.0,7.5,126.0,345.0,0.6,1.9,0.3,1.7,0.0,0.0,0.0,0.0,27.595294,94.724003
2248.0,ASSAM,26.0,26.0,6.0,6.6,145.0,234.0,0.8,1.3,2.1,6.4,30.0,110.0,61.0,2100.0,27.224728,94.107373
2249.0,ASSAM,22.0,28.0,6.0,6.8,112.0,153.0,0.7,0.9,0.4,2.3,0.0,0.0,0.0,1500.0,26.65285,92.792558
2250.0,ASSAM,26.0,28.0,7.0,7.1,235.0,314.0,0.8,1.2,1.7,2.2,0.0,0.0,0.0,0.0,26.350383,92.679592
2251.0,ASSAM,26.0,29.0,7.0,7.0,259.0,718.0,0.7,0.8,0.8,11.0,0.0,200.0,0.0,24000.0,26.1277,92.215749
2252.0,ASSAM,25.0,26.0,7.0,6.9,204.0,257.0,0.8,1.0,0.1,1.0,0.0,0.0,0.0,360.0,26.105147,91.712525
2253.0,ASSAM,27.0,28.0,7.0,6.9,230.0,305.0,0.8,1.6,1.0,1.2,0.0,0.0,0.0,0.0,26.444617,91.441053
2254.0,ASSAM,26.0,28.0,7.0,8.2,612.0,703.0,0.8,1.5,0.2,1.3,0.0,0.0,0.0,140.0,26.5,90.97
2255.0,ASSAM,25.0,27.0,6.0,6.5,88.0,95.0,0.4,1.0,0.1,3.3,0.0,0.0,0.0,93.0,26.515756,90.532872
2256.0,ASSAM,25.0,30.0,6.0,7.1,124.0,181.0,0.6,0.9,0.2,0.5,0.0,0.0,0.0,0.0,26.403904,90.262979
2257.0,ASSAM,25.0,28.0,7.0,8.1,438.0,576.0,0.5,0.6,0.1,0.3,0.0,2400.0,140.0,2401.0,26.026696,89.970706
2258.0,ASSAM,25.0,28.0,6.0,7.2,293.0,390.0,0.6,0.9,1.5,2.5,0.0,0.0,0.0,3500.0,26.170647,90.626604
2259.0,ASSAM,20.0,26.0,8.0,7.9,157.0,971.0,0.8,0.9,0.4,0.9,0.0,0.0,210.0,280.0,25.84274,93.425589
2260.0,ASSAM,29.0,29.0,6.0,5.9,216.0,216.0,1.4,1.4,0.3,0.3,24000.0,24000.0,24001.0,24001.0,25.847217,92.574292
2261.0,ASSAM,18.0,26.0,6.0,8.1,125.0,145.0,0.6,0.7,0.1,0.7,0.0,0.0,0.0,0.0,25.163311,93.012825
2262.0,ASSAM,25.0,25.0,6.0,5.9,74.0,74.0,0.7,0.7,0.1,0.1,,,,,24.866553,92.367203
2263.0,ASSAM,22.0,28.0,8.0,7.8,152.0,166.0,0.7,1.1,0.9,9.8,,,,,24.681103,92.563806
2264.0,ASSAM,20.0,28.0,7.0,7.5,169.0,184.0,0.8,1.1,0.1,0.1,4300.0,4300.0,9300.0,9300.0,24.861042,92.596669
1825.0,BIHAR,27.0,30.0,8.0,8.6,591.0,610.0,,,,,6.0,7.0,12.0,21.0,25.579122,85.253317
1826.0,BIHAR,27.0,30.0,8.0,8.2,570.0,636.0,,,,,7.0,8.0,11.0,22.0,25.593237,85.174164
1827.0,BIHAR,28.0,31.0,8.0,8.2,580.0,601.0,,,,,,,,,25.620924,85.159936
1829.0,BIHAR,28.0,28.0,8.0,8.1,715.0,715.0,,,,,,,,,25.611612,85.09125
1830.0,BIHAR,25.0,25.0,8.0,7.7,697.0,697.0,,,,,,,,,26.122167,85.382451
1831.0,BIHAR,25.0,25.0,8.0,8.0,677.0,677.0,,,,,,,,,26.123515,85.378269
1840.0,BIHAR,24.0,24.0,8.0,7.7,693.0,693.0,,,,,4.0,4.0,9.0,9.0,26.649806,84.916775
1841.0,BIHAR,24.0,24.0,7.0,7.2,891.0,891.0,,,,,8.0,8.0,21.0,21.0,24.794784,85.007259
1842.0,BIHAR,27.0,27.0,7.0,7.0,521.0,521.0,,,,,,,,,24.795406,84.999433
1843.0,BIHAR,28.0,28.0,7.0,7.4,840.0,840.0,,,,,4.0,4.0,8.0,8.0,25.017233,85.416189
2576.0,BIHAR,24.0,24.0,7.0,7.4,820.0,820.0,,,,,7.0,7.0,14.0,14.0,24.754222,84.373768
2578.0,BIHAR,25.0,25.0,8.0,7.5,901.0,901.0,,,,,7.0,7.0,11.0,11.0,25.325799,84.605419
2579.0,BIHAR,24.0,24.0,8.0,7.6,916.0,916.0,,,,,,,,,25.566265,83.983535
2580.0,BIHAR,28.0,28.0,8.0,7.8,865.0,865.0,,,,,4.0,4.0,8.0,8.0,25.040383,83.610998
2591.0,BIHAR,27.0,27.0,7.0,7.0,819.0,819.0,,,,,,,,,25.139348,85.451156
2592.0,BIHAR,26.0,26.0,7.0,7.2,155.0,155.0,,,,,4.0,4.0,9.0,9.0,25.124061,85.459475
2593.0,BIHAR,26.0,26.0,7.0,7.2,623.0,623.0,,,,,4.0,4.0,11.0,11.0,24.880028,85.529992
2595.0,BIHAR,28.0,28.0,8.0,8.1,756.0,756.0,,,,,,,,,25.862969,85.781044
2598.0,BIHAR,27.0,27.0,8.0,7.6,940.0,940.0,,,,,,,,,24.628777,83.920541
2599.0,BIHAR,28.0,28.0,7.0,7.2,860.0,860.0,,,,,4.0,4.0,9.0,9.0,24.625089,83.918998
2600.0,BIHAR,26.0,26.0,8.0,7.6,925.0,925.0,,,,,4.0,4.0,7.0,7.0,25.683822,85.354964
3138.0,BIHAR,24.0,24.0,8.0,8.0,899.0,899.0,,,,,,,,,25.555753,84.661464
3140.0,BIHAR,18.0,18.0,8.0,7.7,376.0,376.0,,,,,7.0,7.0,14.0,14.0,26.801253,84.503617
3141.0,BIHAR,28.0,28.0,8.0,7.6,911.0,911.0,,,,,,,,,24.696722,84.986056
3142.0,BIHAR,26.0,26.0,7.0,7.0,1020.0,1020.0,,,,,4.0,4.0,8.0,8.0,25.198364,84.252158
3145.0,BIHAR,26.0,26.0,7.0,7.0,143.0,143.0,,,,,,,,,24.928792,84.187828
3146.0,BIHAR,27.0,27.0,8.0,7.9,693.0,693.0,,,,,,,,,25.549911,84.150194
3150.0,BIHAR,24.0,24.0,8.0,7.9,511.0,511.0,,,,,4.0,4.0,9.0,9.0,25.644867,84.873763
3151.0,BIHAR,26.0,26.0,8.0,7.7,826.0,826.0,,,,,7.0,7.0,14.0,14.0,25.168678,83.618608
