STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Unnamed: 19,Latitude,Longitude
2430,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",CANAL,ODISHA,19.0,35,2.8,9.3,6.8,8.4,231.0,32480.0,1.2,3.7,0.4,2.1,7900.0,160000.0,11000.0,160000.0,20.315874,86.084897
2782,"RABODI NALLAH, RABODI, THANE",DRAIN, MAHARASHTRA,25.0,40,1.5,4.2,6.9,7.3,493.0,4579.0,11.0,140,1.3,3.8,120.0,550.0,350.0,920.0,19.201719,72.987267
2783,"COLOUR CHEMICAL NALLAH, VILLAGE- MAJIWADA, THANE",DRAIN,MAHARASHTRA,26.0,41,0.2,4.4,7.0,7.5,505.0,16070.0,8.0,96,1.1,3.6,170.0,920.0,350.0,1600.0,19.215514,72.983147
2784,"SANDOZ NALLAH, SAOZBAUG, THANE",DRAIN,MAHARASHTRA,26.0,40,2.1,4.4,6.9,7.7,530.0,2980.0,12.0,115,1.9,5.8,220.0,920.0,540.0,1600.0,19.232833,72.987447
2785,"BPT NAVAPUR (DISCHARGE FROM MIDC TARAPUR), NAVAPUR, PALGHAR, THANE",DRAIN,MAHARASHTRA,25.0,33,0.0,0.0,7.1,8.1,3234.0,16910.0,110.0,850,3.8,36.9,130.0,900.0,350.0,1600.0,21.161556,73.79334
2786,TARAPUR MIDC NALLA ( NEAR SUMP 1),DRAIN,MAHARASHTRA,26.0,32,0.9,0.9,7.1,7.5,2375.0,8219.0,108.0,550,2.2,16.1,220.0,540.0,540.0,1600.0,19.793146,72.736315
2787,TARAPUR MIDC NALLA( NEAR SUMP 2),DRAIN,MAHARASHTRA,26.0,33,1.2,1.2,7.1,7.5,2364.0,8248.0,100.0,500,2.3,37.2,220.0,350.0,350.0,920.0,19.786294,72.736923
2788,TARAPUR MIDC NALLA( NEAR SUMP 3),DRAIN,MAHARASHTRA,26.0,33,0.5,0.5,7.2,7.6,2370.0,8356.0,96.0,580,2.2,22.8,220.0,540.0,540.0,1600.0,19.793153,72.736311
2789,"NALLA AT D/S OF AKLAI MAIR, AKLAI, MALSHIRAS, SOLAPUR",DRAIN,MAHARASHTRA,26.0,41,0.0,7.1,3.7,8.3,1590.0,14520.0,3.8,480,0.0,8.1,250.0,275.0,1800.0,1800.0,17.89403,75.026582
2790,"PIMPAL-PANERI NALLA NEAR FINOLEX INDUSTRIES, YAHGANIGAON, RATNAGIRI",DRAIN,MAHARASHTRA,22.0,29,4.9,7.1,3.4,6.8,1542.0,2290.0,2.2,4.4,0.0,1.1,,,,,16.890396,73.335499
2792,"ULAHS CREEK AT MUMBRA RETI BUER, VILLAGE MUMBRA, THANE",CREEK,MAHARASHTRA,25.0,40,3.1,5.6,7.3,7.7,680.0,40360.0,5.8,12,1.1,6.5,110.0,550.0,240.0,920.0,19.202275,73.02209
2793,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",CREEK,MAHARASHTRA,26.0,41,3.0,5.6,7.2,7.9,682.0,40930.0,5.8,14,1.0,6.9,79.0,350.0,220.0,550.0,19.197132,72.985993
2794,"ULHAS CREEK AT KOSHLET RETI BUER, KOLSHET, THANE",CREEK,MAHARASHTRA,25.0,41,3.3,5.6,7.2,7.9,548.0,41000.0,5.4,14.5,1.1,6.7,79.0,550.0,220.0,900.0,19.236012,72.999586
2795,"ULHAS CREEK AT GAIMUKH AT NAGLA BUER ON GHOD BUER ROAD, NAGLA, THANE",CREEK,MAHARASHTRA,25.0,40,3.4,6.2,7.2,7.9,718.0,39600.0,4.6,12,1.1,6.2,110.0,550.0,280.0,920.0,19.28702,72.937644
2796,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",CREEK,MAHARASHTRA,20.0,33,3.3,5.8,7.2,8.3,775.0,54780.0,5.0,13.5,0.6,5.8,11.0,900.0,220.0,1600.0,19.287397,72.904918
2797,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",CREEK,MAHARASHTRA,20.0,32,2.5,5.6,7.2,8.1,834.0,53630.0,5.0,14,0.0,5.9,79.0,550.0,210.0,900.0,19.318553,72.851316
