STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
4349.0,MARINE,ANDHRA PRADESH,21,30,5.2,7.2,7.4,8.4,13800,57300,1.2,2.5,0.32,1.38,3,7,48,120,-,-,18.0783,83.664886
4352.0,MARINE,ANDHRA PRADESH,25,28,5.2,6.6,7.7,8.5,32200,56400,1.4,2.8,0.32,0.88,3,11,39,210,-,-,18.031067,83.602401
4357.0,BEACH,ANDHRA PRADESH,25,29,4.8,7,7.7,8.5,31700,55700,1.2,2.9,0.32,1.13,3,14,39,150,-,-,17.782025,83.385284
4361.0,BEACH,ANDHRA PRADESH,25,28,4.5,7.9,7.8,8.5,4800,51400,2.2,2.8,0.42,1.32,3,20,48,150,-,-,17.076024,82.335507
4362.0,SEA,ANDHRA PRADESH,25,27,5.3,8,7.4,8.4,861,50300,2.2,3.9,0.82,3.32,4,23,75,460,-,-,16.970619,82.280728
4363.0,SEA,ANDHRA PRADESH,24,26,5.7,7.5,7.1,8.2,481,47000,2.2,2.8,0.9,4.27,3,21,64,460,-,-,16.957749,82.269867
4371.0,MARINE,ANDHRA PRADESH,22,30,5.1,8,7.8,8.4,7300,51500,1.3,2,0.38,1.15,3,14,49,120,-,-,16.319709,81.70582
4378.0,BEACH,ANDHRA PRADESH,25,27,5.5,6.8,7.5,8,38200,58500,2.4,2.8,0.83,1.82,3,11,75,252,2,4,16.242517,81.241292
4383.0,MARINE,ANDHRA PRADESH,22,24,4.6,6.7,7.3,8,26000,56200,2.3,2.9,0.74,1.93,3,13,64,272,2,5,15.877884,80.652347
4385.0,BEACH,ANDHRA PRADESH,22,26,5.1,6.6,7.5,8.3,33120,57680,2.3,2.8,0.72,1.81,3,18,64,354,2,6,15.419125,80.168512
4386.0,BEACH,ANDHRA PRADESH,22,25,5.4,6.7,7.6,8.1,32900,56900,2.6,2.9,0.72,1.66,3,10,75,210,2,5,15.780704,80.411638
4387.0,MARINE,ANDHRA PRADESH,19,21,5.6,6.7,7.2,8,31200,52560,2.4,2.9,0.42,1.53,3,11,64,243,2,4,14.252922,80.110153
4013.0,BEACH,GOA,28,30,5.9,7.5,7.2,8.3,30500,55850,1,2.3,0.32,2.27,13,350,23,540,5,170,15.720857,73.68186
4014.0,BEACH,GOA,28,32,5.9,7.6,7.7,8.5,8856,53320,1,2,0.32,0.38,79,350,110,540,23,94,15.482664,73.807302
4015.0,BEACH,GOA,27,30,5.7,7.5,7.4,8.4,29950,53230,1,1.9,0.32,0.42,49,350,79,540,4,94,15.531787,73.75851
4016.0,BEACH,GOA,28,30,5.5,7.3,7.3,8.7,15820,56510,1,2.1,0.32,0.32,13,220,23,280,8,110,15.629169,73.725747
4017.0,BEACH,GOA,27,31,5.4,7.7,6.6,8.4,12100,55530,1,2,0.32,0.4,110,350,140,540,6,94,15.156355,73.944955
4018.0,BEACH,GOA,28,30,5.6,7.2,6.6,8.6,37980,54030,1.1,2,0.32,0.99,110,540,140,920,49,130,15.39155,73.806607
4019.0,BEACH,GOA,28,31,5.5,7.2,6.6,8.2,30130,54450,1,1.9,0.32,1.21,23,240,49,540,7,140,14.969011,74.045068
4020.0,BEACH,GOA,28,30,6,8,7.4,8.4,30630,54460,1,1.9,0.32,1.78,79,540,140,920,17,130,15.277315,73.912572
4021.0,BEACH,GOA,27,30,6.2,7.3,6.8,8.3,24300,52940,1,1.9,0.32,0.38,33,350,49,1110,5,94,15.603125,73.733511
4022.0,BEACH,GOA,28,30,6.3,8,7.1,8.7,43580,54730,1,2,0.32,1.68,49,240,79,350,2,110,15.354661,73.883923
5277.0,CREEK,GOA,28,30,2,14.9,5.9,7.7,144,10180,1,9.8,0.32,0.66,2300,4900,3300,7000,270,1100,,
5278.0,CREEK,GOA,27,30,1.9,7,5.1,6.8,242,2031,1,15,0.32,2.4,1700,2600,2200,4600,340,790,,
5279.0,CREEK,GOA,27,30,1.5,6,5.8,7.1,227,10850,1.4,28,0.32,1.66,1300,3400,2300,4900,230,1100,,
2267.0,CREEK,GOA,27,30,4.3,9.5,6.2,8.6,659,23860,1,2.1,0.35,29.92,1100,2700,2100,3400,130,700,15.354489,73.883148
3196.0,CREEK,GUJARAT,29,35,0.3,2.6,6.9,7.6,1110,6087,5,118,0.31,0.92,70,1600,220,1600,-,-,21.628255,73.016715
2080.0,CREEK,GUJARAT,25,31,5.3,6.8,7.7,8.7,698,5951,1.5,2.8,0.3,0.42,63,920,170,1600,14,110,21.296333,72.760033
2081.0,CREEK,GUJARAT,29,35,0.3,6,7.3,7.7,964,4478,1.6,15,0.3,6.72,70,1600,210,1600,-,-,21.615413,72.941847
5173.0,BEACH,KERALA,-,-,4.2,7.6,7.2,8,-,-,1.2,6.2,-,-,480,810,570,570,-,-,,
5174.0,BEACH,KERALA,-,-,4.2,8,6.3,8,-,-,1,3.9,-,-,200,810,800,800,-,-,,
5178.0,CREEK,KERALA,-,-,5.2,7.7,7.1,8.8,-,-,1,6.2,-,-,310,810,520,520,-,-,,
5181.0,BEACH,KERALA,-,-,2.4,6.2,6.4,8,5,5,1.3,7,-,-,2100,5600,1800,1800,-,-,,
5194.0,CREEK,KERALA,-,-,3,7,6.3,10,,,,,-,-,310,1400,1200,1200,-,-,,
1316.0,CREEK,MAHARASHTRA,16,34,2.9,6.8,7.4,7.9,5076,52180,3,15,0.3,15.75,31,140,210,430,-,-,19.229456,73.002085
1317.0,CREEK,MAHARASHTRA,25,26,2.7,6,6.8,7.7,32030,57600,7,16,0.57,7.31,31,170,170,540,-,-,18.967313,72.929655
1318.0,CREEK,MAHARASHTRA,25,26,3.4,5.4,7.1,7.8,14880,55250,10,14,0.6,10.04,79,540,220,920,-,-,19.038979,72.827674
2165.0,SEA,MAHARASHTRA,25,26,2.6,5.8,7,7.8,24550,57550,8,14,0.62,10.18,94,1600,540,1600,-,-,18.92178,72.834732
2166.0,SEA,MAHARASHTRA,25,26,2.3,5.5,7.1,8,27400,57760,8,14,0.61,12.2,220,1600,540,1600,-,-,18.949037,72.819111
2167.0,SEA,MAHARASHTRA,25,26,3.1,5.8,7,8.1,26430,57700,8,13,0.56,10.6,140,540,540,1600,-,-,18.997883,72.811319
2169.0,SEA,MAHARASHTRA,25,26,3.2,5,6.8,8.2,44620,55360,9,14,0.46,5.72,63,540,240,920,-,-,19.133791,72.810349
2184.0,CREEK,MAHARASHTRA,26,32,3.4,5.8,7,7.8,2133,47940,5,12.5,0.43,13.74,31,70,170,350,-,-,19.15042,72.980893
