STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
1115,CANAL,HARYANA,,,6.2,7.9,6.0,8.1,195.0,312.0,1.0,3.8,0.3,0.3,2.0,200.0,200.0,900.0,2.0,100.0,29.173241,76.91024
1116,CANAL,HARYANA,,,5.8,7.8,7.2,8.1,206.0,657.0,1.0,9.0,0.3,0.3,100.0,400.0,200.0,1200.0,2.0,100.0,29.358769,76.950469
1886,CANAL,HARYANA,,,6.0,7.8,7.1,8.2,178.0,962.0,1.0,4.6,0.3,0.3,2.0,500.0,200.0,1100.0,2.0,200.0,30.296244,77.562478
2056,CANAL,HARYANA,,,6.0,7.8,7.0,8.1,203.0,1260.0,1.0,4.8,0.3,0.3,2.0,400.0,400.0,1100.0,2.0,100.0,30.074141,77.216343
3034,CANAL,HARYANA,,,6.0,7.8,5.9,8.1,193.0,349.0,1.2,4.0,0.3,0.3,100.0,600.0,400.0,1200.0,2.0,100.0,29.170539,76.909558
3469,CANAL,KERALA,26.0,30.0,2.2,5.7,6.3,9.5,72.0,142.0,1.0,3.1,0.3,1.4,3400.0,41000.0,6300.0,70000.0,280.0,5800.0,10.1108,76.476031
3461,CANAL,KERALA,27.0,33.0,2.1,7.4,6.6,7.6,1011.0,59040.0,1.0,3.5,0.3,1.1,120.0,7900.0,360.0,9200.0,10.0,430.0,11.335961,75.761858
3467,CANAL,KERALA,26.0,30.0,0.8,6.3,6.0,8.9,153.0,14930.0,1.5,3.7,0.3,20.2,790.0,31000.0,3400.0,79000.0,100.0,4000.0,10.07305,76.286714
2836,CANAL,MANIPUR,18.0,29.0,7.1,7.4,7.2,7.4,150.0,200.0,3.0,3.3,,,20.0,40.0,45.0,70.0,,,24.245,93.54079
5499,CANAL,MANIPUR,19.0,29.0,7.2,7.3,7.1,7.4,160.0,210.0,3.2,3.5,,,45.0,80.0,85.0,150.0,,,,
3958,CANAL,ODISHA,18.0,32.0,5.5,10.1,7.2,8.5,148.0,250.0,1.1,1.9,0.3,8.0,490.0,35000.0,2400.0,92000.0,,,20.310958,85.891764
3959,CANAL,ODISHA,20.0,31.0,4.2,9.6,7.1,8.0,144.0,248.0,1.2,2.0,0.3,7.1,330.0,2200.0,1700.0,4900.0,,,20.350009,85.880072
3960,CANAL,ODISHA,18.0,32.0,4.2,7.3,7.2,7.7,164.0,229.0,1.2,1.8,0.3,1.1,330.0,1100.0,1100.0,3500.0,,,19.887419,85.813792
2428,CANAL,ODISHA,24.0,29.0,6.6,7.4,7.4,8.3,142.0,262.0,1.1,1.8,0.3,0.6,3300.0,160000.0,17000.0,160000.0,,,20.474944,85.901762
2429,CANAL,ODISHA,23.0,30.0,6.8,7.6,7.4,8.2,140.0,224.0,1.3,2.1,0.3,0.6,13000.0,160000.0,35000.0,160000.0,,,20.454888,85.924125
2430,CANAL,ODISHA,24.0,34.0,2.2,5.8,7.1,8.3,180.0,515.0,1.2,3.9,0.3,2.3,790.0,35000.0,2200.0,92000.0,,,20.315874,86.084897
3950,CANAL,ODISHA,24.0,28.0,6.2,7.6,7.3,8.4,123.0,235.0,1.5,2.8,0.3,0.5,7900.0,160000.0,24000.0,160000.0,,,20.315758,86.085088
3951,CANAL,ODISHA,24.0,30.0,6.2,7.4,7.4,8.4,135.0,242.0,1.1,2.2,0.3,0.5,2200.0,160000.0,7900.0,160000.0,,,20.459583,85.891508
3952,CANAL,ODISHA,23.0,30.0,6.8,7.6,7.3,8.1,162.0,230.0,1.4,2.4,0.3,1.4,17000.0,160000.0,35000.0,160000.0,,,20.424356,85.963655
2933,CANAL,RAJASTHAN,17.0,31.0,4.8,5.9,7.1,8.4,237.0,332.0,1.0,1.7,0.6,2.0,4.0,120.0,140.0,220.0,2.0,58.0,30.180856,73.973639
30022,CANAL,RAJASTHAN,15.0,20.0,7.0,7.5,7.7,8.0,285.0,324.0,5.0,17.0,0.3,1.2,230.0,2000.0,790.0,130000.0,13.0,20.0,29.557293,74.566983
4773,CANAL,RAJASTHAN,17.0,31.0,5.0,6.6,7.2,8.1,254.0,383.0,1.0,1.8,0.8,2.7,5.0,84.0,140.0,540.0,2.0,32.0,29.326824,74.382265
2934,CANAL,RAJASTHAN,18.0,30.0,4.5,6.5,7.2,7.9,255.0,430.0,1.0,2.1,0.8,2.4,11.0,94.0,130.0,920.0,4.0,31.0,29.60093,74.321796
2932,CANAL,RAJASTHAN,23.0,37.0,3.8,6.2,7.2,8.5,239.0,478.0,1.0,6.0,1.9,2.8,2.0,4.0,4.0,13.0,2.0,2.0,24.762569,71.73495
10049,CANAL,TAMIL NADU,28.0,32.0,0.3,1.8,6.7,7.7,1194.0,2020.0,12.0,26.0,0.3,19.0,20.0,580.0,330.0,2400.0,,,13.126266,80.256935
