STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
4349,MARINE,ANDHRA PRADESH,21,34,5,8,7.2,8.1,25900,53500,1.6,2.4,0.4,1.7,4,7,64,95
4352,MARINE,ANDHRA PRADESH,25,32,5.3,8.5,7.4,8.1,34700,53500,1.6,2.5,0.3,1.8,4,7,64,95
4357,BEACH,ANDHRA PRADESH,26,29,5,8.2,7.1,8.5,36800,53500,1.5,2.2,0.3,1.3,4,9,64,120
4361,BEACH,ANDHRA PRADESH,24,29,3.2,7,7,7.9,30600,53100,BDL,2.8,0.3,3,3,7,49,93
4362,SEA,ANDHRA PRADESH,23,29,3.8,7.2,7,8,1120,50800,1.9,3,0.3,3.7,4,15,64,120
4363,SEA,ANDHRA PRADESH,23,30,2,6.6,7,8,1020,46900,2.2,5.8,0.3,3.5,4,9,75,120
4371,MARINE,ANDHRA PRADESH,24,30,4.5,7.8,7,8.2,5030,51500,1.5,3.5,0.4,2.2,4,7,64,120
4378,BEACH,ANDHRA PRADESH,25,30,3.4,5.3,7,7.8,35800,56900,2,2.8,0.8,1.3,3,3,43,120
4383,MARINE,ANDHRA PRADESH,21,25,3.6,5.3,7.1,8,32900,55700,2,2.8,0.9,2.3,3,3,43,120
4385,BEACH,ANDHRA PRADESH,22,25,3.6,5.9,7.1,8,34900,56200,2.2,2.8,0.8,1.4,3,3,23,93
4386,BEACH,ANDHRA PRADESH,22,25,3.5,5.7,6.8,8,35600,56400,2.4,2.8,0.8,1.6,3,3,23,120
4387,MARINE,ANDHRA PRADESH,18,23,3.7,5.6,7.1,8,34900,55700,2.4,2.8,1,1.3,3,3,23,120
2267,CREEK,GOA,25,32,4.2,8,6.6,7.7,311,51530,BDL,2.4,0.3,3.8,230,2300,1100,4900
4013,BEACH,GOA,27,31,6.4,7.7,7.6,8.2,26000,61900,BDL,1.9,0.3,0.5,13,240,49,920
4014,BEACH,GOA,27,29,6,7.5,7,8,18900,57680,BDL,2,0.3,0.8,23,240,33,350
4015,BEACH,GOA,27,30,6.1,7,6.5,7.9,31300,61250,1.1,1.9,0.3,0.3,22,220,130,280
4016,BEACH,GOA,28,31,6,7.7,7.7,8.3,25800,58830,BDL,1.9,0.3,2.4,13,350,23,920
4017,BEACH,GOA,27,32,5.8,7.1,6.7,7.8,26000,57880,BDL,1.9,0.3,0.8,22,240,33,540
4018,BEACH,GOA,26,33,5.6,7,7,8.4,32930,57760,BDL,2,0.3,1.7,13,240,23,540
4019,BEACH,GOA,27,34,4.5,7.8,7,8.1,45630,57640,BDL,2,0.3,0.3,BDL,220,BDL,280
4020,BEACH,GOA,28,32,6,7.2,6.3,8,23800,58710,BDL,2.6,0.3,0.4,23,350,79,540
4021,BEACH,GOA,27,30,6.2,7.3,6.5,7.9,31100,62640,BDL,2,0.3,0.6,17,170,170,350
4022,BEACH,GOA,26,32,5.3,7.2,7.1,8.4,38710,59530,BDL,1.9,0.3,1.6,7.8,170,22,350
2080,CREEK,GUJARAT,20,30,4,5.9,7,8.3,664,4019,1.4,2.9,BDL,0.4,94,540,350,1600
2081,CREEK,GUJARAT,25,32,BDL,6.1,7.1,7.8,678,2093,BDL,22,BDL,1.2,33,1600,110,1600
3196,CREEK,GUJARAT,25,34,BDL,4.6,7.2,7.9,733,7983,1.1,131,BDL,0.3,46,1600,140,1600
1316,CREEK,MAHARASHTRA,24,38,3.4,5.2,7.2,7.9,17610,55720,8,15,BDL,3.6,27,350,170,920
1317,CREEK,MAHARASHTRA,25,28,3.3,5.5,7.1,8,28980,63560,8,18,BDL,1.8,79,540,220,1600
