STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2267,CREEK,GOA,25,33,4.2,12.9,6.6,7.9,884,99200,1.4,6.9,0.23,30.61,78,13000,130,17000
2080,CREEK,GUJARAT,25,34,4.6,6.4,7,8.2,830,10270,1.3,2.8,0.01,0.16,54,172,212,426
2081,CREEK,GUJARAT,28,35,1.1,6.1,7.2,8.6,553,2210,2,21,0.17,0.73,33,110,110,540
3196,CREEK,GUJARAT,29,34,0,6.3,6.4,8.1,507,3420,3,44,0.19,0.42,33,170,210,4000
1316,CREEK,MAHARASHTRA,27,34,3.1,6.7,6.8,7.7,403,62310,4,18,1,5.6,33,920,170,1600
1317,CREEK,MAHARASHTRA,26,34,2.6,4.6,7,7.5,28570,68510,12,21,0.9,3.2,49,1600,220,1600
1318,CREEK,MAHARASHTRA,27,32,3.2,5.5,7.1,7.8,595,63470,8,18,0.8,3.1,63,1600,210,1600
2184,CREEK,MAHARASHTRA,23,27,3,6.2,6.6,7.6,1818,55920,3.8,20,1.2,4.1,33,540,79,920
2185,CREEK,MAHARASHTRA,29,36,3.1,6.5,6.7,7.6,963,60390,5,18,1.1,4.8,49,920,150,1600
2791,CREEK,MAHARASHTRA,28,34,3.3,7.4,6.5,7.4,197,17750,3.6,60,0.6,5,33,220,170,540
2792,CREEK,MAHARASHTRA,23,36,3.4,6.9,6.8,7.7,279,37890,4,17,1.5,7,33,350,170,540
2793,CREEK,MAHARASHTRA,23,36,3.8,6.5,6.8,7.7,281,37940,4,14,1.5,7.1,34,920,220,1600
2794,CREEK,MAHARASHTRA,23,36,3.7,6.5,6.9,7.6,294,46140,4,17,1.4,6.4,46,350,170,920
2795,CREEK,MAHARASHTRA,23,36,3.2,6.4,6.8,7.6,275,46510,4,16,1.5,6.4,33,540,170,920
2796,CREEK,MAHARASHTRA,28,35,3.4,6.9,6,7.6,231,68840,5,160,0.8,4.6,27,540,170,920
2797,CREEK,MAHARASHTRA,27,34,3.3,6.8,6.5,7.6,253,61140,5,220,1,4.7,46,920,210,1600
2798,CREEK,MAHARASHTRA,24,30,2.3,5,6.9,8.3,40220,67670,9,22,0.6,5,26,240,140,540
2799,CREEK,MAHARASHTRA,25,30,3.1,5,6.9,8.4,40200,68480,10,20,0.5,4.8,33,240,110,540
2800,CREEK,MAHARASHTRA,25,30,4,7,6.6,8.2,216,23410,4,12,0.3,14.9,46,240,140,430
2801,CREEK,MAHARASHTRA,25,32,3.1,6.7,7.4,8,222,69780,4,20,0.3,2.5,27,240,150,350
2802,CREEK,MAHARASHTRA,25,30,3.1,5.9,7.1,8,319,69550,5,20,0.74,2.5,17,540,46,920
2803,CREEK,MAHARASHTRA,20,28,3.2,5.8,6,7.8,113,59452,4,23,0.6,7.1,33,350,170,540
2804,CREEK,MAHARASHTRA,22,24,4.1,7,6.8,8,82,5980,2.2,5.2,0.13,1.63,10,70,47,240
2439,CREEK,ODISHA,21,31,5.4,7.3,7.7,8.2,31670,59240,0.6,3,0.35,2.59,5,5400,21,9200
2440,CREEK,ODISHA,21,30,5.8,8.5,7.4,8.2,32190,62520,0.3,1.4,0.11,3.84,2,45,2,78
2815,MARINE,MAHARASHTRA,23,36,4.4,6,7.3,8.3,29290,62900,3,3.8,0.12,2.17,13,220,210,920
2165,SEA,MAHARASHTRA,28,32,2.6,4.8,7,7.6,28300,69360,11,22,0.9,3.3,220,920,540,1600
2166,SEA,MAHARASHTRA,27,32,2.9,5.4,7,7.7,28450,68200,8,20,0.6,3.2,540,1600,920,1600
2167,SEA,MAHARASHTRA,27,34,3.3,5.3,7,7.8,28230,67430,9,20,0.9,3.1,240,1600,540,1600
2169,SEA,MAHARASHTRA,23,32,3,4.8,6.3,7.8,32530,69070,13,22,0.8,2.2,240,1600,540,1600
2354,CANAL,ANDHRA PRADESH,25,31,5.2,6.8,6.6,7.8,259,529,1,2.2,0.66,2.16,9,28,120,450
2355,CANAL,ANDHRA PRADESH,25,30,5,7.4,6.6,7.9,1432,37591,1,2.3,1.25,2.71,11,39,210,4500
3051,CANAL,ANDHRA PRADESH,21,27,1.4,5.6,6.5,8.4,762,1392,4.1,18,1.5,16.8,2,4,1600,2100
2057,CANAL,DELHI,18.2,30,0.8,1.3,7.3,7.8,1180,1570,22,60,,,140000,5400000,330000,9200000
2265,CANAL,GOA,27,32,7,9.6,6.1,7.1,45,128,0.7,4.9,0,1.45,790,3500,1300,5400
2266,CANAL,GOA,28,32,4.9,9.3,4.6,8.1,52,1572,0.3,3.6,0.01,6.72,130,5400,230,9200
2268,CANAL,GOA,27.2,35.5,3.2,7.6,6.2,7.7,518,51040,0.5,3.9,0.08,0.83,78,4900,130,7900
2073,CANAL,GUJARAT,26,31,4.6,9.6,8.1,8.5,221,332,0.6,2,0.03,0.9,2,4,2,14
2074,CANAL,GUJARAT,29,32,5,7.7,7.4,8.5,255,1120,1,1.2,0.12,0.55,8,33,17,79
1109,CANAL,HARYANA,,,6.1,6.7,6.9,7.9,137,307,2.2,12,,,700,1700,1410,22100
1110,CANAL,HARYANA,,,,,7.3,7.5,162,252,2.4,2.6,,,900,900,4600,4600
1111,CANAL,HARYANA,,,5.2,9.6,7,8,173,264,0.8,2.6,,,120,500,840,2600
1112,CANAL,HARYANA,,,4.4,9.6,7.3,7.9,173,266,0.8,2,,,90,630,840,1700
1113,CANAL,HARYANA,,,,,7.1,7.1,168,214,1.8,2.2,,,,,,
1114,CANAL,HARYANA,,,4.7,8.4,7,8,180,2670,1,18,,,800,1410,1720,4000
1115,CANAL,HARYANA,,,5.9,9.4,7.1,8,174,264,1.2,2.8,,,110,700,760,3300
1116,CANAL,HARYANA,,,6.8,8.6,7.2,8.3,146,264,1.2,4.8,,,600,4600,940,7600
1419,CANAL,HARYANA,17,29,2.5,3.3,6.5,8.1,490,2130,28,52,3.4,400.2,,,,
1886,CANAL,HARYANA,,,5.9,6.8,7.2,8,135,299,0.8,4.5,,,330,1300,790,5800
2056,CANAL,HARYANA,,,,,6.6,7.3,174,281,1.6,4.8,,,1700,1700,4900,4900
3461,CANAL,KERALA,26,237,1.3,7.3,6.5,8,910,49600,0.5,4.4,0.03,0.68,30,10000,170,14000
3467,CANAL,KERALA,26,32.5,0,6.6,6.3,7.1,212,37630,0.4,3.2,0.29,4.2,700,120000,1380,140000
3469,CANAL,KERALA,26,29.7,1.3,3.8,6.4,7.1,60,102,1.4,3.9,0.19,0.96,200,49000,480,70000
2836,CANAL,MANIPUR,21.3,22.6,6.9,7.3,6.9,7.7,120,145,1.6,2,,,,,230,350
2428,CANAL,ODISHA,26,33,6.6,9,7.5,8.4,117,220,0.3,1.6,0.12,0.99,1300,16000,2400,16000
2429,CANAL,ODISHA,27,32,4,7.6,7.2,8.4,161,253,1.1,2.8,0.21,1.17,3300,160000,4900,160000
2430,CANAL,ODISHA,22,32,3.6,8,7.3,8.5,169,18370,0.5,5.8,0.03,3.54,790,160000,2200,160000
3950,CANAL,ODISHA,28,32,6.1,7.4,7.5,8.4,158,239,1,3.9,0.13,1.02,17000,160000,35000,160000
3951,CANAL,ODISHA,28,32,5.3,7.4,7.4,8.4,165,230,1.4,3.9,0.15,1.03,5400,160000,13000,160000
3952,CANAL,ODISHA,27,31,4.9,8.4,7.4,8.5,163,239,0.9,1.7,0.22,2.05,4900,92000,4900,160000
3958,CANAL,ODISHA,26,30,5.1,15.2,7.6,8.3,152,225,0.3,3.7,0.09,2.46,45,160000,1100,160000
3959,CANAL,ODISHA,21,32,4.4,7.6,7.3,8.3,124,246,0.5,2,0.12,1.94,320,17000,560,54000
3960,CANAL,ODISHA,21,33,4.8,8.6,8,8.4,161,235,0.9,1.5,0.21,2.28,78,9200,170,16000
2932,CANAL,RAJASTHAN,18,32,4.5,6.1,6.7,8.6,200,6400,1.3,3.2,1.54,3.1,4,20,7,460
2933,CANAL,RAJASTHAN,16.9,34.1,4.5,5.9,7.4,8.4,200,430,1,2.1,0.8,1.84,7,21,20,150
2934,CANAL,RAJASTHAN,15.3,31.9,4.6,5.8,7.3,8.3,240,310,1.3,1.9,1.14,2.8,7,21,20,240
1729,CANAL,TRIPURA,25,27,0.6,3.2,8.4,9.6,17,269,11.7,19.9,1.2,2.22,350,430,540,920
3387,CANAL,TRIPURA,23,26,5.7,6.6,7,8,100,179,0.5,2.3,0.16,0.35,170,220,280,350
3388,CANAL,TRIPURA,23.5,27,5.2,6.5,6.6,7.9,51,123,0.4,1.4,0.32,0.82,170,220,350,350
3389,CANAL,TRIPURA,24,26.5,5.8,6.9,7,8.1,89,173,0.4,1.6,0.18,0.47,110,220,210,350
3390,CANAL,TRIPURA,24,27,4.3,5.5,7.3,8.4,93,151,0.4,1.3,0.16,0.56,170,220,350,350
2726,CANAL,UTTARAKHAND,10,24,8.6,10.2,7.3,8.1,,,,,,,,,40,150
2727,CANAL,UTTARAKHAND,9,25,8.4,10.2,7.4,8.2,,,1,1,,,,,80,140
3998,CANAL,UTTARAKHAND,15,24,8.6,10.2,7.1,8.1,,,,,,,,,70,180
3999,CANAL,UTTARAKHAND,15,24,8.6,10.2,7.2,8.2,,,,,,,,,60,110
2512,CANAL,WEST BENGAL,22,39,,,7,7.7,433,1667,5,39.7,0.03,5.55,800000,5000000,1100000,9000000
2513,CANAL,WEST BENGAL,22,31,,,7.1,7.6,541,960,10,66.5,0.02,1.86,220000,5000000,280000,9000000
3052,DRAIN,ANDHRA PRADESH,22,27,2.1,5.5,6.8,7.9,802,3310,3.8,16.2,2,25,4,4,800,2200
3053,DRAIN,ANDHRA PRADESH,25,30,5.8,8.6,6.8,7.8,1379,51028,1.2,2.2,1.47,4.3,11,75,150,4200
3067,DRAIN,ANDHRA PRADESH,26,32,5.6,8,6.6,7.7,261,372,1.5,2.2,0.89,2.64,11,28,150,460
2047,DRAIN,CHANDIGARH,15,30,0.2,2.4,6.9,7.8,494,880,24,144,0.21,6.8,,,,
2048,DRAIN,CHANDIGARH,18,32,0.2,6.9,6.6,7.8,589,1091,58,299,0.21,8.1,6937,6937,9389,9389
2049,DRAIN,CHANDIGARH,14,34,0.2,2.2,7.2,7.7,428,1309,24,203,0.25,2.7,,,,
3861,DRAIN,HIMACHAL PRADESH,14,23,6.8,8.3,7,8.2,478,786,0.1,0.2,0.36,0.99,9,20,8,34
3865,DRAIN,HIMACHAL PRADESH,18,26,7.1,7.8,7,8.3,384,642,0.1,0.3,0.16,1.24,11,14,21,32
3875,DRAIN,HIMACHAL PRADESH,,,7,7.5,7.2,8.1,272,719,2,4,0.36,0.87,2,14,26,47
3879,DRAIN,HIMACHAL PRADESH,21,22.5,5.9,6.1,6.2,8.2,3850,4500,22,22,10.76,12.4,540,920,,
3881,DRAIN,HIMACHAL PRADESH,22.5,26,1.5,6.8,7.3,8.3,443,4030,8,12,8.44,10.4,34,110,350,1600
2763,DRAIN,KARNATAKA,24,33,6.4,8.9,6.7,8.5,280,1400,0.5,2.9,0.24,2.82,130,500,220,1600
2178,DRAIN,MAHARASHTRA,12,29,1,6.4,7,8.3,232,1286,4,90,0.82,0.82,2,120,110,540
2782,DRAIN,MAHARASHTRA,23,36,1.3,4.4,6.6,7.9,529,47130,9,110,0.4,3,110,1600,540,1600
2783,DRAIN,MAHARASHTRA,23,37,4,6.8,6.7,7.6,331,47490,3.2,140,0.4,2.4,140,1600,920,1600
2784,DRAIN,MAHARASHTRA,23,36,2.4,3.1,6.8,7.7,821,26190,16,120,0.5,10.5,110,1600,920,1600
2785,DRAIN,MAHARASHTRA,24,30,3.3,3.3,6.9,8.5,6340,68200,18,1100,0.6,14.9,49,1600,280,1600
2786,DRAIN,MAHARASHTRA,28,30,,,6.8,7.1,3648,5750,190,550,1.8,6.8,920,1600,1600,1600
2787,DRAIN,MAHARASHTRA,29,30,,,7,7.3,4058,7641,200,430,3.3,9.6,920,1600,1600,1600
2788,DRAIN,MAHARASHTRA,29,30,,,6.9,7.2,3798,7141,280,390,3.6,4.1,920,1600,1600,1600
2789,DRAIN,MAHARASHTRA,26,26,5,5.4,8,8.4,744,944,5.6,5.8,1.3,1.6,95,120,550,900
2790,DRAIN,MAHARASHTRA,25,35,6.2,7.1,4.4,8.6,235,1751,2,2.8,0.19,0.98,,,,
3923,DRAIN,ODISHA,20,36,3.4,8.1,6.3,7.7,268,527,2.7,11.3,0.97,14.21,22000,160000,54000,160000
3930,DRAIN,ODISHA,20,29,6.2,8.4,7.3,8.5,167,1019,0.3,3.2,0.52,2.38,78,9200,230,16000
3934,DRAIN,ODISHA,22,33,5.8,7.8,7.4,8.3,136,788,0.4,1.9,0.72,7.24,330,4900,790,13000
3939,DRAIN,ODISHA,16,35,5.5,7.5,7.1,8.1,102,294,0.2,1.9,0.51,1.82,170,9200,490,92000
2906,DRAIN,PUNJAB,8,28,,,7.2,8.3,1546,5552,35,190,0.27,2.39,7900,17000,24000,70000
2907,DRAIN,PUNJAB,13,28,,,7,7.4,607,1272,51,106,3.8,5.6,2500,4600,5800,9400
3054,DRAIN,TELANGANA,20,29,3.2,5.8,8.3,11.6,724,1086,2,6,1,25.8,10,80,40,300
3055,DRAIN,TELANGANA,22,33,1.6,3.3,7.3,8.5,946,1605,6,31,0.1,3.7,50,50,200,200
3056,DRAIN,TELANGANA,27,27,2.1,3.9,7.6,8.5,1227,1994,4,34,,,,,300,300
3057,DRAIN,TELANGANA,22,29,1.8,7,7.4,8.1,1029,1459,6,18,0.1,4.7,3,3,46,46
3058,DRAIN,TELANGANA,20,29,1.8,4.6,7,791,998,1312,8,17,0.1,29.5,,,175,175
3059,DRAIN,TELANGANA,22,30,1.4,6.3,7.4,8.6,1186,1812,6,33,0.1,4.6,75,75,275,275
3060,DRAIN,TELANGANA,18,26,0.9,4.2,7.4,8.4,1339,1861,6,12,0.1,5.7,,,47,47
3061,DRAIN,TELANGANA,25,27,1,5.1,7.3,8.1,908,2073,8,20,0.1,4.1,4,4,304,304
3062,DRAIN,TELANGANA,24,27,1,3.1,7.4,7.9,1265,1784,8,26,3.3,3.3,3,3,290,290
3063,DRAIN,TELANGANA,21,29,,,7.2,8.2,1202,2064,17,30,9,40,6,400,79,95
3064,DRAIN,TELANGANA,22,29,1,3.8,7.3,8.2,888,1273,12,62,0.2,50.1,10,180,6,1610
3065,DRAIN,TELANGANA,20,29,1,1.5,7.1,8.2,951,1320,22,59,3.2,45.1,560,560,148,1690
3066,DRAIN,TELANGANA,24,32,1,4.2,7.1,7.7,830,1190,15,88,0.7,60.1,60,200,60,2400
2908,INDUSTRIAL DRAIN,PUNJAB,20,35,1.1,5.8,7.2,8.2,596,1937,13,62,0.47,1.8,1700,6100,15000,40000
2909,INDUSTRIAL DRAIN,PUNJAB,9,29,1,4.1,7.3,8.4,419,4062,12,70,0.09,2.64,1800,9400,15000,35000
2910,INDUSTRIAL DRAIN,PUNJAB,14,29,,,7,7.5,986,1910,52,130,4,5.8,2600,7900,6300,14000
20004,STP,ANDHRA PRADESH,,,5.8,8.6,6.7,8.5,,,12,62.4,,,,,,
20013,STP,GOA,27.2,31.5,7.3,7.7,6,7.9,1750,1750,100,1520,,,,,,
20017,STP,KERALA,,,,,6,8.5,105,105,12,460,,,,,,
20018,STP,ODISHA,,,,,7.2,7.8,,,2.5,8.9,,,,,,
20019,STP,ODISHA,,,,,6.8,7.9,,,9.7,118.6,,,,,,
20020,STP,ODISHA,,,,,6.5,8.2,,,58.8,99.9,,,,,,
