STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
3950,CANAL,ODISHA,27,30,7.4,8.3,7.4,8.2,150,193,1.1,1.8,0.35,0.62,2700,13000,4000,92000,-,-
3951,CANAL,ODISHA,27,31,7.4,7.9,7.3,8.1,148,194,1.1,1.5,0.32,0.72,330,17000,330,54000,-,-
3952,CANAL,ODISHA,26,29,7,7.8,7.1,8,155,196,1.1,1.6,0.32,0.72,78,7900,210,35000,-,-
3958,CANAL,ODISHA,22,29,6.3,10.9,7.1,8.5,165,250,1.1,2.3,0.32,0.62,220,13000,490,28000,-,-
3959,CANAL,ODISHA,22,30,6.1,10.3,6.6,7.6,161,244,1.1,2.8,0.32,0.72,130,7000,1300,22000,-,-
3960,CANAL,ODISHA,23,33,5.4,7.1,7.2,8.5,162,238,1.1,2.4,0.32,0.38,330,2400,1100,7900,-,-
2932,CANAL,RAJASTHAN,20,27,4.5,6.6,7.66,9.1,224,660,1.4,2,1.6,2.12,5,26,16,31,2,38
2933,CANAL,RAJASTHAN,12,35,4.6,6,7.5,8.6,254,550,1.2,1.8,0.89,2.76,46,79,110,170,21,27
2934,CANAL,RAJASTHAN,13,35,4.8,6,7.43,8.66,301,488,1.2,1.8,0.96,3.98,34,94,120,150,11,22
4773,CANAL,RAJASTHAN,13,35,4.9,6.2,7.38,7.9,293,513,1,1.9,1.76,2.8,43,84,120,170,20,27
30022,CANAL,RAJASTHAN,17,28,6.4,10.6,7,8,328,353,1,8,0.96,1.6,200,21000,2600,280000,33,79
10049,CANAL,TAMIL NADU,28,32,0.3,0.3,6.76,7.36,897,1791,8,63,0.32,6.45,40,230,260,1300,-,-
10054,CANAL,TAMIL NADU,25,32,0.3,0.3,6.59,7.59,797,1658,10,75,0.32,1.52,45,250,220,1400,-,-
