STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2267,CREEK,GOA,26.7,31.5,2.9,10,6.1,8.1,10,22450,0.6,5.4,0.1,28.4,230,11000,330,17000
2080,CREEK,GUJARAT,27,31,3.7,8,7.1,8.2,625,4466,0.8,3,0,0.5,5,426,17,426
2081,CREEK,GUJARAT,27,32,1.5,5.4,7.2,8.3,640,2220,0.2,56,0.1,1.8,49,1100,260,17000
3196,CREEK,GUJARAT,28,31,1.1,7.4,7.2,8.3,385,3020,0.6,23,0.1,0.8,17,330,70,3300
1316,CREEK,MAHARASHTRA,28,29,3.7,5.4,6.7,7.9,12010,56350,5.2,18,0.5,4.4,79,920,240,1600
1317,CREEK,MAHARASHTRA,27,35,3.9,5.6,6.7,8,23460,59050,8,20,0.6,3.7,170,1600,280,1600
1318,CREEK,MAHARASHTRA,27,34,3,5.1,7.1,8.7,10300,60520,7.4,19,0.3,8,94,920,220,1600
2184,CREEK,MAHARASHTRA,23,25,3.5,5,7,8.1,939,52900,7.4,26,1.4,8.3,49,540,220,1600
2185,CREEK,MAHARASHTRA,27,38,3.2,5.9,6.9,8,679,52680,5,17,1.3,5.3,110,540,220,920
2791,CREEK,MAHARASHTRA,28,35,3.2,5.2,6.6,8,156,19050,4.6,42,0.8,9.5,110,920,220,1600
2792,CREEK,MAHARASHTRA,26,33,3.6,5.1,7.1,8.2,229,38669,5.6,16,1.5,7.2,49,540,220,1600
2793,CREEK,MAHARASHTRA,26,34,4.2,5.6,7.1,8.1,239,39820,6,13,1.4,6.3,79,920,210,1600
2794,CREEK,MAHARASHTRA,26,34,4.2,5.3,7,8.1,249,39280,5.8,12,1.3,6.4,110,920,220,1600
2795,CREEK,MAHARASHTRA,26,34,3.8,5.2,7.2,8,241,39630,5.8,20,0,6.2,46,920,170,1600
2796,CREEK,MAHARASHTRA,27,30,3.8,6.6,7.1,8.2,231,52310,4,17,0.9,4.8,46,920,170,1600
2797,CREEK,MAHARASHTRA,27,29,4,5.6,7.1,8.4,321,52720,6.8,16,0.9,4.4,49,920,210,1600
2798,CREEK,MAHARASHTRA,22,29,3.4,7.1,7,8.4,278,53790,4,20,0.7,3.6,79,540,210,920
