STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
4385,BEACH,ANDHRA PRADESH,22,25,5.9,6.6,7.2,8.2,39200,53600,2.4,2.9,0.3,1.1,3,14,28,150,2,3
4378,BEACH,ANDHRA PRADESH,25,27,5.8,6.6,7.3,7.9,39900,53300,2.4,2.8,0.7,1.3,3,14,23,150,2,3
5671,BEACH,ANDHRA PRADESH,18,23,5.7,6.4,7.6,8.1,46200,53200,2.6,2.8,0.9,1.3,4,11,23,93,2,2
5679,BEACH,ANDHRA PRADESH,22,25,5.8,6.6,7.3,8.1,41000,57200,2.2,2.9,0.9,1.2,7,14,39,93,2,2
5680,BEACH,ANDHRA PRADESH,25,28,5.2,7.8,7.4,8,22400,51400,1.1,2.6,0.5,1.2,3,9,43,120,,
4357,BEACH,ANDHRA PRADESH,25,33,5.4,6.4,6.6,8.2,40600,53000,1.4,2.8,0.3,0.7,3,7,64,120,,
5686,BEACH,ANDHRA PRADESH,22,26,6,6.6,7.3,7.9,47100,53500,2.4,2.8,0.9,1.3,4,14,28,93,2,2
4361,BEACH,ANDHRA PRADESH,25,27,6,7.3,7.2,7.9,34700,52000,2.2,2.8,0.5,1.6,3,14,28,150,,
4386,BEACH,ANDHRA PRADESH,23,26,6.1,6.8,7.2,8.1,40700,53700,2.4,2.9,0.9,1.4,3,14,39,150,2,3
5678,CREEK,ANDHRA PRADESH,24,31,1,5.8,6.2,7.4,17000,48800,1.8,5.6,0.5,3.7,3,21,43,1100,,
4349,MARINE,ANDHRA PRADESH,24,32,5,7.3,7,8,32800,53100,1.1,3.6,0.3,0.9,2,15,43,210,,
4352,MARINE,ANDHRA PRADESH,23,29,4.9,6.3,7.2,8.1,37500,52900,1.2,2.7,0.4,2,3,11,43,210,,
4362,MARINE,ANDHRA PRADESH,25,28,3.1,6.9,6.9,7.8,796,48600,2.2,4.8,0.5,3.6,3,14,64,460,,
4363,MARINE,ANDHRA PRADESH,25,27,3.5,7,6.9,7.9,1037,50800,2.2,5.4,0.7,5.1,3,15,43,240,,
4371,MARINE,ANDHRA PRADESH,22,34,5.3,7.7,7.3,8,8600,51400,1.5,2.8,0.3,1.6,4,11,75,240,,
4383,MARINE,ANDHRA PRADESH,22,26,5.9,6.7,7.4,8.1,41000,53400,2.5,2.9,0.9,1.3,3,11,23,250,2,3
4387,MARINE,ANDHRA PRADESH,18,21,5.8,6.8,7.5,8.1,29600,52100,2.4,2.9,0.9,1.2,4,14,39,240,2,3
5673,SEA,ANDHRA PRADESH,26,32,4.3,7.6,6.4,8.2,34400,52600,1.1,2.7,0.3,0.9,3,7,43,120,,
5674,SEA,ANDHRA PRADESH,26,32,5,6.8,7,8.1,10860,52900,1.2,2.9,0.5,8.5,3,7,39,93,,
5675,SEA,ANDHRA PRADESH,25,29,5.4,6.5,7.4,8,38700,52400,1.4,2.8,0.3,1.2,3,7,64,120,,
5676,SEA,ANDHRA PRADESH,23,30,5.4,6.2,7.2,7.9,38800,52500,1.3,2.8,0.4,1.5,3,7,43,150,,
5677,SEA,ANDHRA PRADESH,27,32,5.4,6.2,7.4,8.1,40400,53000,1.3,2.9,0.3,1.4,3,4,64,75,,
5681,SEA,ANDHRA PRADESH,24,28,6,7.6,6.7,7.8,39500,52300,1.8,2.4,0.3,0.8,3,4,43,93,,
5682,SEA,ANDHRA PRADESH,25,27,6,7.4,7.2,7.7,25500,51700,1.8,2.2,0.6,1.4,4,11,75,460,,
5683,SEA,ANDHRA PRADESH,25,26,6.2,7.4,7.4,7.8,334,48700,1.8,2.4,0.6,4.7,4,9,64,150,2,2
5684,SEA,ANDHRA PRADESH,26,28,6.4,7.3,7.2,8.1,1492,41600,1.8,2.4,1,2.4,3,9,75,150,,
5685,SEA,ANDHRA PRADESH,25,28,6.3,7.4,7.5,8.1,23100,51700,1.8,2.2,0.4,2.5,2,4,43,75,,
5651,BEACH,GOA,28,31,4.3,6.8,7.8,8.5,48590,60770,1,2.6,0.3,0.8,23,220,49,280,6,170
5644,BEACH,GOA,28,30,5.2,6.7,7.8,8.4,36860,62290,1,1.8,0.3,0.4,23,350,33,920,14,280
5645,BEACH,GOA,27,30,5.9,6.7,7,8.3,35800,59760,1,1.8,0.3,0.3,13,350,110,540,8,140
5646,BEACH,GOA,27,30,6.4,7.1,7.4,8.5,26390,49580,1,2.7,0.3,0.8,13,790,23,1400,12,280
5649,BEACH,GOA,27,31,5.8,6.6,7.8,8.6,45650,57390,1.2,1.8,0.3,0.3,7,540,49,920,2,280
5647,BEACH,GOA,28,31,6.2,7.5,7,8.3,42070,54490,1,1.8,0.3,1.4,33,350,49,540,22,220
4013,BEACH,GOA,27,30,5.6,6.8,7,8.2,29870,61750,1,2.1,0.3,0.3,33,350,46,920,14,130
4014,BEACH,GOA,26,30,5.6,9.3,7,8.3,26120,53340,1,2,0.3,2,79,280,110,920,14,140
4015,BEACH,GOA,26,32,5.2,8.3,7,8.3,30200,59470,1,1.9,0.3,0.7,45,350,49,540,5,170
4016,BEACH,GOA,27,31,5.5,6.9,7.8,8.3,27870,62680,1,1.9,0.3,0.3,5,700,23,1200,4,220
4017,BEACH,GOA,28,32,5,7.4,7.7,8.4,30490,52030,1,2,0.3,0.6,13,240,23,350,11,140
4018,BEACH,GOA,28,31,6,7.8,7,8.3,29460,63790,1.1,2.4,0.3,1.8,110,350,220,920,79,240
4019,BEACH,GOA,28,31,5.8,7.3,7.7,8.4,30070,60850,1,2.9,0.3,0.7,11,280,23,540,6,130
4020,BEACH,GOA,26,32,5.1,6.9,7,8.3,30010,59170,1,1.9,0.3,0.4,33,460,33,1400,17,280
4021,BEACH,GOA,26,32,5.8,7.9,7,8.3,30330,58380,1,1.8,0.3,0.6,44,1300,79,2200,8,240
4022,BEACH,GOA,26,31,5.2,7.5,7,8.3,30440,62050,1,2,0.3,3.6,8,1400,23,2200,7,130
5652,BEACH,GOA,28,31,5.1,6.6,7.8,8.7,46950,60310,1,2.5,0.3,1,79,790,130,1400,33,540
5653,BEACH,GOA,28,31,6.1,6.8,7.6,8.8,37260,60770,1,2.1,0.3,0.4,17,220,33,280,11,94
5648,BEACH,GOA,26,30,5.8,7.2,7.6,8.5,45780,56280,1,2,0.3,0.3,33,240,140,540,17,350
5650,BEACH,GOA,27,31,6,7.2,7.8,8.5,45660,55840,1,1.9,0.3,0.3,2,350,23,540,2,170
5277,CREEK,GOA,26,31,2.6,7.5,6.7,9.2,244,25740,1.8,3.9,0.3,0.3,110,24000,140,54000,110,2400
5278,CREEK,GOA,27,29,3.6,5.9,5.5,6.9,187,13800,1,8.3,0.3,1.1,2300,17000,3300,35000,790,1700
5279,CREEK,GOA,27,32,0.6,7.5,6.3,7.6,263,20180,1,8.4,0.3,6.6,1700,220000,2200,540000,230,35000
2267,CREEK,GOA,27,31,4.3,7.1,6.8,8.4,631,60230,1,1.9,0.3,7.2,110,7900,220,24000,49,5400
2081,CREEK,GUJARAT,24,35,0.3,5,7.3,8.4,510,2140,3.1,20,0.3,0.5,110,1600,540,1600,,
2080,CREEK,GUJARAT,23,31,5.2,7,6.8,8.5,553,2639,1.8,2.9,0.3,1.4,11,920,47,1600,2,63
3196,CREEK,GUJARAT,27,35,0.3,2.7,7,7.7,1172,11870,5,53,0.3,0.7,70,1600,220,1600,,
5771,SEA,KARNATAKA,28,28,7.2,7.2,7.7,7.7,,,2,2,,,2,2,2,2,2,2
5772,SEA,KARNATAKA,28,28,7.1,7.1,7.6,7.6,,,,,,,2,2,2,2,2,2
