STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2354,CANAL,ANDHRA PRADESH,24,30,2.6,5.5,6.8,8.6,203,525,1.2,3.4,0.57,2.7,7,15,75,210
2355,CANAL,ANDHRA PRADESH,24,31,1.5,5,6.6,8.2,456,26393,1.9,5.8,1.15,3.4,7,28,150,2400
3051,CANAL,ANDHRA PRADESH,24,28,5,6.4,7,7.8,905,2179,2.6,8.4,1.28,5.2,3,4,210,1600
4356,CANAL,ANDHRA PRADESH,25,32,5.6,7.5,7.6,8.4,249,634,1.1,2.5,0.63,2.09,7,20,69,150
4370,CANAL,ANDHRA PRADESH,26,27,4.2,7,7,7.9,363,849,0.8,2.8,0.7,3.36,2,21,75,800
4374,CANAL,ANDHRA PRADESH,25,27,4,7.3,6.6,8.1,268,5000,1.2,3.8,0.55,4.81,4,15,120,1600
1479,CANAL,DELHI,,,10.2,10.2,7.6,7.8,239,293,1.1,5.2,0.91,5.12,2400,35000,9200,35000
2057,CANAL,DELHI,16,32,BDL,2.4,7,7.3,565,1450,10,58,0.2,0.5,1100000,16000000,2200000,16000000
2265,CANAL,GOA,27,30,5.2,8.1,5.8,7.4,47,641,BDL,2.4,BDL,1.37,78,1100,130,2300
2266,CANAL,GOA,27,30,4.9,8.8,5.8,7.8,52,605,BDL,2.7,BDL,1.37,130,1700,490,3300
2268,CANAL,GOA,26,31,4.2,6.2,5.2,8.5,83,44510,BDL,0.8,0.02,1.08,45,2400,490,5400
2073,CANAL,GUJARAT,25,30,6.8,7.8,7.4,8.2,239,360,0.5,1.1,0.03,0.16,,,2,37
2074,CANAL,GUJARAT,28,32,5.7,7.2,7.3,8.8,272,737,0.4,0.8,0.09,0.77,14,33,49,94
4421,CANAL,GUJARAT,25,33,7.8,8.3,7.4,8.3,253,336,0.3,0.4,0.4,0.54,2,2,4,21
1109,CANAL,HARYANA,19,27,4.6,8,7,8.1,135,2230,1.8,4,0.01,2.8,500,4000,1500,160000
1110,CANAL,HARYANA,26,26,5.9,7,7.6,7.8,189,296,2.4,2.6,0.02,0.09,700,4800,1500,54200
1111,CANAL,HARYANA,19,29,3.7,9.3,6.8,8,146,345,1.2,2.4,0.01,0.18,400,3300,1300,21200
1112,CANAL,HARYANA,21,29,1.5,7.8,7.4,7.9,151,2370,1.2,2.8,0.02,0.3,200,1700,900,20000
1113,CANAL,HARYANA,25,25,6.6,7.3,7.6,7.6,222,410,1.2,2.5,0.04,0.09,1700,1700,14800,17200
1114,CANAL,HARYANA,21,23,3.2,8.2,7.2,8.6,250,1180,2.4,24,0.12,4.2,2,3910,2210,351000
1115,CANAL,HARYANA,20,29,1.6,7.6,7.5,7.9,140,2390,1.5,2.6,0.02,0.62,400,9200,1400,27800
1116,CANAL,HARYANA,14,30,5.4,10.1,7.4,8,183,2350,0.8,2.6,0.05,3.5,25,21000,540,130000
1419,CANAL,HARYANA,,,2.6,3.9,7,8.3,1010,1320,18,32,3.6,5.4,3560,3970,32110,340620
1886,CANAL,HARYANA,20,27,5.6,9.8,7.6,8.1,141,2150,0.6,3.5,0.01,1.86,200,13000,1400,49000
2056,CANAL,HARYANA,24,26,6.8,8.6,7.6,8,186,295,1.5,3.5,0.03,0.07,200,1400,1400,12000
3461,CANAL,KERALA,24,32,3.2,7.5,6.6,7.7,195,43100,0.2,2.1,0.1,1.18,100,4900,200,7800
3467,CANAL,KERALA,25,32,1.5,4.8,6.5,7.3,319,30000,1,3.6,0.03,3.01,2600,70000,5400,110000
3469,CANAL,KERALA,25,29,2.6,7.3,6.5,7.6,58,145,1.1,3.5,0.17,2.83,1500,6300,3500,8400
2836,CANAL,MANIPUR,16,28,6.7,7.8,6.6,7.6,110,374,2.3,3.7,26,30,5,35,15,150
2428,CANAL,ODISHA,24,28,6.8,7.7,7.1,7.3,151,192,0.8,3.8,0.19,0.38,700,4900,3500,25000
2429,CANAL,ODISHA,25,28,6.4,7.4,6.7,7.7,131,192,0.6,3.4,0.18,0.78,1700,92000,2800,160000
2430,CANAL,ODISHA,22,33,0.4,8.4,7,8.2,147,297,0.3,5.6,0.11,0.9,140,7900,330,17000
3950,CANAL,ODISHA,26,28,7.2,7.6,7.2,7.5,131,191,1.5,3.7,0.23,0.36,1700,22000,4300,54000
3951,CANAL,ODISHA,24,27,5.4,7.8,6.8,7.7,142,193,1.3,4.7,0.22,0.89,1700,35000,4900,92000
3952,CANAL,ODISHA,24,28,6.2,7.6,7.4,7.8,134,176,1,2.3,0.23,0.53,490,17000,1100,35000
3958,CANAL,ODISHA,23,32,6.2,11.8,7,8.4,172,296,0.6,1.8,0.12,2.25,78,2200,220,3900
3959,CANAL,ODISHA,23,34,5.5,9.3,7.3,8.3,137,280,0.6,2.4,0.11,0.27,170,2400,460,5400
3960,CANAL,ODISHA,20,29,3.1,7.6,6.5,8.4,142,448,0.6,2.8,0.16,6.51,45,1700,230,4700
2932,CANAL,RAJASTHAN,22,26,4.7,5.6,8,8.6,260,400,0.6,1.6,1.82,3.32,7,23,21,75
2933,CANAL,RAJASTHAN,16,32,4.6,6.8,7.8,8.2,210,400,0.9,2.2,1.66,2.74,14,75,75,150
2934,CANAL,RAJASTHAN,16,31,3.9,6.5,7.6,8.1,250,590,0.9,3,1.76,2.74,11,75,28,210
4773,CANAL,RAJASTHAN,15,31,3.9,6,7.6,8.2,250,440,0.9,2.4,1.6,2.21,9,39,28,93
30022,CANAL,RAJASTHAN,,,5.4,5.9,7.1,7.7,294,303,1.5,3.4,1.12,1.33,3600,23000,8200,23000
10049,CANAL,TAMIL NADU,28,28,,,7.6,7.6,2490,2490,17,17,3.2,3.2,2,2,45,45
10050,CANAL,TAMIL NADU,26,26,,,7.2,7.2,5550,5550,20,20,3.4,3.4,45,45,790,790
10052,CANAL,TAMIL NADU,28,34,3,3,7.2,7.3,2330,2870,8,26,1,3.05,2,700,68,2200
1729,CANAL,TRIPURA,21,28,4.1,6.9,6.2,7.6,208,288,6.4,38,0.39,5.73,220,350,430,920
3387,CANAL,TRIPURA,21,28,5.8,7,6.7,7.6,105,184,0.8,2.8,0.26,2.2,70,150,150,280
3388,CANAL,TRIPURA,22,29,5.7,7.2,6.9,7.8,110,182,0.9,2.7,0.22,2.8,46,120,110,240
3389,CANAL,TRIPURA,20,28,5.5,7.4,6.6,7.7,111,197,0.9,3.5,0.3,3.05,58,150,110,280
3390,CANAL,TRIPURA,20,27,5.5,7,6.4,7.3,114,169,0.8,3.5,0.21,2.25,58,150,110,240
4198,CANAL,TRIPURA,22,28,6.1,6.9,6.8,7.5,105,184,0.8,2.6,0.3,3.34,41,130,120,240
4199,CANAL,TRIPURA,22,28,4.2,7.8,6.5,7.8,110,202,2.6,24,0.43,6.64,22,350,350,540
2726,CANAL,UTTARAKHAND,16,20,9,10.8,7.5,8.4,127,140,1,1,,,30,60,70,130
2727,CANAL,UTTARAKHAND,16,20,8.6,10,7.4,8.3,128,143,1,1.2,,,40,90,110,170
3998,CANAL,UTTARAKHAND,17,20,9,10,7.6,8.4,119,140,1,1,,,23,70,50,130
3999,CANAL,UTTARAKHAND,16,21,8.6,11,7.6,8.2,117,138,1,1,,,30,50,50,110
2512,CANAL,WEST BENGAL,20,32,0.8,0.9,7.2,8.1,412,1918,4.8,17,0.09,0.91,40000,9000000,80000,16000000
2513,CANAL,WEST BENGAL,21,32,,,7.3,7.6,617,869,17.9,93.6,0.1,0.78,1300000,50000000,2100000,90000000
4013,BEACH,GOA,27,32,5.9,6.9,6.6,8,27750,58010,BDL,2.3,BDL,0.55,8,1300,23,2800
4014,BEACH,GOA,26,32,5.8,7.7,6.3,8.3,2037,57350,BDL,2.8,0.09,1.7,13,1300,33,2200
4015,BEACH,GOA,27,32,5.8,6.7,6.1,8.2,4520,55860,BDL,0.7,BDL,1.13,8,490,BDL,17000
4016,BEACH,GOA,27,37,5.8,7,7.2,8.2,17550,56840,BDL,2.7,BDL,0.62,8,1300,33,3500
4017,BEACH,GOA,27,32,5.5,6.9,7.3,8.2,33546,54980,BDL,2.5,BDL,0.32,8,1100,23,3500
4018,BEACH,GOA,28,32,4.2,6.9,7.3,8.2,26870,68180,BDL,3.3,0.01,0.64,33,540,110,1100
4019,BEACH,GOA,27,32,5.2,7.3,6.4,8.1,50,58130,BDL,2.9,BDL,0.44,8,5400,23,9200
4020,BEACH,GOA,27,32,5.3,6.9,7.4,8.2,31870,85160,BDL,3.3,0.02,0.62,33,1100,79,2200
4021,BEACH,GOA,27,32,5.6,7.3,6.2,8.1,13370,60310,BDL,2.8,BDL,0.61,5,790,13,1700
4022,BEACH,GOA,28,32,5.9,7,7.4,8.1,32490,55980,BDL,4.6,0.01,0.51,5,790,23,1400
2267,CREEK,GOA,27,35,4.8,16,6.4,8.3,160,19710,BDL,2.8,0.22,20.65,230,4900,490,7900
2080,CREEK,GUJARAT,26,30,5,7.1,7.3,7.9,865,24820,0.9,2,0.04,0.36,8,33,26,142
2081,CREEK,GUJARAT,28,33,BDL,4.7,7,8.1,755,3250,2,31,0.19,0.73,33,79,140,280
3196,CREEK,GUJARAT,28,32,BDL,6.5,6.7,7.7,688,4640,0.7,23,0.13,1.72,49,170,170,470
1316,CREEK,MAHARASHTRA,24,41,3.7,7.4,6.9,7.8,83,60580,3,14,0.2,4.7,21,79,79,350
1317,CREEK,MAHARASHTRA,25,32,3,5.2,6.7,7.6,8212,65500,8,20,0.8,2.2,70,920,210,1600
1318,CREEK,MAHARASHTRA,25,34,BDL,5.5,6.8,7.8,415,59980,6,50,0.5,6.4,23,920,170,920
2184,CREEK,MAHARASHTRA,23,32,3.6,7.3,6.8,7.8,184,43360,3,13,0.6,3.4,21,110,170,430
2185,CREEK,MAHARASHTRA,20,29,3.2,6.8,6.6,7.8,418,57400,4,20,1.2,3.7,23,110,210,350
2791,CREEK,MAHARASHTRA,24,36,3.5,7.3,6.5,7.8,136,16470,3,15,0.3,3.2,2,110,9,1600
2792,CREEK,MAHARASHTRA,24,32,3.3,5.6,6.3,8,165,34280,5,16,0.7,7.4,21,170,150,350
2793,CREEK,MAHARASHTRA,24,32,3.3,6.6,6.5,8,156,34360,4,15,0.2,7.4,11,84,46,430
2794,CREEK,MAHARASHTRA,24,32,3.5,6.8,6.5,8.1,142,34400,4,14,0.6,6.6,11,70,47,350
2795,CREEK,MAHARASHTRA,24,32,3.6,6.5,6.6,7.9,115,39390,4,12,0.1,7.4,17,920,58,920
2796,CREEK,MAHARASHTRA,24,35,3.9,5.9,6.6,7.9,184,53480,5,13,0.8,4.6,17,79,140,350
2797,CREEK,MAHARASHTRA,24,35,3.6,5.7,6.8,8.1,191,58050,6,14,1,4.9,5,280,170,920
2798,CREEK,MAHARASHTRA,22,35,BDL,4.6,6.3,7.9,14540,66760,8,60,0.8,3.6,21,130,140,540
2799,CREEK,MAHARASHTRA,22,35,BDL,6.7,6.5,8,103,67690,4,55,0.3,3.1,17,350,70,920
2800,CREEK,MAHARASHTRA,22,35,3.4,6.8,6.5,8.6,101,57800,4,14,0.3,4.5,13,110,84,280
2801,CREEK,MAHARASHTRA,25,30,3.4,5.4,7.1,8.1,1256,66530,6,16,0.4,1.7,17,70,140,350
2802,CREEK,MAHARASHTRA,25,30,3.8,7.2,7.3,7.9,68,66540,3,15,0.1,1.7,8,94,33,350
2803,CREEK,MAHARASHTRA,28,29,4.5,7.1,6.5,8.7,92,23840,3,11,0.1,2.8,17,79,33,350
2804,CREEK,MAHARASHTRA,26,31,3.4,7.1,6.8,7.9,75,55880,1.8,14,0.23,3.82,4,920,40,920
2439,CREEK,ODISHA,20,29,6,8.1,7.3,8.2,31390,49630,0.2,1.6,0.12,0.39,2,350,2,16000
2440,CREEK,ODISHA,20,32,5.8,8.4,7.1,8.2,32160,48750,0.3,1.4,0.14,0.93,2,2,2,140
2441,CREEK,ODISHA,11,26,6.5,8.8,7.3,8.2,32470,48246,0.2,2.5,0.19,1.01,2,330,2,790
3961,CREEK,ODISHA,21,33,3.8,7.8,6.8,8.1,896,25710,1.3,4.2,0.14,2.28,220,5400,230,9200
4349,MARINE,ANDHRA PRADESH,19,30,4.2,7,7.3,8.3,30100,62086,1,4,0.44,2.88,4,11,28,120
4352,MARINE,ANDHRA PRADESH,25,37,4.5,7.2,6.8,8.1,32100,67820,1.2,6,0.36,1.85,4,11,63,110
4371,MARINE,ANDHRA PRADESH,25,32,4.5,8.6,6.4,8.2,29000,56470,1.2,2.6,0.44,1.18,4,9,93,120
4378,MARINE,ANDHRA PRADESH,25,28,4.3,5.7,7.6,7.9,32850,56150,2.2,3,0.72,2.06,3,4,150,1600
4383,MARINE,ANDHRA PRADESH,20,25,3.9,5.9,7.4,8.5,14420,57900,2.2,24,0.46,1.32,3,4,120,1600
4385,MARINE,ANDHRA PRADESH,25,30,4.6,6,7,8.2,31200,52850,2.3,3,0.32,0.82,3,10,210,1600
4386,MARINE,ANDHRA PRADESH,23,30,4.3,5.7,7.1,8.3,28000,58900,2.2,3.8,0.36,0.93,3,4,150,1600
4387,MARINE,ANDHRA PRADESH,18,23,3.8,6,7.2,8.1,19000,52700,2,3.6,0.42,0.97,3,4,210,1600
2805,MARINE,MAHARASHTRA,24,35,3.2,7,6.7,8,99,60880,3,17,0.2,4.5,23,920,63,1600
2806,MARINE,MAHARASHTRA,24,35,BDL,4.9,6.9,7.8,231,60750,7,50,0.6,4.4,33,920,140,920
2807,MARINE,MAHARASHTRA,22,36,BDL,6.5,6.5,8.4,160,67400,4,470,0.8,9.8,21,79,70,350
2808,MARINE,MAHARASHTRA,25,32,3.1,5.1,6.6,7.7,609,66330,8,20,0.9,2.2,110,17000,430,54000
2809,MARINE,MAHARASHTRA,26,32,3.4,5.4,6.7,7.6,18470,66680,6,15,1.1,1.6,70,1600,350,1600
2810,MARINE,MAHARASHTRA,25,33,BDL,4.9,6.9,7.7,15870,66460,9,16,0.9,12.5,49,1600,540,1600
2811,MARINE,MAHARASHTRA,26,33,BDL,6.4,6.8,7.7,229,64680,4,45,0.4,1.8,49,1600,220,1600
