STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
3065,DRAIN,TELANGANA,26,30,0,0.9,7.12,7.94,814,1292,14,34,2,40,2,270,30,1600
3066,DRAIN,TELANGANA,26,30,0.06,2.2,7.4,7.84,980,1169,20,20,0.6,60,2,2,106,380
2908,DRAIN,PUNJAB,14,27,BDL,4.1,7,8.1,744,2905,21,65,0.49,2.2,2000,17000,17000,58000
2909,DRAIN,PUNJAB,14,32,BDL,2.4,7.3,8.4,868,4313,20,140,0.6,1.8,3800,15000,28000,48000
2910,DRAIN,PUNJAB,13,34,BDL,BDL,6.5,7.6,1042,2760,60,220,2.3,6.6,4600,220000,9400,350000
20004,STP,ANDHRA PRADESH,,,5.4,7.2,6.73,8.09,,,16,42,,,,,,
20013,STP,GOA,27.6,32.1,,,6.47,7.63,,,108,667,,,5400000,13000000,9200000,17000000
20017,STP,KERALA,,,,,6,9.3,,,20,290,,,,,,
20021,STP,PUNJAB,,,,,6.9,7.8,,,23,160,,,6.8,6.8,170,170
20022,STP,PUNJAB,26,26,,,6.64,7.63,,,32,220,,,,,,
20023,STP,PUNJAB,,,,,6.34,7.42,,,26,285,,,,,,
20024,STP,PUNJAB,32,32,,,6.2,7.84,,,46,293,,,,,,
20025,STP,PUNJAB,,,,,6.9,7.7,,,7,208,,,,,,
20026,STP,PUNJAB,,,,,6.9,8.4,,,22,126,,,,,,
20028,STP,PUNJAB,,,,,7,8.2,,,22,228,,,,,,
3044,STP,DELHI,,,,,8,8,250,250,,,4.1,4.1,4900,4900,7000,7000
3045,STP,DELHI,,,,,7.2,7.4,208,322,,,2.43,2.43,3300,4600,35000,54000
3046,STP,DELHI,,,,,,,1120,1120,,,11.3,11.3,6.1,6.1,210,210
