STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2267,CREEK,GOA,27.6,34.3,3.9,12.6,6.5,8.5,3,2568,0.7,7.1,0.1,7.8,1300,13000,3300,22000
1316,CREEK,MAHARASHTRA,20,24,4,6.4,7.5,8.1,179,51080,5,54,0.5,4.8,17,550,34,920
1318,CREEK,MAHARASHTRA,25,31,1.5,6.1,7,7.9,8767,52470,4.8,76,1.4,4.6,45,550,190,1600
1317,CREEK,MAHARASHTRA,27,31,2.8,6.3,7.5,8.2,17780,56230,4.8,22,0.9,4.1,210,900,430,1600
2793,CREEK,MAHARASHTRA,25,36,1.3,6.4,7,8.1,194,37120,5,64,0.9,6.8,14,550,26,920
2791,CREEK,MAHARASHTRA,24,40,2.4,5.9,7,8,132,8407,6.2,46,0.2,4.7,6,280,14,900
2792,CREEK,MAHARASHTRA,26,36,4.1,6.2,6.9,7.9,184,30230,5,40,1,6.1,11,550,17,920
2794,CREEK,MAHARASHTRA,23,36,2.8,6.2,7.3,7.7,269,32150,5.6,38,1.3,7.3,21,550,34,920
2795,CREEK,MAHARASHTRA,27,36,3.4,6.2,7.2,7.8,197,41650,5,52,1.1,6.9,11,350,26,540
2796,CREEK,MAHARASHTRA,20,29,4.6,6.8,7.4,8,178,51280,4,15.5,0.5,4.6,10,550,17,900
2184,CREEK,MAHARASHTRA,24,25,3,6.5,7.2,8.3,653,50020,5.8,80,0.7,5.9,21,900,38,1600
2185,CREEK,MAHARASHTRA,20,30,4.7,5.8,7.2,8.3,803,40880,5.6,72,0.7,3.5,70,350,120,900
2797,CREEK,MAHARASHTRA,20,24,4.3,5.9,7.4,8,178,51320,4.8,17,0.5,4.8,11,550,21,920
2798,CREEK,MAHARASHTRA,24,33,4.4,6.1,7.7,8.1,3978,55390,5.8,17.5,1,2.9,94,300,130,550
2799,CREEK,MAHARASHTRA,25,32,4.4,6,7.6,8,7648,55320,5.8,30,0.8,3,70,750,120,900
2800,CREEK,MAHARASHTRA,24,30,0.8,6.3,7.1,8.6,160,45710,4,24,0.2,4.6,6,550,14,1600
2801,CREEK,MAHARASHTRA,20,30,3,6.3,7.6,8.2,264,56990,5,27,0.5,4.8,10,900,17,1600
2802,CREEK,MAHARASHTRA,20,30,3.2,6.2,7.2,8.1,16620,57050,5,30,0.8,4.8,11,500,45,900
