STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,,,,,,,,,,,,,,,,,,,,
1523,ANDHRA PRADESH,22,29,7.5,7.9,234,612,1.8,1.9,BDL,4.9,3,7,28,75,-,-,160,394,BDL,0.38,BDL,BDL,,,,,,,,,,,,,,,,,,,,
1524,"ANDHRA
PRADESH",27,30,7.1,7.8,1740,1820,1.6,2.5,0.97,12.26,3,4,64,93,-,-,1180,1240,0.58,0.92,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3087,ANDHRA PRADESH,26,26,7.3,7.5,2279,2992,BDL,1.2,4.26,7.35,3,3,23,64,BDL,BDL,1340,1820,0.56,0.67,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3089,ANDHRA PRADESH,26,27,7.4,8,1480,2220,1.2,1.4,5.94,23.72,3,7,75,93,-,-,1244,1540,0.8,0.9,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3090,ANDHRA PRADESH,26,27,7.1,7.6,2350,3280,BDL,1.5,4.44,7.47,4,9,64,120,-,-,1612,2216,0.23,0.74,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3091,"ANDHRA
PRADESH",25,28,7.9,7.9,4520,5670,1.9,2.4,7.1,90.73,3,7,75,93,-,-,3160,3844,BDL,0.51,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3092,ANDHRA PRADESH,26,27,7.4,8.5,960,1840,1.5,2,2.42,6.67,4,7,69,75,BDL,BDL,648,1244,0.62,1.15,BDL,BDL,,,,,,,,,,,,,,,,,,,,
3093,ANDHRA PRADESH,28,28,7.1,7.9,950,1280,1.2,2,7.14,7.81,4,7,69,75,-,-,644,872,0.24,1.75,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4350,ANDHRA PRADESH,27,30,7.4,7.8,1040,1050,1.4,2.3,3.23,5.5,4,7,75,75,-,-,704,708,0.42,0.47,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4353,ANDHRA PRADESH,24,26,7.5,7.5,2360,8452,1.8,2.5,1.06,6.46,3,4,39,75,-,-,1648,5524,0.42,0.56,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4354,ANDHRA PRADESH,23,26,7.2,7.8,11500,13520,BDL,2.5,6.47,7.85,4,11,69,150,-,-,7348,9196,0.86,1.29,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4355,ANDHRA PRADESH,24,26,7,7.5,720,1370,1.2,2.1,7.39,11.09,3,7,75,93,-,-,492,956,0.46,0.64,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4360,ANDHRA PRADESH,25,26,7.9,8.1,1480,1790,BDL,2,4.49,6.51,3,4,69,75,-,-,1020,1140,BDL,0.43,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4364,ANDHRA PRADESH,26,26,8,8,631,631,1.9,1.9,0.85,0.85,4,4,64,64,-,-,428,428,0.37,0.37,BDL,BDL,,,,,,,,,,,,,,,,,,,,
4376,ANDHRA PRADESH,27,27,7.5,8.1,2932,3624,1.2,2,2.66,3.58,3,3,75,75,BDL,BDL,1904,2170,0.7,1.39,0.02,0.02,,,,,,,,,,,,,,,,,,,,
