STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max
3093,ANDHRA PRADESH,29.0,30.0,7.3,7.4,840,1481,2.0,2.1,0.90,16.75,2,4,64,75,584,980,0.4,0.8,0.001,0.001
3092,ANDHRA PRADESH,28.0,31.0,7.4,8.1,712,1139,2.0,2.4,0.90,7.95,3,4,64,75,492,754,1.0,1.1,0.001,0.001
4360,ANDHRA PRADESH,27.0,29.0,7.7,7.8,990,1280,1.8,2.0,1.00,3.48,2,7,75,93,660,868,0.4,0.4,0.007,0.009
3091,ANDHRA PRADESH,26.0,26.0,7.0,7.1,3340,4260,2.2,3.6,4.90,41.60,4,7,93,93,2320,2832,0.8,1.1,0.001,0.001
4353,ANDHRA PRADESH,25.0,27.0,7.9,8.1,2660,3940,1.4,2.7,3.00,46.25,3,4,63,93,1844,2640,0.4,0.5,0.001,0.001
3087,ANDHRA PRADESH,24.0,27.0,7.5,7.8,2031,2050,1.4,1.8,0.97,7.10,3,3,21,28,1210,1218,0.4,1.0,0.001,0.001
4355,ANDHRA PRADESH,25.0,27.0,7.9,8.0,660,1482,2.2,2.2,2.05,3.60,4,7,43,120,442,980,0.4,1.4,0.001,0.001
4354,ANDHRA PRADESH,25.0,27.0,7.4,7.6,11120,11420,2.2,2.5,2.20,15.40,7,9,120,150,7340,7968,0.3,0.7,0.001,0.001
4394,ANDHRA PRADESH,26.0,28.0,6.9,7.1,1584,3239,1.0,1.0,5.80,7.90,2,4,2,21,901,1764,0.6,1.3,0.001,0.001
4395,ANDHRA PRADESH,26.0,28.0,7.0,7.1,3558,3780,1.0,1.0,10.40,11.40,2,6,2,33,1868,2144,0.5,1.5,0.001,0.001
4377,ANDHRA PRADESH,27.0,27.0,8.1,8.1,1896,1920,1.4,1.8,0.30,2.80,3,3,14,21,1158,1170,0.8,0.9,0.001,0.001
1519,ANDHRA PRADESH,28.0,29.0,7.1,7.3,1872,2741,1.0,1.0,5.20,6.80,2,4,2,16,1061,1361,0.5,0.5,0.001,0.001
1518,ANDHRA PRADESH,23.0,27.0,7.2,7.3,6619,7770,1.0,1.0,5.80,6.20,2,2,2,14,4068,4413,1.0,1.1,0.001,0.001
4364,ANDHRA PRADESH,28.0,28.0,7.6,7.6,1048,1048,1.5,1.5,3.22,3.22,3,3,93,93,680,680,0.7,0.7,0.001,0.001
,,,,,,,,,,,,,,,,,,,,,
4350,ANDHRA PRADESH,24.0,24.0,7.1,7.1,1140,1140,2.4,2.4,8.00,8.00,4,4,93,93,746,746,0.8,0.8,0.002,0.003
4384,ANDHRA PRADESH,22.0,23.0,7.2,7.3,9090,10500,2.0,2.2,5.20,7.41,3,3,23,28,5634,6600,1.4,1.7,0.001,0.001
1513,ANDHRA PRADESH,25.0,25.0,7.1,7.8,1877,1970,1.4,1.8,0.30,0.70,3,3,21,39,1120,1160,0.3,0.3,0.001,0.001
1523,ANDHRA PRADESH,24.0,26.0,7.0,7.6,310,1447,2.0,2.0,0.79,1.10,4,7,75,93,212,988,0.2,1.1,0.001,0.001
4392,ANDHRA PRADESH,27.0,27.0,6.9,7.5,1380,1414,1.0,1.0,1.40,2.60,2,3,2,12,714,784,0.6,1.1,0.001,0.001
1520,ANDHRA PRADESH,28.0,29.0,7.3,7.3,1027,1266,1.0,1.0,2.20,2.40,2,2,2,11,582,642,0.4,0.5,0.002,0.002
1517,ANDHRA PRADESH,23.0,26.0,7.8,7.9,4520,5663,1.0,1.0,6.70,10.10,2,3,2,29,2568,3370,1.3,1.8,0.001,0.001
1516,ANDHRA PRADESH,20.0,21.0,8.1,8.1,1080,1100,1.2,1.4,1.10,1.18,3,3,15,21,630,658,0.4,0.5,0.001,0.001
1514,ANDHRA PRADESH,25.0,25.0,7.2,7.9,1780,2080,1.4,1.8,0.30,0.60,3,3,20,23,1050,1220,0.2,0.5,0.001,0.001
4376,ANDHRA PRADESH,26.0,26.0,7.1,7.6,3850,3860,2.0,2.2,2.47,3.80,3,3,20,21,2310,2348,0.8,1.0,0.001,0.001
4380,ANDHRA PRADESH,22.0,22.0,7.1,7.5,860,899,1.0,1.8,0.30,1.50,3,3,14,15,508,550,0.5,0.6,0.001,0.001
4382,ANDHRA PRADESH,21.0,22.0,7.1,8.1,4450,4580,2.0,2.2,3.50,3.86,3,3,28,28,2790,2840,0.2,0.8,0.001,0.001
4393,ANDHRA PRADESH,24.0,25.0,7.3,7.4,2810,3352,1.0,1.0,10.40,13.10,2,9,2,71,1589,1785,0.6,1.2,0.004,0.004
3090,ANDHRA PRADESH,27.0,27.0,6.7,7.6,1610,1983,2.2,2.2,2.50,18.80,3,4,75,75,1120,1312,0.3,0.5,0.001,0.001
3089,ANDHRA PRADESH,27.0,28.0,7.2,7.9,2180,2180,2.1,2.2,1.60,13.10,4,4,75,93,1480,1524,1.1,1.3,0.001,0.001
1524,ANDHRA PRADESH,27.0,30.0,7.3,7.7,1147,1295,2.1,2.1,0.90,4.78,4,4,75,75,784,848,0.3,1.0,0.001,0.001
1521,ANDHRA PRADESH,26.0,27.0,6.8,7.5,1977,2580,1.8,4.0,1.50,12.40,7,7,93,120,1296,1812,0.8,0.8,0.001,0.001
1522,ANDHRA PRADESH,27.0,28.0,7.4,7.9,1120,1190,1.6,2.1,1.50,2.87,3,9,75,75,780,792,0.5,0.8,0.001,0.001
26,ANDHRA PRADESH,25.0,25.0,7.0,8.1,1597,2160,1.0,2.2,0.70,1.89,3,3,20,23,942,1314,0.4,0.7,0.001,0.001
1537,ASSAM,25.0,26.0,7.0,7.2,276,278,2.3,2.3,0.70,0.80,2,2,2,2,156,224,0.3,0.3,0.010,0.010
1539,ASSAM,30.0,31.0,7.4,7.5,304,329,2.0,2.1,0.80,0.80,2,2,2,2,172,180,0.3,0.3,0.010,0.010
1540,ASSAM,27.0,29.0,7.2,7.6,366,390,2.0,2.6,0.70,1.00,2,2,2,2,202,218,0.3,0.3,0.010,0.010
1533,ASSAM,24.0,26.0,6.8,7.1,328,332,2.3,2.5,1.10,1.40,2,2,2,2,184,218,0.2,0.3,0.010,0.010
1534,ASSAM,25.0,25.0,7.2,7.2,308,308,2.3,2.3,0.80,0.80,-,-,-,-,176,176,0.3,0.3,-,-
1541,ASSAM,27.0,29.0,7.3,7.6,401,408,2.3,2.5,0.80,1.00,2,2,2,2,218,224,0.3,0.3,0.010,0.010
1535,ASSAM,25.0,26.0,6.8,7.3,284,288,2.2,2.6,0.70,0.80,2,2,2,2,160,166,0.3,0.3,0.010,0.010
1542,ASSAM,27.0,28.0,7.8,7.8,352,354,2.0,2.6,0.80,1.00,2,2,2,2,194,200,0.3,0.4,0.010,0.010
1538,ASSAM,23.0,23.0,6.8,7.4,196,291,2.1,2.2,0.80,0.90,2,2,2,2,118,166,0.3,0.3,-,-
4328,ASSAM,26.0,26.0,7.7,7.7,315,315,2.0,2.0,0.90,0.90,-,-,-,-,178,178,0.3,0.3,-,-
4338,ASSAM,23.0,28.0,6.7,7.8,262,266,1.8,2.2,0.80,1.00,2,2,2,2,142,150,0.3,0.3,-,-
4335,ASSAM,23.0,25.0,6.8,8.0,248,259,2.1,2.3,0.90,1.10,2,2,2,2,140,148,0.3,0.3,0.010,0.010
2254,ASSAM,25.0,32.0,7.6,7.6,311,322,2.0,2.2,0.70,0.90,2,2,2,2,170,180,0.3,0.3,0.010,0.010
3816,ASSAM,26.0,28.0,7.4,7.7,295,351,2.0,2.1,0.70,1.00,2,2,2,2,168,198,0.3,0.3,-,-
3761,ASSAM,26.0,30.0,7.6,7.8,258,262,2.2,2.3,0.80,0.80,2,2,2,2,148,148,0.3,0.3,0.010,0.010
3813,ASSAM,25.0,29.0,7.6,8.0,365,370,2.3,2.3,0.80,0.80,2,2,2,2,202,204,0.3,0.3,0.010,0.010
4333,ASSAM,22.0,26.0,7.3,7.4,235,280,2.0,2.0,0.80,0.90,2,2,2,2,136,158,0.3,0.3,0.010,0.010
2257,ASSAM,34.0,37.0,7.3,7.4,308,356,2.4,2.6,0.90,1.00,2,2,2,2,176,196,0.2,0.3,0.010,0.010
2259,ASSAM,26.0,26.0,7.0,7.0,312,312,2.2,2.2,0.90,0.90,-,-,-,-,180,180,0.3,0.3,-,-
3779,ASSAM,21.0,25.0,7.2,7.7,261,390,2.4,2.4,0.80,0.90,2,2,2,2,148,218,0.3,0.3,0.001,0.001
4008,ASSAM,23.0,25.0,7.0,7.2,216,287,2.0,2.2,0.80,0.90,2,2,2,2,128,160,0.3,0.3,-,-
2258,ASSAM,24.0,30.0,7.3,7.5,320,362,2.1,2.3,0.90,1.00,2,2,2,2,176,200,0.3,0.3,0.010,0.010
2263,ASSAM,25.0,25.0,7.3,7.4,264,268,2.5,2.5,1.00,1.00,2,2,2,2,150,152,0.3,0.3,0.010,0.010
2251,ASSAM,26.0,29.0,7.2,7.3,318,323,1.8,2.2,0.60,0.80,2,2,2,2,176,180,0.3,0.4,0.010,0.010
3817,ASSAM,22.0,24.0,7.0,7.2,182,318,2.1,2.2,0.70,0.70,2,2,2,2,110,182,0.3,0.3,0.001,0.001
2262,ASSAM,22.0,24.0,7.3,7.3,256,298,2.0,2.3,0.80,0.90,2,2,2,2,148,168,0.3,0.3,0.010,0.010
3815,ASSAM,28.0,28.0,7.3,7.3,289,340,2.1,2.2,0.70,0.90,2,2,2,2,164,192,0.3,0.3,-,-
2256,ASSAM,29.0,32.0,7.4,7.8,361,362,2.0,2.2,0.90,0.90,2,2,2,2,202,202,0.3,0.3,0.010,0.010
2248,ASSAM,28.0,32.0,7.5,8.0,241,258,2.1,2.4,0.60,0.70,2,2,2,2,140,146,0.3,0.5,0.010,0.010
4007,ASSAM,22.0,25.0,6.8,7.5,208,242,1.9,2.0,0.70,0.90,2,2,2,2,122,140,0.3,0.3,-,-
2243,ASSAM,24.0,24.0,7.0,7.2,321,329,2.2,2.4,0.90,0.90,2,2,2,2,178,180,0.3,0.3,0.010,0.010
3818,ASSAM,24.0,26.0,7.0,7.6,190,223,2.0,2.2,0.80,0.90,2,2,2,2,118,126,0.3,0.3,-,-
3766,ASSAM,26.0,26.0,7.5,7.5,307,307,2.0,2.0,0.70,0.70,-,-,-,-,172,172,0.3,0.3,-,-
3802,ASSAM,24.0,25.0,7.2,7.3,148,326,2.0,2.4,0.80,0.90,2,2,2,2,92,180,0.3,0.3,0.010,0.010
3801,ASSAM,24.0,25.0,6.9,7.2,326,336,2.3,2.4,0.70,0.80,2,2,2,2,180,184,0.3,0.3,0.010,0.010
2250,ASSAM,26.0,28.0,7.6,7.7,326,332,2.0,2.2,1.00,1.00,2,2,2,2,180,190,0.3,0.3,0.010,0.010
4340,ASSAM,26.0,30.0,7.2,7.3,246,380,1.9,2.3,0.70,0.80,2,2,2,2,142,208,0.3,0.3,-,-
2253,ASSAM,19.0,20.0,7.4,7.9,241,312,2.4,2.5,0.80,1.00,2,2,2,2,138,174,0.3,0.6,0.010,0.010
2244,ASSAM,26.0,27.0,6.8,7.0,290,312,2.0,2.6,0.80,0.80,2,2,2,2,164,174,0.3,0.3,0.010,0.010
2245,ASSAM,28.0,29.0,7.2,7.2,360,363,2.1,2.3,0.80,0.80,2,2,2,2,194,206,0.3,0.3,0.010,0.010
4001,ASSAM,28.0,28.0,7.0,7.2,286,342,1.9,2.3,0.60,0.80,2,2,2,2,162,186,0.3,0.3,-,-
4327,ASSAM,26.0,26.0,7.2,7.2,328,328,2.2,2.2,0.80,0.80,-,-,-,-,186,186,0.3,0.3,-,-
4002,ASSAM,24.0,25.0,7.4,7.4,194,330,2.1,2.2,0.80,1.10,2,2,2,2,114,190,0.3,0.3,0.001,0.001
