STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
1513,ANDHRA PRADESH,20,20,7.7,7.7,1534,1534,0.6,0.6,3.6,4,1,20,3,120
1514,ANDHRA PRADESH,21,21,7.8,7.8,1536,1536,0.6,0.6,1.2,1, , ,400,400
1515,ANDHRA PRADESH,22,22,6.8,6.8,1830,1830,0.6,0.6,2.1,2, , ,600,600
1516,ANDHRA PRADESH,22,22,8.5,8.5,771,771,0.6,0.6,0.68,1, , ,600,600
1517,ANDHRA PRADESH,26,29,7.4,8.6,1200,1200,2,2.4,2.6,3, , ,700,700
1518,ANDHRA PRADESH,25,27,7.5,8,900,1200,2.5,2.7,0.05,0,40,40,100,100
1519,ANDHRA PRADESH,27,30,7.6,8,1000,1200,2,2.4,0.5,0,50,80,20,210
1520,ANDHRA PRADESH,27,37.5,7.8,8,1000,1200,0.2,2.9,1.9,2,26,50,100,386
1521,ANDHRA PRADESH,26,26,7.2,7.2,1459,1459,1.2,1.2,9.633,10,30,60,120,950
1522,ANDHRA PRADESH,25,28,7.1,7.7,568,1067, , ,2.08,2, , ,15,15
1523,ANDHRA PRADESH,26,26,7,7,248,248, , ,0.19,0, , ,4,11
1524,ANDHRA PRADESH,25,25,6.9,6.9,1841,1841,1.2,1.2,2.34,2, , ,28,28
1525,ANDHRA PRADESH,29,29,7.8,7.8,1772,1772,0.8,0.8,5,5, , ,4,4
1795,ANDHRA PRADESH,29,29,7.8,7.8,2950,2950,5.6,5.6,15,15,4,4,10,10
1810,ANDHRA PRADESH,29,29,8,8,2265,2265,1.4,1.4,8,8,10,10,65,65
1811,ANDHRA PRADESH,29,29,7.8,7.8,2076,2076, , ,1,1, , ,25,25
3087,ANDHRA PRADESH,20,20,8,8,1990,1990,0.8,0.8,4.68,5, , ,600,600
3088,ANDHRA PRADESH,22,22,6.8,6.8,1548,1548,0.4,0.4,0.62,1,2,2,400,400
3089,ANDHRA PRADESH,26,26,6.8,6.8,3380,3380,1.2,1.2,10.29,10, , ,7,7
3090,ANDHRA PRADESH,27,27,7.2,7.2,2972,2972,1,1,16.61,17,240,240,2400,2400
3091,ANDHRA PRADESH,26,26,6.8,6.8,2882,2882,1,1,16.51,17, , ,11,11
3092,ANDHRA PRADESH,26,26,7.5,7.5,1009,1009,1,1,8.7,9, , ,150,150
3093,ANDHRA PRADESH,26,26,6.9,6.9,2040,2040,1,1,9.71,10, , ,7,7
1533,Assam,21,24,6.2,6.7,203,748,0.9,1.5,0.57,1, , , , 
1534,Assam,24,24,5.8,5.8,347,347,1.7,1.7,0.63,1, , , , 
1535,Assam,24,24,6.5,7.2,396,612,0.9,2.6,0.62,1, , , , 
1536,Assam,24,30,6,6.7,118,262,2.1,3.9,0.53,1, , , , 
1537,Assam,24,25,6.3,7,412,517,1.4,4.3,0.89,1, , , , 
1538,Assam,18,19,6.2,7.2,106,520,1.2,3.6,2.2,0, , , , 
1539,Assam,26,27,6.8,7.4,591,1065,1.5,2.1,0.7,1, , , , 
1540,Assam,24,29,6,6.1,184,314,1.7,1.9,4,6, , , , 
1541,Assam,24,26,6.6,7.5,206,450,0.4,1.1,0.12,1, , , , 
1542,Assam,22,23,6,6.7,340,740,0.8,1.8,5.7,6,910,910,730,2100
2243,Assam,21,22,5.3,6,417,506,0.6,0.6,1.3,1.3, , , , 
2244,Assam,22,25,6.3,7,288,418,2.9,3,3.4,3.4, , , , 
2245,Assam,24,30,5.4,6.1,100,361,1.7,2.7,0.79,1, , ,360,360
2246,Assam,21,23,6.2,6.6,162,270,1.6,1.9,0.63,1, , , , 
2247,Assam,20,23,6.6,6.8,274,752,0.4,1.8,0.5,1, , , , 
2248,Assam,20,27,6.1,6.6,73,212,1.1,2.8,1.01,1, , , , 
2249,Assam,22,25,6.1,6.9,159,264,0.9,2.1,1.67,2, , ,360,360
2250,Assam,29,29,7.1,7.1,910,910,2.3,2.3,1.3,1.3, , , , 
2251,Assam,28,30,6.8,7.2,309,331,0.9,0.9,0.42,0, , , , 
2252,Assam,24,25,6.6,6.7,257,260,1.6,5,0.53,0, , , , 
2253,Assam,26,30,6.6,7,270,293,0.8,1.5,1.44,1.44, , , , 
2254,Assam,25,28,7.3,7.5,649,1370,0.9,1.8,2.57,3.05, , , , 
2255,Assam,24,29,5.9,6.7,160,472,1.4,2.8,5,5, , ,360,360
2256,Assam,27,29,5.8,6.1,110,166,1.2,3.9,0.43,0.43, , , , 
2257,Assam,28,28,6.4,7.5,434,702,1.9,2.5,0.9,1, , , , 
2258,Assam,23,23,6.1,6.1,253,253,3.2,3.2,3.43,3.43, , , , 
2259,Assam,26,26,7,7,1307,1307,2,2,0.87,1, , , , 
2261,Assam,17,18,7.1,7.1,92,196,0.5,0.8,0.7,1, , , , 
2262,Assam,16,16,6.7,6.7,181,181,1.2,1.2,4.41,5, , , , 
2263,Assam,18,18,5.9,7.1,95,113,0.7,1.3,0.23,0.23, , , , 
2264,Assam,15,18,5.9,7.2,206,472,0.8,1.3,1.25,1.25, , , , 
1634,Meghalaya,17,18,6.6,6.9,195,220,2.6,3,8,8,21,23,39,43
1635,Meghalaya,18,20,5.1,5.7,220,250,1.2,4.2,15.1,15,28,31,52,58
1636,Meghalaya,20,22,6.5,6.5,200,240,1,1.4,6.8,6.8,17,22,34,41
1637,Meghalaya,17,19,6.5,6.6,75,87,0.5,0.6,6,6,9,12,17,26
1638,Meghalaya,15,20,6,6.6,120,131,0.5,0.6,7.2,7,8,11,13,17
3385,Meghalaya,16,18,6.8,7,30,34,1,1.2,2.8,2.8,4,9,21,29
3386,Meghalaya,46,50,9.5,9.7,330,342,1,1,0.8,0.8,2,8,9,10
2054,Mizoram,16,22,5.3,8.3,11,435,1,2.8,0.079,0.079, , , , 
2055,Mizoram,15,22,6.7,8.8,11,533,0.2,1.2,0.082,0.082, , , , 
1405,TRIPURA,26,27,7,7.7,172,188, , ,0.78,1, , , , 
1406,TRIPURA,26,27,7.4,7.8,342,364, , ,0,0, , , , 
1730,TRIPURA,26,27,7.6,7.9,190,196, , ,0.62,1, , , , 
1731,TRIPURA,27,28,7.2,7.8,80,105, , ,0.1,0, , , , 
1732,TRIPURA,26,27,7.5,7.8,110,120, , ,0,0, , , , 
1733,TRIPURA,27,28,7.4,7.8,132,142, , ,0,0, , , , 
1734,TRIPURA,27,28,7.4,7.6,186,210, , ,0,0, , , , 
1620,Chhattisgarh,22,34,7.4,8,468,696,0.2,0.6,1,3, , ,2,4
1621,Chhattisgarh,24,34,7.1,7.8,460,585,0.4,1,1.1,2, , ,4,11
1622,Chhattisgarh,29,30,7.5,7.8,572,670, , ,1.2,2, , ,6,8
1623,Chhattisgarh,29,29,8,8.5,1494,2038, , ,3.807,4, , ,8,10
3171,Chhattisgarh,26,30,7.4,7.5, , ,0.9,1.1,0.29,0.55, , ,9,120
3172,Chhattisgarh,26,28,6.8,7, , ,0.2,0.2,0.4,1, , , , 
3173,Chhattisgarh,26,29,7.1,7.2, , ,0.4,0.6,0.8,1, , ,120,120
3174,Chhattisgarh,26,28,7.1,7.2, , ,0.4,0.4,0.6,1, , ,2,2
1616,Madhya Pradesh,24,24,7.9,7.9,1730,1730,6.2,6.2,0.1,0, , , , 
1617,Madhya Pradesh,27,27,6.8,6.8,277,277,1.7,1.7,12.05,12, , ,22,22
1618,Madhya Pradesh,29,34,7.4,7.4,910,950,1.2,1.4,0.64,1, , , , 
1619,Madhya Pradesh,29,29,7.3,7.3,850,850,1.3,1.3,0.43,0, , , , 
2143,Madhya Pradesh,21,21,7.3,7.5,410,447,1.9,5,0.46,0, , , , 
