2259,ASSAM,20,26,8,7.9,157,971,0.8,0.9,0.4,0.9,0,0,210,280
2260,ASSAM,29,29,6,5.9,216,216,1.4,1.4,0.3,0.3,24000,24000,24001,24001
2261,ASSAM,18,26,6,8.1,125,145,0.6,0.7,0.1,0.7,0,0,0,0
2262,ASSAM,25,25,6,5.9,74,74,0.7,0.7,0.1,0.1,,,,
2263,ASSAM,22,28,8,7.8,152,166,0.7,1.1,0.9,9.8,,,,
2264,ASSAM,20,28,7,7.5,169,184,0.8,1.1,0.1,0.1,4300,4300,9300,9300
1825,BIHAR,27,30,8,8.6,591,610,,,,,6,7,12,21
1826,BIHAR,27,30,8,8.2,570,636,,,,,7,8,11,22
1827,BIHAR,28,31,8,8.2,580,601,,,,,,,,
1829,BIHAR,28,28,8,8.1,715,715,,,,,,,,
1830,BIHAR,25,25,8,7.7,697,697,,,,,,,,
1831,BIHAR,25,25,8,8,677,677,,,,,,,,
1840,BIHAR,24,24,8,7.7,693,693,,,,,4,4,9,9
1841,BIHAR,24,24,7,7.2,891,891,,,,,8,8,21,21
1842,BIHAR,27,27,7,7,521,521,,,,,,,,
1843,BIHAR,28,28,7,7.4,840,840,,,,,4,4,8,8
2576,BIHAR,24,24,7,7.4,820,820,,,,,7,7,14,14
2578,BIHAR,25,25,8,7.5,901,901,,,,,7,7,11,11
2579,BIHAR,24,24,8,7.6,916,916,,,,,,,,
2580,BIHAR,28,28,8,7.8,865,865,,,,,4,4,8,8
2591,BIHAR,27,27,7,7,819,819,,,,,,,,
2592,BIHAR,26,26,7,7.2,155,155,,,,,4,4,9,9
2593,BIHAR,26,26,7,7.2,623,623,,,,,4,4,11,11
2595,BIHAR,28,28,8,8.1,756,756,,,,,,,,
2598,BIHAR,27,27,8,7.6,940,940,,,,,,,,
2599,BIHAR,28,28,7,7.2,860,860,,,,,4,4,9,9
2600,BIHAR,26,26,8,7.6,925,925,,,,,4,4,7,7
3138,BIHAR,24,24,8,8,899,899,,,,,,,,
3140,BIHAR,18,18,8,7.7,376,376,,,,,7,7,14,14
3141,BIHAR,28,28,8,7.6,911,911,,,,,,,,
3142,BIHAR,26,26,7,7,1020,1020,,,,,4,4,8,8
3145,BIHAR,26,26,7,7,143,143,,,,,,,,
3146,BIHAR,27,27,8,7.9,693,693,,,,,,,,
3150,BIHAR,24,24,8,7.9,511,511,,,,,4,4,9,9
3151,BIHAR,26,26,8,7.7,826,826,,,,,7,7,14,14
3152,BIHAR,25,25,8,8.2,297,297,,,,,4,4,8,8
3153,BIHAR,30,30,7,7.4,374,374,,,,,,,,
3154,BIHAR,26,26,7,7.4,960,960,,,,,4,4,7,7
3158,BIHAR,24,24,7,7,407,407,,,,,8,8,17,17
3159,BIHAR,26,26,8,8.2,624,624,,,,,2,2,4,4
3160,BIHAR,25,25,8,7.7,823,823,,,,,7,7,17,17
3162,BIHAR,25,25,8,7.6,927,927,,,,,4,4,12,12
2039,CHANDIGARH,26,30,7,7.6,785,840,,,0.7,4.6,,,,
2040,CHANDIGARH,28,30,7,7.3,730,780,,,0,0.3,,,,
2043,CHANDIGARH,26,30,7,7.8,425,1240,,,0,8,,,,
2044,CHANDIGARH,25,30,7,7.4,902,990,,,7.6,9.1,,,,
2045,CHANDIGARH,30,30,7.6,8,635,635,,,0.5,0.5,,,,
1620,CHHATTISGARH,27,28,8,7.8,534,686,0.2,0.4,0.4,2.8,,,4,6
1621,CHHATTISGARH,27,29,8,7.8,542,568,0.4,0.4,2.1,2.3,,,4,6
1622,CHHATTISGARH,30,34,8,7.5,638,738,,,0.8,1.2,,,6,6
1623,CHHATTISGARH,32,34,8,7.5,358,1814,0,0,0.6,0.9,,,6,6
3171,CHHATTISGARH,27,27,3,7.4,,,0.6,1.2,0.2,0.4,,,9,9
