STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
26,ANDHRA PRADESH,25,27,7.9,8.1,1410,1732,0.6,0.8,2.65,4.21,2,2,400,400
1513,ANDHRA PRADESH,26,29,8,8.2,1180,1729,0.8,0.8,0,1.53,2,2,400,400
1514,ANDHRA PRADESH,26,28,7.8,8.2,1410,1604,0.8,1,1.28,4.35,2,2,400,400
1516,ANDHRA PRADESH,27,27,8.3,8.3,1020,1074,0.8,0.9,0.99,1.12,2,2,400,400
1517,ANDHRA PRADESH,21,23,7.6,7.9,2240,4700,0.7,1,2.12,4.4,2,2,2,2
1518,ANDHRA PRADESH,23,24,7.7,7.8,4400,4420,0.8,1,3,4,2,2,2,2
1519,ANDHRA PRADESH,25,31,7.5,7.5,1763,1973,0.5,1,1.8,2.8,2,2,2,2
1520,ANDHRA PRADESH,26,29,7.6,7.7,735,1285,0.7,1,1.1,1.3,2,2,2,2
1521,ANDHRA PRADESH,26,27,6.9,7.3,2787,3163,2,2,9.78,10.06,13,15,380,460
1522,ANDHRA PRADESH,26,28,7.2,7.9,514,782,1.7,1.9,1.15,3.41,11,11,150,210
1523,ANDHRA PRADESH,25,26,6.9,7.7,464,590,1.4,1.5,2.44,3.82,9,9,45,65
1524,ANDHRA PRADESH,27,29,6.9,7.8,1403,1681,1.4,1.8,2.07,3.4,9,9,45,120
3087,ANDHRA PRADESH,26,26,7.3,7.7,2110,2310,0.8,1,0.38,0.48,2,2,400,400
3089,ANDHRA PRADESH,25,27,7.3,7.5,2223,2234,1.6,1.8,4.64,10.63,11,11,210,210
3090,ANDHRA PRADESH,22,26,7,7.3,2076,2267,1.5,1.5,10.89,13.72,9,11,45,45
3091,ANDHRA PRADESH,26,29,7.2,7.3,2715,3609,1.4,1.6,10.77,23.37,7,7,460,460
3092,ANDHRA PRADESH,27,28,7.7,7.8,862,1009,1.4,1.6,3.03,6.82,11,15,69,110
3093,ANDHRA PRADESH,26,26,7.7,7.8,1645,1888,1.5,2.3,4.44,4.68,7,9,45,65
1533,ASSAM,22,22,6.2,6.3,212,450,1.2,1.4,0.7,1.8,2,2,2,2
1534,ASSAM,26,26,5.6,5.8,186,1134,0.8,1.1,0.3,0.9,2,150,2,200
1535,ASSAM,23,29,6.1,6.6,189,277,0.6,1.5,1,2.5,2,2,2,2
1536,ASSAM,24,28,6.4,6.5,176,200,0.6,1.2,0.5,1.7,2,2,2,2
1537,ASSAM,23,27,6.4,7.4,179,275,0.6,1.4,0.8,1.4,2,2,2,2
1538,ASSAM,25,26,5.5,7.1,61,125,0.6,0.8,0.7,1.8,2,2,2,2
1539,ASSAM,27,28,7.3,7.8,272,309,0.8,1.1,0.4,1.9,2,2,2,300
1540,ASSAM,28,29,6,6.1,143,190,1.4,1.6,2.5,7.9,2,2,2,2
1541,ASSAM,26,28,6.9,7.1,344,464,1,2.3,2.1,2.3,2,2,2,2
1542,ASSAM,26,28,6.4,7,457,783,2.4,2.6,1.7,2.2,2,3500,2,5300
2243,ASSAM,22,22,5.1,6,142,224,0.6,1.3,1,1.9,2,2,2,2
2244,ASSAM,24,26,6.5,7.1,247,251,1,2.6,0.7,1.7,2,2,2,2
2245,ASSAM,25,27,4.9,5.6,160,170,1.4,2.1,1,1.8,2,2,2,2
2246,ASSAM,20,22,6.2,7,188,236,0.9,2.2,0.4,0.4,2,2,2,2
